gene	weight
AC090498.1	-0.034
ACTB	-0.055
ACTG1	-0.071
ACTN1	-0.016
ACTN4	0.045
ACTR2	-0.012
ACTR3	0.014
ACTR3B	-0.007
ACTR3C	0.0
ADAR	0.011
ADI1	0.033
ADIRF	0.016
ADRM1	-0.024
AGPAT2	0.022
AGR2	0.047
AGR3	0.074
AK1	0.061
AKR1B1	0.035
AMOT	0.0
AMOTL1	0.021
AMOTL2	0.025
ANXA1	0.006
AP2M1	-0.003
AP3S1	0.01
APC	0.007
APLP2	0.089
APOC1	-0.021
APOE	0.003
APOL6	0.01
APP	0.003
AQP3	0.076
AREG	-0.002
ARHGAP17	0.001
ARHGDIB	0.049
ARHGEF2	0.007
ARID5B	0.019
ARL2	-0.04
ARL4A	-0.02
ARL6IP1	0.015
ARPC1A	-0.046
ARPC1B	0.015
ARPC2	-0.041
ARPC3	-0.031
ARPC4	-0.019
ARPC5	-0.033
ARPC5L	0.004
ASAH1	0.035
ASPH	-0.002
ATF3	0.039
ATF4	0.002
ATOX1	-0.016
ATP1A1	0.025
ATP1B1	0.028
ATP5C1	-0.011
ATP5G1	-0.028
ATP6V0B	0.023
AUTS2	0.003
B2M	0.078
BANK1	0.001
BATF2	0.012
BCAP31	0.079
BIRC3	0.005
BLVRA	0.041
BLVRB	0.024
BNIP3	-0.063
BOLA3	-0.022
BPGM	-0.009
BRI3	-0.002
BSG	0.027
BST2	0.074
BTG1	0.037
C15ORF48	0.006
C16ORF89	0.091
C17ORF89	-0.015
C19ORF33	-0.043
C1ORF122	0.0
C1R	0.018
C1S	0.036
C3	0.036
C4ORF48	0.006
C7ORF50	-0.009
C8ORF4	0.022
CALR	0.031
CANX	0.017
CAPG	-0.021
CAPN1	0.03
CARHSP1	0.002
CASP1	0.005
CASP3	-0.001
CASP4	0.025
CASP7	0.005
CASP8	-0.001
CAST	-0.015
CCL2	0.004
CCL20	0.003
CCL5	-0.008
CCND1	0.017
CCNL1	0.069
CCRL2	0.0
CCT2	-0.005
CCT5	-0.023
CCT6A	-0.064
CD151	0.052
CD24	0.037
CD274	0.004
CD40	0.002
CD44	0.061
CD47	0.034
CD55	0.028
CD59	0.08
CD69	-0.002
CD74	0.124
CD9	0.028
CD99	0.02
CDA	-0.011
CDC42	-0.019
CDH1	0.045
CDK2AP2	0.006
CDK4	-0.02
CDKN1A	0.01
CEACAM6	0.047
CEBPB	-0.001
CEBPD	0.034
CFB	0.006
CFH	0.002
