gene	weight
ACTB	-0.191
ACTG1	0.212
ACTN1	-0.067
ACTN4	0.027
ACTR2	0.006
ACTR3	-0.004
ACTR3B	0.0
ACTR3C	0.012
ADAR	0.0
ADIRF	-0.249
AFDN	0.006
AGR2	0.111
AGR3	0.091
AK1	0.061
ALDH2	0.058
AMOTL1	-0.002
AMOTL2	0.002
ANAPC11	0.102
ANXA1	-0.065
ANXA2	-0.141
ANXA5	-0.124
AP2S1	-0.041
APC	0.0
APLP2	-0.02
APOL6	0.0
APP	0.014
APRT	-0.017
AQP3	0.122
AREG	-0.011
ARF4	0.0
ARHGAP17	0.0
ARHGDIB	-0.084
ARHGEF2	-0.001
ARID5B	-0.016
ARL2	-0.067
ARL4A	-0.003
ARL6IP1	0.113
ARL6IP5	-0.148
ARPC1A	-0.014
ARPC1B	-0.163
ARPC2	-0.067
ARPC3	0.215
ARPC4	0.038
ARPC5	-0.012
ARPC5L	0.019
ASAH1	0.09
ATF3	0.16
ATF4	0.027
ATP1A1	0.131
ATP1B1	0.283
ATP5A1	0.026
ATP5B	0.111
ATP5C1	0.005
ATP6V1F	-0.023
AUTS2	0.039
B2M	-0.186
BANK1	-0.006
BCAP31	0.002
BEX3	-0.061
BIRC3	-0.029
BNIP3	0.115
BOLA2B	0.018
BPGM	-0.002
BRI3	-0.053
BRK1	-0.07
BSG	-0.035
BST2	-0.224
BTG1	-0.049
BTG2	0.152
C12ORF57	-0.023
C14ORF166	0.013
C16ORF89	-0.02
C1R	-0.166
C1S	-0.12
C4ORF48	-0.036
C6ORF48	-0.005
C8ORF4	0.15
C9ORF16	-0.113
CACNA1D	0.088
CACYBP	0.041
CALR	0.061
CANX	0.124
CAPN2	0.006
CAPZA2	-0.172
CASP1	-0.001
CASP3	0.0
CASP4	-0.012
CASP7	0.005
CASP8	0.005
CAST	-0.003
CAV1	-0.208
CBX3	-0.009
CCL2	-0.01
CCL5	-0.022
CCND1	0.081
CCNL1	0.042
CCT3	0.037
CCT5	0.021
CD151	-0.025
CD24	0.303
CD38	0.0
CD40	-0.008
CD44	-0.023
CD46	0.093
CD47	-0.002
CD55	0.081
CD59	-0.069
CD69	-0.048
CD74	-0.295
CD81	0.04
CD9	0.179
CD99	0.017
CDC42	0.007
CDH1	0.046
CDK4	0.277
CDKN1A	0.014
CEACAM6	0.159
CEBPB	-0.017
CEBPD	0.186
CFB	0.016
CFH	-0.121
CGN	0.032
CGNL1	0.012
CHCHD10	0.002
CHMP2A	0.121
CIB1	0.007
CITED2	-0.004
CKB	-0.054
CKS2	0.01
CLDN1	0.024
CLDN10	0.003
CLDN12	0.007
CLDN15	-0.002
