n_family	n_background	rank_biserial	p	median_family	median_background	dataset	family	n_family_all	variance_cutoff	test
23	399	0.018851476517380394	0.8798133547202639	0.473036764996777	0.480923755732879	GSE123902	IFN	182	6.920812535069637	wilcoxon_Z_family_variance_at_least_background_min
3	399	0.08771929824561409	0.8069384374883679	0.60915306695187	0.480923755732879	GSE123902	MHC-I/APM	20	6.920812535069637	wilcoxon_Z_family_variance_at_least_background_min
14	399	0.07411385606874332	0.6380748891770461	0.3190066324186185	0.480923755732879	GSE123902	TJ	155	6.920812535069637	wilcoxon_Z_family_variance_at_least_background_min
27	396	0.15282454171343063	0.18404040256654697	0.642343221551984	0.5080527134979655	GSE131907	IFN	189	6.388258875880998	wilcoxon_Z_family_variance_at_least_background_min
8	396	0.3819444444444444	0.06376351119705262	0.8149577902184335	0.5080527134979655	GSE131907	MHC-I/APM	21	6.388258875880998	wilcoxon_Z_family_variance_at_least_background_min
14	396	0.13492063492063489	0.3913708492766649	0.5701681509462759	0.5080527134979655	GSE131907	TJ	156	6.388258875880998	wilcoxon_Z_family_variance_at_least_background_min
25	380	0.1006315789473684	0.39965002897932356	0.441051528397599	0.416018936675499	GSE205335	IFN	198	6.883778367334156	wilcoxon_Z_family_variance_at_least_background_min
9	380	0.39473684210526305	0.04305809915753315	1.03970617275784	0.416018936675499	GSE205335	MHC-I/APM	21	6.883778367334156	wilcoxon_Z_family_variance_at_least_background_min
17	380	0.09164086687306505	0.5232157848620693	0.241719121525303	0.416018936675499	GSE205335	TJ	163	6.883778367334156	wilcoxon_Z_family_variance_at_least_background_min
25	399	-0.1550877192982456	0.19342058617908664	-0.0611497540782709	0.273784113047542	GSE189357	IFN	168	8.278386356171186	wilcoxon_Z_family_variance_at_least_background_min
4	399	-0.31829573934837097	0.28621711156721724	-0.14822040807805	0.273784113047542	GSE189357	MHC-I/APM	19	8.278386356171186	wilcoxon_Z_family_variance_at_least_background_min
11	399	0.16883116883116878	0.3399276694575266	0.606430831767524	0.273784113047542	GSE189357	TJ	147	8.278386356171186	wilcoxon_Z_family_variance_at_least_background_min
