gene	weight
ACTB	-0.16
ACTG1	-0.169
ACTN1	-0.001
ACTN4	-0.007
ACTR2	-0.024
ACTR3	-0.082
ACTR3B	-0.002
ACTR3C	0.001
ADAR	0.002
AFDN	0.003
AGR2	0.029
AHNAK	0.071
AKAP9	0.021
ALDOA	-0.065
AMOT	-0.007
AMOTL1	-0.029
AMOTL2	0.002
ANP32B	-0.153
ANXA1	-0.01
ANXA11	0.011
ANXA2	0.019
ANXA4	-0.003
ANXA5	-0.012
APC	-0.021
APLP2	0.03
APOL6	0.007
APP	-0.009
APRT	-0.037
AQP3	0.011
ARF5	-0.08
ARHGAP17	-0.008
ARHGDIB	-0.063
ARHGEF18	0.001
ARHGEF2	-0.011
ARID5B	0.001
ARL2	-0.017
ARL4A	0.0
ARL6IP1	-0.016
ARPC1A	-0.06
ARPC1B	-0.034
ARPC2	-0.078
ARPC3	-0.098
ARPC4	-0.043
ARPC5	-0.093
ARPC5L	-0.018
ATF3	0.01
ATP1A1	0.001
ATP1B1	0.025
ATP5IF1	-0.003
ATP6V0B	-0.052
AUTS2	-0.02
B2M	0.038
BANK1	-0.001
BASP1	-0.075
BATF2	0.0
BCAP31	-0.002
BEX3	-0.084
BLVRB	-0.012
BNIP3	-0.033
BPGM	0.0
BRD2	-0.025
BRI3	-0.002
BSG	-0.006
BST2	-0.012
BTG1	-0.02
BTG2	-0.001
C12ORF57	-0.04
C15ORF48	0.046
C19ORF33	0.021
C1R	0.003
C1S	0.01
C4ORF3	-0.019
C9ORF16	-0.004
CACNA1D	0.0
CALM1	-0.032
CALR	-0.042
CANX	-0.001
CAPN2	0.001
CAPNS1	-0.027
CARHSP1	-0.063
CASP1	-0.013
CASP3	-0.012
CASP4	0.002
CASP7	-0.003
CASP8	-0.002
CAST	0.034
CCL2	0.0
CCL5	-0.01
CCND1	0.014
CCNL1	0.025
CCT5	-0.116
CD151	0.039
CD24	0.001
CD274	0.001
CD38	-0.002
CD40	-0.003
CD46	0.022
CD47	0.002
CD55	0.041
CD59	0.007
CD63	0.051
CD69	-0.015
CD74	0.003
CD81	0.004
CD9	-0.007
CD99	-0.013
CDC42	-0.03
CDH1	0.025
CDK4	-0.086
CDKN1A	-0.007
CDKN2A	-0.034
CEACAM6	0.064
CEBPB	0.0
CEBPD	0.014
CENPX	-0.074
CFB	0.033
CFH	0.032
CGN	0.029
CGNL1	0.0
CHCHD10	-0.019
CHMP4B	-0.009
CIB1	0.032
CIITA	-0.002
CKB	-0.072
CKS1B	-0.091
CKS2	-0.092
CLDN1	-0.006
CLDN10	0.001
CLDN12	0.001
CLDN15	0.001
CLDN23	0.005
CLDN3	0.003
CLDN4	0.0
CLDN6	0.0
CLDN7	0.029
CLDN9	0.001
CMPK2	-0.001
CMTR1	-0.004
CNIH4	-0.035
CNP	-0.011
COMT	-0.006
COTL1	-0.092
CRABP2	-0.022
CRB3	0.004
CRIP1	-0.001
CRIP2	0.0
CSF1	0.001
CST3	0.062
CSTB	-0.004
CTNNA1	0.001
CTSB	0.022
CTSD	0.051
CTTN	0.005
CUTA	-0.066
CYB5A	-0.008
CYBA	0.01
CYSTM1	0.003
DAD1	-0.017
DDT	-0.026
DDX58	0.004
DDX60	0.006
DEK	-0.147
DHX58	0.004
DLG1	-0.001
DLG3	-0.003
DNAJA1	-0.03
DNAJB1	0.007
DNAJC15	-0.011
DNPH1	-0.007
DSP	0.002
DUSP1	0.042
DUSP23	-0.005
DUT	-0.132
DYNLT1	-0.003
ECH1	-0.07
ECT2	-0.038
EGR1	0.004
EIF2AK2	0.0
EIF3E	-0.063
EIF3F	-0.063
EIF3H	-0.066
EIF4B	-0.032
EIF4E3	-0.003
EIF4EBP1	-0.082
EIF5A	-0.096
ELF1	-0.002
ELF3	0.063
EMP2	0.005
EPB41L4B	-0.002
EPCAM	0.002
EPHA2	0.048
EPHB2	-0.013
EPSTI1	-0.003
ERAP1	0.001
ERAP2	0.003
ERBB2	0.063
ERGIC3	0.001
EXT1	0.0
EZR	0.008
F11R	0.006
FABP5	-0.04
FAS	0.002
FBL	-0.109
FOS	0.011
FOSB	0.041
FUS	-0.071
FXYD3	-0.016
FXYD5	-0.018
FZD5	0.002
GADD45B	0.04
GAS5	-0.022
GBP2	0.001
GBP4	0.0
GBP6	-0.002
GCH1	-0.024
GLUL	-0.002
GMPR	-0.007
GPI	-0.061
GPRC5A	0.114
GRHL2	0.004
GRN	0.008
GSN	0.0
GSTK1	-0.008
GZMA	-0.023
H1F0	-0.017
H1FX	-0.13
H2AFJ	-0.005
H2AFV	-0.135
H2AFY	-0.077
H2AFZ	-0.185
HCLS1	-0.076
HDGF	-0.03
HEBP2	-0.003
HELZ2	0.007
HERC6	0.003
HES1	0.001
HIF1A	-0.014
HIST1H1C	-0.004
HIST1H2AC	-0.001
HIST1H4C	-0.113
HLA-A	0.045
HLA-B	0.038
HLA-C	0.029
HLA-DMA	0.004
HLA-DQA1	-0.008
HLA-DRA	-0.004
HLA-DRB1	0.022
HLA-E	0.031
HLA-F	0.014
HLA-G	0.005
HMGA1	-0.116
HMGB2	-0.17
HMGB3	-0.077
HMGN2	-0.207
HMGN3	-0.008
HNRNPA0	-0.122
HNRNPD	-0.095
HNRNPDL	-0.064
HNRNPF	-0.099
HNRNPL	-0.101
HNRNPU	-0.097
HOPX	0.011
HSP90B1	0.003
HSPA1A	0.003
HSPA1B	0.004
HSPA4	-0.018
HSPA5	0.003
HSPB1	-0.029
HSPD1	-0.095
HSPH1	0.001
ICAM1	0.047
ID1	-0.003
IDO1	-0.003
IER2	0.005
IER3	0.016
IFI27	-0.016
IFI30	-0.014
IFI35	-0.01
IFI44	-0.002
IFI44L	-0.003
IFI6	-0.002
IFIH1	0.003
IFIT1	-0.001
IFIT2	0.0
IFIT3	-0.001
IFITM1	0.007
IFITM2	-0.007
IFITM3	0.0
IFNAR2	-0.001
IGFBP2	-0.001
IKBKB	0.006
IL10RA	-0.012
IL15	0.001
IL15RA	-0.002
IL18BP	0.001
IL2RB	-0.022
IL32	-0.005
IL4R	0.003
IL7	0.003
ILDR1	0.001
IRF1	0.009
IRF2	-0.001
IRF5	0.002
IRF7	0.0
IRF9	-0.003
ISG15	-0.008
ISG20	-0.01
