gene	distance	Z	FC	p.value	p.adj
MT-ND4	5.05072875112722e-05	4.07277349040198	84.2775637397164	4.29966966068378e-20	1.61237612275642e-17
MT-CYB	2.33471378101336e-05	3.5553332520906	18.0082360842198	2.19951294313718e-05	0.0046478232606627
MT-CO1	2.31991777411487e-05	3.55120472892091	17.780708677741	2.47883907235346e-05	0.0046478232606627
MT-ATP6	1.57639221390296e-05	3.30428768994538	8.20979748296033	0.0041664801000496	0.624972015007445
MT-ND2	1.38689596071575e-05	3.22415942564368	6.35465018921833	0.0117074024705559	0.999999999953793
MT-CO3	1.33440373675756e-05	3.20018400823047	5.88272275089682	0.0152901593731705	0.999999999953793
MT-ND1	9.45700160250401e-06	2.98955980795764	2.95468241319286	0.0856291280936236	0.999999999953793
MT-ND3	6.12665549607986e-06	2.73235241840675	1.24008313992601	0.265455031334947	0.999999999953793
MT-ND5	5.21118178633242e-06	2.63878222413531	0.897173275438891	0.343540792324253	0.999999999953793
MT-CO2	3.2797589104981e-06	2.3778390203739	0.355375695943551	0.551085740248974	0.999999999953793
CD74	8.16093381870951e-07	1.651030218308	0.022003085878208	0.882078890567212	0.999999999953793
HLA-DRB1	7.89553363991983e-07	1.63474487450761	0.0205952400557667	0.885887084091753	0.999999999953793
HLA-DRA	6.98462787872e-07	1.57474604027395	0.0161172309111416	0.898977078382148	0.999999999953793
B2M	5.82012343804615e-07	1.48658603395559	0.0111909839576578	0.915750996686226	0.999999999953793
TMEM59	5.78454983502132e-07	1.48364546029548	0.0110545995713702	0.91626404065731	0.999999999953793
MGST1	5.57002887275207e-07	1.46555275624069	0.010249879852506	0.919358602652108	0.999999999953793
HLA-C	5.35374793636668e-07	1.44665214589945	0.009469340252883	0.92247978986185	0.999999999953793
PGAM1	5.28909502907199e-07	1.44086603464597	0.0092420139991152	0.923413041051212	0.999999999953793
NPC2	5.24418438826866e-07	1.43680842041413	0.0090857292000815	0.924061378890099	0.999999999953793
TUBA1B	5.20181375733504e-07	1.43295094418863	0.0089395051672897	0.924673094960641	0.999999999953793
HLA-DPA1	5.16790278662014e-07	1.42984281113271	0.0088233306199854	0.925162708774804	0.999999999953793
MYL12B	5.15685194258743e-07	1.42882589332103	0.0087856360255558	0.925322269346665	0.999999999953793
ACTB	5.11567808990004e-07	1.42501930978524	0.0086459017949766	0.925916795445117	0.999999999953793
TUBB	5.01650076550546e-07	1.41573348305703	0.0083139162938486	0.927349026609396	0.999999999953793
MYL12A	4.9946778489636e-07	1.41366763327608	0.0082417387858363	0.927664205623381	0.999999999953793
ACTG1	4.91077935237853e-07	1.40564751281815	0.0079671817443877	0.928876020847711	0.999999999953793
BCAP31	4.78972336116694e-07	1.39385086372973	0.0075792240126459	0.930624822427265	0.999999999953793
NME1	4.78554398636992e-07	1.39343872447019	0.0075660029577053	0.930685204629722	0.999999999953793
SFTPB	4.77230406039007e-07	1.39213091546987	0.0075241959041523	0.930876493262963	0.999999999953793
H2AFZ	4.7599821682676e-07	1.39091079217961	0.0074853917377109	0.931054521856667	0.999999999953793
SEPP1	4.68798155421177e-07	1.38372273012829	0.0072606528126491	0.932094866495623	0.999999999953793
CTSD	4.66155913808577e-07	1.38105945275981	0.0071790384325985	0.932476676030033	0.999999999953793
MT-ND4L	4.65747993671525e-07	1.38064705083901	0.007166479574323	0.932535622744364	0.999999999953793
