family	expected_sign_high_minus_low	observed_logFC_high_minus_low	observed_p	observed_n_q1	observed_n_q4	observed_n_genes_present	locked_logFC	locked_p	abs_diff_vs_locked_logFC	observed_matches_expected_sign	ko_n_family	ko_n_background	ko_median_Z_family	ko_median_Z_background	ko_rank_biserial	ko_wilcoxon_p	edge_sign_n	edge_sign_n_agree	edge_sign_concordance	edge_sign_binom_p	mean_edge_in_family	mean_gene_logFC_in_family	ko_wilcoxon_q_bh3
IFN	-1	-0.5998483584485667	0.057116273520176	18	16	222	-0.608721177015161	0.0516083260769159	0.008872818566594387	True	195	427	-1.1947100879081396	0.547962658452259	-0.694973878580436	5.077377801573951e-44	189	104	0.5502645502645502	0.19029148414591088	-0.0033675213675213667	-0.5551237246914927	1.5232133404721853e-43
MHC-I/APM	-1	-0.7934581527816089	0.0538036981655755	18	16	21	-0.80311328866899	0.050621224918061	0.009655135887381094	True	21	427	-0.04491497655225335	0.547962658452259	-0.22493587598974019	0.08182022336616424	21	12	0.5714285714285714	0.6636238098144531	-0.0031230158730158725	-0.7934581527816107	0.08182022336616424
TJ	1	0.0181051414265398	0.9440383865395822	18	16	211	0.0113153083251627	0.964990203833241	0.0067898331013771015	True	164	427	-0.8870510606405563	0.547962658452259	-0.5904495344719255	9.734702902462381e-29	160	107	0.66875	2.361287151444952e-05	0.004370426829268293	0.041081885536398355	1.4602054353693572e-28
