population	hugo	n_markers_in_paper	note
B-cells	BLK	9	Danaher JITC 2017 Table 1
B-cells	CD19	9	Danaher JITC 2017 Table 1
B-cells	FCRL2	9	Danaher JITC 2017 Table 1
B-cells	MS4A1	9	Danaher JITC 2017 Table 1
B-cells	KIAA0125	9	Danaher JITC 2017 Table 1; alias FAM30A (absent from Xena HiSeqV2)
B-cells	TNFRSF17	9	Danaher JITC 2017 Table 1
B-cells	TCL1A	9	Danaher JITC 2017 Table 1
B-cells	SPIB	9	Danaher JITC 2017 Table 1
B-cells	PNOC	9	Danaher JITC 2017 Table 1
CD45	PTPRC	1	Paper Table 1 prints PTRPC; official symbol is PTPRC (CD45)
Cytotoxic cells	PRF1	10	Danaher JITC 2017 Table 1
Cytotoxic cells	GZMA	10	Danaher JITC 2017 Table 1
Cytotoxic cells	GZMB	10	Danaher JITC 2017 Table 1
Cytotoxic cells	NKG7	10	Danaher JITC 2017 Table 1
Cytotoxic cells	GZMH	10	Danaher JITC 2017 Table 1
Cytotoxic cells	KLRK1	10	Danaher JITC 2017 Table 1
Cytotoxic cells	KLRB1	10	Danaher JITC 2017 Table 1
Cytotoxic cells	KLRD1	10	Danaher JITC 2017 Table 1
Cytotoxic cells	CTSW	10	Danaher JITC 2017 Table 1
Cytotoxic cells	GNLY	10	Danaher JITC 2017 Table 1
DC	CCL13	3	Danaher JITC 2017 Table 1
DC	CD209	3	Danaher JITC 2017 Table 1
DC	HSD11B1	3	Danaher JITC 2017 Table 1
Exhausted CD8	LAG3	4	Danaher JITC 2017 Table 1
Exhausted CD8	CD244	4	Danaher JITC 2017 Table 1
Exhausted CD8	EOMES	4	Danaher JITC 2017 Table 1
Exhausted CD8	PTGER4	4	Danaher JITC 2017 Table 1
Macrophages	CD68	4	Danaher JITC 2017 Table 1
Macrophages	CD84	4	Danaher JITC 2017 Table 1
Macrophages	CD163	4	Danaher JITC 2017 Table 1
Macrophages	MS4A4A	4	Danaher JITC 2017 Table 1
Mast cells	TPSB2	5	Danaher JITC 2017 Table 1
Mast cells	TPSAB1	5	Danaher JITC 2017 Table 1
Mast cells	CPA3	5	Danaher JITC 2017 Table 1
Mast cells	MS4A2	5	Danaher JITC 2017 Table 1
Mast cells	HDC	5	Danaher JITC 2017 Table 1
Neutrophils	FPR1	7	Danaher JITC 2017 Table 1
Neutrophils	SIGLEC5	7	Danaher JITC 2017 Table 1
Neutrophils	CSF3R	7	Danaher JITC 2017 Table 1
Neutrophils	FCAR	7	Danaher JITC 2017 Table 1
Neutrophils	FCGR3B	7	Danaher JITC 2017 Table 1
Neutrophils	CEACAM3	7	Danaher JITC 2017 Table 1
Neutrophils	S100A12	7	Danaher JITC 2017 Table 1
NK CD56dim	KIR2DL3	4	Danaher JITC 2017 Table 1
NK CD56dim	KIR3DL1	4	Danaher JITC 2017 Table 1
NK CD56dim	KIR3DL2	4	Danaher JITC 2017 Table 1
NK CD56dim	IL21R	4	Danaher JITC 2017 Table 1
NK cells	XCL1	3	Danaher JITC 2017 Table 1
NK cells	XCL2	3	Danaher JITC 2017 Table 1
NK cells	NCR1	3	Danaher JITC 2017 Table 1
T-cells	CD6	6	Danaher JITC 2017 Table 1
T-cells	CD3D	6	Danaher JITC 2017 Table 1
T-cells	CD3E	6	Danaher JITC 2017 Table 1
T-cells	SH2D1A	6	Danaher JITC 2017 Table 1
T-cells	TRAT1	6	Danaher JITC 2017 Table 1
T-cells	CD3G	6	Danaher JITC 2017 Table 1
Th1 cells	TBX21	1	Single-gene; no co-expression cluster in the paper
Treg	FOXP3	1	Single-gene; paper discarded other Treg candidates
CD8 T cells	CD8A	2	Danaher JITC 2017 Table 1
CD8 T cells	CD8B	2	Danaher JITC 2017 Table 1
