hugo	role	source
CCL5	T-cell-inflamed GEP	Ayers JCI 2017; public unweighted 18-gene list
CD27	T-cell-inflamed GEP	Ayers JCI 2017; public unweighted 18-gene list
CD274	T-cell-inflamed GEP	Ayers JCI 2017; public unweighted 18-gene list
CD276	T-cell-inflamed GEP	Ayers JCI 2017; public unweighted 18-gene list
CD8A	T-cell-inflamed GEP	Ayers JCI 2017; public unweighted 18-gene list
CMKLR1	T-cell-inflamed GEP	Ayers JCI 2017; public unweighted 18-gene list
CXCL9	T-cell-inflamed GEP	Ayers JCI 2017; public unweighted 18-gene list
CXCR6	T-cell-inflamed GEP	Ayers JCI 2017; public unweighted 18-gene list
HLA-DQA1	T-cell-inflamed GEP	Ayers JCI 2017; public unweighted 18-gene list
HLA-DRB1	T-cell-inflamed GEP	Ayers JCI 2017; public unweighted 18-gene list
HLA-E	T-cell-inflamed GEP	Ayers JCI 2017; public unweighted 18-gene list
IDO1	T-cell-inflamed GEP	Ayers JCI 2017; public unweighted 18-gene list
LAG3	T-cell-inflamed GEP	Ayers JCI 2017; public unweighted 18-gene list
NKG7	T-cell-inflamed GEP	Ayers JCI 2017; public unweighted 18-gene list
PDCD1LG2	T-cell-inflamed GEP	Ayers JCI 2017; public unweighted 18-gene list
PSMB10	T-cell-inflamed GEP	Ayers JCI 2017; public unweighted 18-gene list
STAT1	T-cell-inflamed GEP	Ayers JCI 2017; public unweighted 18-gene list
TIGIT	T-cell-inflamed GEP	Ayers JCI 2017; public unweighted 18-gene list
