dataset,gene,group,n,mean,sd,note
GSE309199,Tacstd2,Ctrl,3,0.4504,0.7801,RPM SCLC lung tumor; treatment (not per-mouse ICB response)
GSE309199,Tacstd2,aPD1,3,0.9417,0.7445,RPM SCLC lung tumor; treatment (not per-mouse ICB response)
GSE309199,Tacstd2,entinostat,3,1.4852,0.3157,RPM SCLC lung tumor; treatment (not per-mouse ICB response)
GSE309199,Tacstd2,aPD1_entinostat,3,1.4816,0.72,RPM SCLC lung tumor; treatment (not per-mouse ICB response)
GSE309199,Cldn4,Ctrl,3,0.4619,0.4854,RPM SCLC lung tumor; treatment (not per-mouse ICB response)
GSE309199,Cldn4,aPD1,3,0.7161,0.6167,RPM SCLC lung tumor; treatment (not per-mouse ICB response)
GSE309199,Cldn4,entinostat,3,2.2601,0.8688,RPM SCLC lung tumor; treatment (not per-mouse ICB response)
GSE309199,Cldn4,aPD1_entinostat,3,1.9292,0.6118,RPM SCLC lung tumor; treatment (not per-mouse ICB response)
GSE330941,Tacstd2,WT_ICI_refractory,4,2.1123,1.1756,"LLC tumor d12, no ICI on these RNA samples; model-level ICI sensitivity (WT refractory vs Ago2KO sensitized), NOT per-mouse R vs NR"
GSE330941,Tacstd2,Ago2KO_ICI_sensitized,4,3.5919,0.6124,"LLC tumor d12, no ICI on these RNA samples; model-level ICI sensitivity (WT refractory vs Ago2KO sensitized), NOT per-mouse R vs NR"
GSE330941,Cldn4,WT_ICI_refractory,4,1.4831,0.5071,"LLC tumor d12, no ICI on these RNA samples; model-level ICI sensitivity (WT refractory vs Ago2KO sensitized), NOT per-mouse R vs NR"
GSE330941,Cldn4,Ago2KO_ICI_sensitized,4,2.8349,0.5825,"LLC tumor d12, no ICI on these RNA samples; model-level ICI sensitivity (WT refractory vs Ago2KO sensitized), NOT per-mouse R vs NR"
