dataset,gene,n,spearman_rho,spearman_p,pearson_r,pearson_p,immune_genes_used
E-MTAB-13704,Tacstd2,27,0.5177,0.005678427367438138,0.5064,0.007031258203222122,Cd8a;Cd8b1;Gzmb;Gzmk;Prf1;Ifng;Nkg7;Cxcl9;Cxcl10;Cd3e;Pdcd1;Ptprc
E-MTAB-13704,Cldn4,27,-0.279,0.15875030619998584,-0.2644,0.18255546485367144,Cd8a;Cd8b1;Gzmb;Gzmk;Prf1;Ifng;Nkg7;Cxcl9;Cxcl10;Cd3e;Pdcd1;Ptprc
GSE239485,Tacstd2,24,0.4817,0.017142518672419674,0.5338,0.007223878446901743,Cd8a;Cd8b1;Gzmb;Gzmk;Prf1;Ifng;Nkg7;Cxcl9;Cxcl10;Cd3e;Pdcd1;Ptprc
GSE239485,Cldn4,24,0.2417,0.25510646621773336,0.171,0.4243184871446043,Cd8a;Cd8b1;Gzmb;Gzmk;Prf1;Ifng;Nkg7;Cxcl9;Cxcl10;Cd3e;Pdcd1;Ptprc
GSE297630,Tacstd2,6,-0.3143,0.5440932944606415,0.02,0.9700589786266823,Cd8a;Gzmb;Gzmk;Prf1;Ifng;Nkg7;Cxcl9;Cxcl10;Cd3e;Pdcd1;Ptprc
GSE297630,Cldn4,6,-0.0286,0.9571545189504373,-0.0471,0.929329068856061,Cd8a;Gzmb;Gzmk;Prf1;Ifng;Nkg7;Cxcl9;Cxcl10;Cd3e;Pdcd1;Ptprc
GSE330658,Tacstd2,8,0.3333,0.4197530864197532,0.3182,0.44246775357263246,Cd8a;Cd8b1;Gzmb;Gzmk;Prf1;Ifng;Nkg7;Cxcl9;Cxcl10;Cd3e;Pdcd1;Ptprc
GSE330658,Cldn4,8,0.2857,0.49272624501695717,0.1431,0.7353466696231917,Cd8a;Cd8b1;Gzmb;Gzmk;Prf1;Ifng;Nkg7;Cxcl9;Cxcl10;Cd3e;Pdcd1;Ptprc
GSE197260,Tacstd2,7,-0.0357,0.9394082054712856,-0.0375,0.936450514755935,Cd8a;Cd8b1;Gzmb;Gzmk;Prf1;Ifng;Nkg7;Cxcl9;Cxcl10;Cd3e;Pdcd1;Ptprc
GSE197260,Cldn4,7,-0.2143,0.6445115810207203,-0.2234,0.6301745033652929,Cd8a;Cd8b1;Gzmb;Gzmk;Prf1;Ifng;Nkg7;Cxcl9;Cxcl10;Cd3e;Pdcd1;Ptprc
