dataset,condition,gene,n_cells,spearman_rho,spearman_p,immune_genes_used
GSE129297,Ctrl,Tacstd2,3102,-0.026,0.14813117350171429,Cd8a;Cd8b1;Gzmb;Gzmk;Prf1;Ifng;Nkg7;Cxcl9;Cxcl10;Cd3e;Pdcd1;Ptprc
GSE129297,Ctrl,Cldn4,3102,-0.1871,8.029866889536478e-26,Cd8a;Cd8b1;Gzmb;Gzmk;Prf1;Ifng;Nkg7;Cxcl9;Cxcl10;Cd3e;Pdcd1;Ptprc
GSE129297,antiPD1,Tacstd2,2338,-0.0196,0.3441071306828838,Cd8a;Cd8b1;Gzmb;Gzmk;Prf1;Ifng;Nkg7;Cxcl9;Cxcl10;Cd3e;Pdcd1;Ptprc
GSE129297,antiPD1,Cldn4,2338,-0.1759,1.0456201357927368e-17,Cd8a;Cd8b1;Gzmb;Gzmk;Prf1;Ifng;Nkg7;Cxcl9;Cxcl10;Cd3e;Pdcd1;Ptprc
GSE129297,CDK7i_YKL,Tacstd2,3806,0.01,0.5386246674058517,Cd8a;Cd8b1;Gzmb;Gzmk;Prf1;Ifng;Nkg7;Cxcl9;Cxcl10;Cd3e;Pdcd1;Ptprc
GSE129297,CDK7i_YKL,Cldn4,3806,-0.1662,5.571689279270378e-25,Cd8a;Cd8b1;Gzmb;Gzmk;Prf1;Ifng;Nkg7;Cxcl9;Cxcl10;Cd3e;Pdcd1;Ptprc
GSE129297,antiPD1_CDK7i,Tacstd2,3675,-0.0318,0.05408877409004846,Cd8a;Cd8b1;Gzmb;Gzmk;Prf1;Ifng;Nkg7;Cxcl9;Cxcl10;Cd3e;Pdcd1;Ptprc
GSE129297,antiPD1_CDK7i,Cldn4,3675,-0.1684,8.841523826606159e-25,Cd8a;Cd8b1;Gzmb;Gzmk;Prf1;Ifng;Nkg7;Cxcl9;Cxcl10;Cd3e;Pdcd1;Ptprc
GSE133604,Ctrl,Tacstd2,6074,-0.0458,0.0003583471771964455,Cd8a;Cd8b1;Gzmb;Gzmk;Prf1;Ifng;Nkg7;Cxcl9;Cxcl10;Cd3e;Pdcd1;Ptprc
GSE133604,Ctrl,Cldn4,6074,-0.0406,0.001542323609622703,Cd8a;Cd8b1;Gzmb;Gzmk;Prf1;Ifng;Nkg7;Cxcl9;Cxcl10;Cd3e;Pdcd1;Ptprc
GSE133604,antiPD1,Tacstd2,6683,-0.0691,1.589785311651712e-08,Cd8a;Cd8b1;Gzmb;Gzmk;Prf1;Ifng;Nkg7;Cxcl9;Cxcl10;Cd3e;Pdcd1;Ptprc
GSE133604,antiPD1,Cldn4,6683,-0.0218,0.07451970431233734,Cd8a;Cd8b1;Gzmb;Gzmk;Prf1;Ifng;Nkg7;Cxcl9;Cxcl10;Cd3e;Pdcd1;Ptprc
GSE133604,Asf1a_KO,Tacstd2,6362,-0.0238,0.05796299454571825,Cd8a;Cd8b1;Gzmb;Gzmk;Prf1;Ifng;Nkg7;Cxcl9;Cxcl10;Cd3e;Pdcd1;Ptprc
GSE133604,Asf1a_KO,Cldn4,6362,-0.0163,0.19225774048192024,Cd8a;Cd8b1;Gzmb;Gzmk;Prf1;Ifng;Nkg7;Cxcl9;Cxcl10;Cd3e;Pdcd1;Ptprc
GSE133604,Asf1aKO_antiPD1,Tacstd2,6094,-0.0525,4.1148838578655036e-05,Cd8a;Cd8b1;Gzmb;Gzmk;Prf1;Ifng;Nkg7;Cxcl9;Cxcl10;Cd3e;Pdcd1;Ptprc
GSE133604,Asf1aKO_antiPD1,Cldn4,6094,-0.0141,0.2726379668031998,Cd8a;Cd8b1;Gzmb;Gzmk;Prf1;Ifng;Nkg7;Cxcl9;Cxcl10;Cd3e;Pdcd1;Ptprc
GSE297632,Control,Tacstd2,8426,0.0016,0.8816732882333981,Cd8a;Cd8b1;Gzmb;Gzmk;Prf1;Ifng;Nkg7;Cxcl9;Cxcl10;Cd3e;Pdcd1;Ptprc
GSE297632,Control,Cldn4,8426,0.0097,0.3719404755930922,Cd8a;Cd8b1;Gzmb;Gzmk;Prf1;Ifng;Nkg7;Cxcl9;Cxcl10;Cd3e;Pdcd1;Ptprc
GSE297632,antiPD1,Tacstd2,9413,0.0187,0.06988549336393517,Cd8a;Cd8b1;Gzmb;Gzmk;Prf1;Ifng;Nkg7;Cxcl9;Cxcl10;Cd3e;Pdcd1;Ptprc
GSE297632,antiPD1,Cldn4,9413,-0.009,0.3847234637234824,Cd8a;Cd8b1;Gzmb;Gzmk;Prf1;Ifng;Nkg7;Cxcl9;Cxcl10;Cd3e;Pdcd1;Ptprc
GSE222158,CD45_Ctrl,Tacstd2,6068,0.0766,2.2876815700403547e-09,Cd8a;Cd8b1;Gzmb;Gzmk;Prf1;Ifng;Nkg7;Cxcl9;Cxcl10;Cd3e;Pdcd1;Ptprc
GSE222158,CD45_Ctrl,Cldn4,6068,-0.0357,0.005383533416981493,Cd8a;Cd8b1;Gzmb;Gzmk;Prf1;Ifng;Nkg7;Cxcl9;Cxcl10;Cd3e;Pdcd1;Ptprc
GSE222158,CD45_antiPD1,Tacstd2,4667,0.0564,0.00011612660609070758,Cd8a;Cd8b1;Gzmb;Gzmk;Prf1;Ifng;Nkg7;Cxcl9;Cxcl10;Cd3e;Pdcd1;Ptprc
GSE222158,CD45_antiPD1,Cldn4,4667,-0.0269,0.06569967527657905,Cd8a;Cd8b1;Gzmb;Gzmk;Prf1;Ifng;Nkg7;Cxcl9;Cxcl10;Cd3e;Pdcd1;Ptprc
GSE222158,CD45_DCvax,Tacstd2,3914,0.012,0.45175228812409596,Cd8a;Cd8b1;Gzmb;Gzmk;Prf1;Ifng;Nkg7;Cxcl9;Cxcl10;Cd3e;Pdcd1;Ptprc
GSE222158,CD45_DCvax,Cldn4,3914,-0.0055,0.7327750050370099,Cd8a;Cd8b1;Gzmb;Gzmk;Prf1;Ifng;Nkg7;Cxcl9;Cxcl10;Cd3e;Pdcd1;Ptprc
GSE222158,CD45_DCvax_antiPD1,Tacstd2,6191,0.0098,0.4427170192691716,Cd8a;Cd8b1;Gzmb;Gzmk;Prf1;Ifng;Nkg7;Cxcl9;Cxcl10;Cd3e;Pdcd1;Ptprc
GSE222158,CD45_DCvax_antiPD1,Cldn4,6191,0.0026,0.8399169787214155,Cd8a;Cd8b1;Gzmb;Gzmk;Prf1;Ifng;Nkg7;Cxcl9;Cxcl10;Cd3e;Pdcd1;Ptprc
GSE222158,CD3_Ctrl,Tacstd2,4841,0.1352,3.555853110045134e-21,Cd8a;Cd8b1;Gzmb;Gzmk;Prf1;Ifng;Nkg7;Cxcl9;Cxcl10;Cd3e;Pdcd1;Ptprc
GSE222158,CD3_Ctrl,Cldn4,4841,-0.02,0.16389393947970549,Cd8a;Cd8b1;Gzmb;Gzmk;Prf1;Ifng;Nkg7;Cxcl9;Cxcl10;Cd3e;Pdcd1;Ptprc
GSE222158,CD3_DCvax_antiPD1,Tacstd2,4448,0.0943,2.9110949001843656e-10,Cd8a;Cd8b1;Gzmb;Gzmk;Prf1;Ifng;Nkg7;Cxcl9;Cxcl10;Cd3e;Pdcd1;Ptprc
GSE222158,CD3_DCvax_antiPD1,Cldn4,4448,-0.024,0.10979044154820848,Cd8a;Cd8b1;Gzmb;Gzmk;Prf1;Ifng;Nkg7;Cxcl9;Cxcl10;Cd3e;Pdcd1;Ptprc
