cohort	lineage	n
GSE127465	tT cells	12776
GSE127465	tMoMacDC	9372
GSE127465	tB cells	5218
GSE127465	tNeutrophils	2728
GSE127465	tPlasma cells	2197
GSE127465	Patient1-specific	1307
GSE127465	tNK cells	1116
GSE127465	Patient5-specific	766
GSE127465	tMast cells	732
GSE127465	Fibroblasts	585
GSE127465	Patient7-specific	538
GSE127465	Endothelial cells	535
GSE127465	Patient3-specific	527
GSE127465	Type II cells	403
GSE127465	Smooth muscle cells	318
GSE127465	tpDC	311
GSE127465	Patient6-specific	239
GSE127465	Patient4-specific	203
GSE127465	Patient2-specific	114
GSE127465	tRBC	108
GSE127465	ND	85
GSE127465	Ciliated cells	70
GSE127465	Club cells	68
GSE127465	Type I cells	46
