series	file	bytes	bytes_gb	under_2gb	role
GSE127465	GSE127465_human_counts_normalized_54773x41861.mtx.gz	528303938	0.528303938	True	human normalized MTX (cells x genes)
GSE127465	GSE127465_human_cell_metadata_54773x25.tsv.gz	4092351	0.004092351	True	human cell metadata
GSE148071	GSE148071_RAW.tar	180193280	0.18019328	True	42 per-sample UMI TXT
