cohort	assay	n_deposited	n_eligible	rho	p	ci95_lo	ci95_hi	endpoint
GSE127465	inDrops normalized MTX; author PatientN-specific = malignant	7	7	0.21428571428571433	0.6445115810207203	-0.6424537680494896	0.8329391711625234	T/NK fraction of tumor cells
GSE148071	10x UMI TXT; marker-argmax epithelium = putative malignant	42	25	0.18923076923076923	0.364968831611586	-0.22254692097559106	0.5437135188367125	T/NK fraction of all cells
