receiver	ligand	receptor	lr_class	axis	n_p_high	n_p_low	frac_q_high	frac_q_low
TNK	F11R	F11R	barrier_exclusion	F11R-F11R	64	64	0.09375	0.046875
TNK	F11R	ITGAL_ITGB2	barrier_exclusion	F11R-LFA1	64	64	0.703125	0.359375
TNK	NECTIN2	TIGIT	barrier_exclusion	NECTIN2-TIGIT	63	63	0.8888888888888888	0.6825396825396826
TNK	NECTIN2	CD96	barrier_exclusion	NECTIN2-CD96	64	64	0.953125	0.75
TNK	PVR	TIGIT	barrier_exclusion	PVR-TIGIT	62	62	0.5967741935483871	0.24193548387096775
TNK	PVR	CD96	barrier_exclusion	PVR-CD96	63	63	0.6349206349206349	0.25396825396825395
TNK	CDH1	CDH1	barrier_exclusion	CDH1-CDH1	64	64	0.0625	0.046875
TNK	CDH1	ITGAE_ITGB7	barrier_exclusion	CDH1-integrin	64	64	0.703125	0.25
TNK	CDH1	KLRG1	barrier_exclusion	CDH1-KLRG1	64	64	0.5625	0.28125
TNK	LGALS9	HAVCR2	barrier_exclusion	LGALS9-TIM3	64	64	0.3125	0.21875
TNK	LGALS9	CD44	barrier_exclusion	LGALS9-CD44	64	64	0.59375	0.46875
TNK	LGALS9	PTPRC	barrier_exclusion	LGALS9-CD45	64	64	0.71875	0.53125
TNK	CD274	PDCD1	barrier_exclusion	PDL1-PD1	62	62	0.1935483870967742	0.06451612903225806
TNK	PDCD1LG2	PDCD1	barrier_exclusion	PDL2-PD1	50	50	0.04	0.02
TNK	HLA-E	KLRC1_KLRD1	barrier_exclusion	HLA-E-NKG2A	64	64	0.0625	0.046875
TNK	CD47	SIRPA	barrier_exclusion	CD47-SIRPA	58	58	0.10344827586206896	0.05172413793103448
TNK	CD24	SIGLEC10	barrier_exclusion	CD24-SIGLEC10	52	52	0.038461538461538464	0.038461538461538464
TNK	TGFB1	TGFBR1_TGFBR2	barrier_exclusion	TGFB-TGFBR	64	64	0.046875	0.046875
TNK	MIF	CD74	barrier_exclusion	MIF-CD74	64	64	0.671875	0.59375
TNK	CXCL9	CXCR3	recruit_effector	CXCL9-CXCR3	49	49	0.04081632653061224	0.04081632653061224
TNK	CXCL10	CXCR3	recruit_effector	CXCL10-CXCR3	58	58	0.15517241379310345	0.1206896551724138
TNK	CXCL11	CXCR3	recruit_effector	CXCL11-CXCR3	34	34	0.058823529411764705	0.058823529411764705
