set	n_listed	n_present	missing	present
TLS_Cabrita	8	8		CCL19,CCL21,CXCL13,CCL17,CCR7,CXCR5,SELL,LAMP3
TLS_12chemokine	12	11	CCL3	CCL2,CCL4,CCL5,CCL8,CCL18,CCL19,CCL21,CXCL9,CXCL10,CXCL11,CXCL13
TLS_imprint	9	8	RBP5	CD79B,CD1D,CCR6,LAT,SKAP1,CETP,EIF1AY,PTGDS
B_cell	16	14	FCRL5,TNFRSF13C	MS4A1,CD19,CD79A,CD79B,BANK1,BLK,CD22,CR2,FCRL2,PAX5,TCL1A,VPREB3,CD37,IRF8
Plasma_cell	14	11	DERL3,IGHG3,IGHA1	MZB1,JCHAIN,TNFRSF17,POU2AF1,XBP1,PRDM1,SDC1,IGHG1,IGKC,SSR4,FKBP11
Tfh	9	7	BTLA,TOX2	CXCL13,CD200,ICOS,PDCD1,CD40LG,MAF,IL21
T_cell_CD8	8	7	CD8B	CD8A,GZMK,GZMA,PRF1,CD2,CD3D,CD3E
IFNg_Ayers	6	6		IFNG,STAT1,CXCL9,CXCL10,IDO1,HLA-DRA
Epithelial	6	6		EPCAM,KRT8,KRT18,KRT19,CDH1,KRT7
gene:CLDN4	1	1		CLDN4
gene:TACSTD2	1	1		TACSTD2
gene:CD8A	1	1		CD8A
gene:CD8B	1	0	CD8B	
gene:CD2	1	1		CD2
gene:CD3D	1	1		CD3D
gene:CD3E	1	1		CD3E
gene:GZMA	1	1		GZMA
gene:GZMB	1	1		GZMB
gene:GZMK	1	1		GZMK
gene:PRF1	1	1		PRF1
gene:IFNG	1	1		IFNG
gene:STAT1	1	1		STAT1
gene:CXCL9	1	1		CXCL9
gene:CXCL10	1	1		CXCL10
gene:IDO1	1	1		IDO1
gene:HLA-DRA	1	1		HLA-DRA
gene:CXCL13	1	1		CXCL13
gene:CCL19	1	1		CCL19
gene:CCL21	1	1		CCL21
gene:MS4A1	1	1		MS4A1
gene:CD19	1	1		CD19
gene:CD79A	1	1		CD79A
gene:CD79B	1	1		CD79B
