	geo_accession	title	source_name_ch1	characteristics_ch1	description	data_processing	cldn4_mas5	cd8a_mas5	tacstd2_mas5
GSM102114	GSM102114	LS-1	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	756.1	931.9	8143.9
GSM102115	GSM102115	LS-5	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	2190.1	450.7	7370.1
GSM102116	GSM102116	LS-9	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	817.7	582.9	5263.7
GSM102117	GSM102117	LS-13	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	859.6	315.9	7981.4
GSM102118	GSM102118	LS-15	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	1050.2	481.8	18757.3
GSM102119	GSM102119	LS-17	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	1039.6	517.4	14559.8
GSM102120	GSM102120	LS-19	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	395.5	608.8	2493.6
GSM102121	GSM102121	LS-21	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	1193.9	323.9	14275.4
GSM102122	GSM102122	LS-23	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	163.1	705.3	10618.6
GSM102123	GSM102123	LS-25	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	587.9	791.1	10339.0
GSM102124	GSM102124	LS-27	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	895.7	350.5	10145.9
GSM102125	GSM102125	LS-29	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	746.9	403.9	1686.2
GSM102126	GSM102126	LS-31	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	352.7	348.4	9791.8
GSM102127	GSM102127	LS-33	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	906.1	543.6	20437.3
GSM102128	GSM102128	LS-35	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	219.4	226.7	7146.1
GSM102129	GSM102129	LS-37	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	802.9	347.8	7759.1
GSM102130	GSM102130	LS-39	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	359.5	308.7	11445.4
GSM102131	GSM102131	LS-41	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	894.4	601.1	12377.2
GSM102132	GSM102132	LS-43	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	728.2	768.8	11109.5
GSM102133	GSM102133	LS-45	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	642.2	235.9	13344.4
GSM102134	GSM102134	LS-47	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	318.0	574.7	5634.6
GSM102135	GSM102135	LS-49	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	862.8	521.9	25140.0
GSM102136	GSM102136	LS-51	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	899.4	921.8	8452.3
GSM102137	GSM102137	LS-53	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	235.1	974.4	738.1
