cohort	endpoint	published_rho	this_run_rho	abs_delta
GSE72094	CD8A	-0.227	-0.22719754525860025	0.00019754525860024574
GSE68465	CD8A	-0.152	-0.15154078319660583	0.00045921680339416904
GSE19804	CD8A	-0.024	-0.024312646746535615	0.00031264674653561433
GSE273377_validation	CD8A	-0.423	-0.4232842456237844	0.0002842456237844293
GSE282774	CD8A	-0.206	-0.20579549659054097	0.00020450340945901702
GSE233774_tumor	CD8A	-0.437	-0.43670745272525024	0.00029254727474975484
