cohort	strict_luad	n_cohort	platform	endpoint	endpoint_family	n_genes	genes_used	subset	covariate_class	covariate_name	n	rho	p	story_negative	primary_family	eligible_max	q_primary
OncoSG	True	169	cBioPortal z-score RSEM	CD8A	CD8	1	CD8A	all	none	none	169	-0.3803664661130725	3.376491109743246e-07	True	True	True	6.137364800292581e-06
OncoSG	True	169	cBioPortal z-score RSEM	CD8A	CD8	1	CD8A	all	composition	published_PURITY	169	-0.30865764191436074	4.688545063105847e-05	True	True	True	0.00031614189568370855
OncoSG	True	169	cBioPortal z-score RSEM	CD8A	CD8	1	CD8A	high_tumor	none	none	87	-0.4176933731865568	5.69116774970965e-05	True	True	True	0.0003730876635920771
OncoSG	True	169	cBioPortal z-score RSEM	CD8A	CD8	1	CD8A	high_tumor	composition	published_PURITY	87	-0.30890868160738805	0.003804699617155547	True	True	True	0.012827272994981558
OncoSG	True	169	cBioPortal z-score RSEM	CD8B	CD8	1	CD8B	all	none	none	169	-0.3547585898264632	2.217951715380195e-06	True	True	True	2.7549294991038216e-05
OncoSG	True	169	cBioPortal z-score RSEM	CD8B	CD8	1	CD8B	all	composition	published_PURITY	169	-0.28095910656235745	0.00022509546419187732	True	True	True	0.0012956714524215377
OncoSG	True	169	cBioPortal z-score RSEM	CD8B	CD8	1	CD8B	high_tumor	none	none	87	-0.411751840781512	7.423593478555454e-05	True	True	True	0.00046104422656291765
OncoSG	True	169	cBioPortal z-score RSEM	CD8B	CD8	1	CD8B	high_tumor	composition	published_PURITY	87	-0.3068020123677893	0.004063793405543891	True	True	True	0.013507820333920537
OncoSG	True	169	cBioPortal z-score RSEM	CD8A_CD8B_zmean	CD8	2	CD8A,CD8B	all	none	none	169	-0.37211476306498936	6.303970419209878e-07	True	True	True	1.0626692992382365e-05
OncoSG	True	169	cBioPortal z-score RSEM	CD8A_CD8B_zmean	CD8	2	CD8A,CD8B	all	composition	published_PURITY	169	-0.2986073489193256	8.439007769907292e-05	True	True	True	0.0005106681624866977
