subset	score	adjustment	gene	k	N	rho	p	I2	ci_lo	ci_hi
all4	pct	none	CLDN1	4	65	0.161915	0.23435	0	-0.10548	0.407475
all4	pct	none	CLDN4	4	65	-0.531168	1.64622e-05	0	-0.696771	-0.311805
all4	pct	none	CLDN7	4	65	-0.408732	0.0886405	0.684467	-0.732359	0.0655277
all4	pct	none	EPCAM	4	65	-0.433869	0.00131374	0.081213	-0.634017	-0.179244
all4	pct	none	MUC1	4	65	-0.347065	0.204318	0.74824	-0.726477	0.194511
all4	pct	KRT	CLDN1	4	65	0.225207	0.108728	0	-0.0508221	0.46927
all4	pct	KRT	CLDN4	4	65	-0.477801	0.000271672	0	-0.66411	-0.235619
all4	pct	KRT	CLDN7	4	65	-0.35247	0.101552	0.556009	-0.669084	0.0724347
all4	pct	KRT	EPCAM	4	65	-0.367979	0.00688025	0	-0.582398	-0.105687
all4	pct	KRT	MUC1	4	65	-0.299835	0.21309	0.634966	-0.661954	0.175764
all4	pct	KRT1819	CLDN1	4	65	0.215062	0.126187	0	-0.0614492	0.460916
all4	pct	KRT1819	CLDN4	4	65	-0.481855	0.000235268	0	-0.667044	-0.240588
all4	pct	KRT1819	CLDN7	4	65	-0.326717	0.162075	0.617268	-0.672115	0.135458
all4	pct	KRT1819	EPCAM	4	65	-0.379371	0.00518557	0	-0.59108	-0.118762
all4	pct	KRT1819	MUC1	4	65	-0.264281	0.259441	0.609274	-0.629869	0.197172
all4	mean	none	CLDN1	4	65	0.182965	0.177924	0	-0.0839797	0.425407
all4	mean	none	CLDN4	4	65	-0.393648	0.00245102	0	-0.594978	-0.145836
all4	mean	none	CLDN7	4	65	-0.364259	0.21474	0.783967	-0.7552	0.217827
all4	mean	none	EPCAM	4	65	-0.326013	0.104839	0.530781	-0.633519	0.0704342
all4	mean	none	MUC1	4	65	-0.296265	0.332728	0.794331	-0.727516	0.30279
all4	mean	KRT	CLDN1	4	65	0.257758	0.0649009	0	-0.0162929	0.495788
all4	mean	KRT	CLDN4	4	65	-0.337677	0.0138829	0	-0.559063	-0.071347
all4	mean	KRT	CLDN7	4	65	-0.243519	0.376609	0.714748	-0.663706	0.293494
all4	mean	KRT	EPCAM	4	65	-0.210136	0.135386	0	-0.456843	0.0665874
all4	mean	KRT	MUC1	4	65	-0.205837	0.417535	0.660267	-0.612976	0.287679
all4	mean	KRT1819	CLDN1	4	65	0.246504	0.0781013	0	-0.0283052	0.48667
all4	mean	KRT1819	CLDN4	4	65	-0.331182	0.0159925	0	-0.554015	-0.0640673
all4	mean	KRT1819	CLDN7	4	65	-0.217527	0.469787	0.759387	-0.675329	0.361282
all4	mean	KRT1819	EPCAM	4	65	-0.21386	0.128388	0	-0.459922	0.0627047
all4	mean	KRT1819	MUC1	4	65	-0.168772	0.507607	0.65923	-0.587923	0.321824
author	pct	none	CLDN1	2	43	0.172974	0.287851	0	-0.146431	0.459718
author	pct	none	CLDN4	2	43	-0.478711	0.00151911	0	-0.687676	-0.196499
author	pct	none	CLDN7	2	43	-0.249249	0.529431	0.835002	-0.781087	0.492178
author	pct	none	EPCAM	2	43	-0.329511	0.0373422	0	-0.581351	-0.0200546
author	pct	none	MUC1	2	43	-0.00508522	0.986566	0.703475	-0.534921	0.527621
author	pct	KRT	CLDN1	2	43	0.242257	0.143664	0	-0.083932	0.521553
author	pct	KRT	CLDN4	2	43	-0.498989	0.00118789	0	-0.706048	-0.213332
author	pct	KRT	CLDN7	2	43	-0.335791	0.424487	0.850547	-0.835676	0.468369
