gene	score	n	min	q25	median	q75	max
CLDN1	pct	65	0	5.03597	13.6719	28.0702	87.5576
CLDN1	mean	65	0	0.0436683	0.151617	0.347377	1.67747
CLDN4	pct	65	0.265957	43.2596	61.6915	80.7882	96.3362
CLDN4	mean	65	0.00184348	0.806691	1.17643	1.59313	2.98159
CLDN7	pct	65	13.0435	35.3741	51.0972	66.2651	91.8288
CLDN7	mean	65	0.19487	0.42144	0.692657	1.17129	2.55021
EPCAM	pct	65	8.29841	46.9298	66.8508	83.4052	95.54
EPCAM	mean	65	0.0725031	0.76051	1.13444	1.75597	3.18285
MUC1	pct	65	0.463089	34.7079	54.1171	76.6987	95.3448
MUC1	mean	65	0.00386921	0.500342	1.14354	1.76856	2.92762
