dropped	gene	k	N	rho	p	I2
GSE123902	CLDN1	3	52	0.270486	0.0793699	0
GSE123902	CLDN4	3	52	-0.515015	0.000315743	0
GSE123902	CLDN7	3	52	-0.336256	0.25786	0.701143
GSE123902	EPCAM	3	52	-0.335305	0.0273864	0
GSE131907	CLDN1	3	44	0.214618	0.217488	0
GSE131907	CLDN4	3	44	-0.457742	0.0051574	0
GSE131907	CLDN7	3	44	-0.128409	0.465131	0
GSE131907	EPCAM	3	44	-0.418757	0.0116029	0
GSE205335	CLDN1	3	43	0.216762	0.220073	0
GSE205335	CLDN4	3	43	-0.474002	0.00412268	0
GSE205335	CLDN7	3	43	-0.548204	0.000606504	0
GSE205335	EPCAM	3	43	-0.331159	0.0553614	0
GSE189357	CLDN1	3	56	0.197005	0.185473	0
GSE189357	CLDN4	3	56	-0.460037	0.000969951	0
GSE189357	CLDN7	3	56	-0.356538	0.188457	0.704003
GSE189357	EPCAM	3	56	-0.384929	0.00710264	0
