gene	score	n_q1	n_q4	rank_biserial_tnk	p_tnk	rank_biserial_tnk_krt_resid	p_tnk_krt_resid
CLDN1	pct	19	16	0.302632	0.131899	0.342105	0.0881319
CLDN4	pct	19	16	-0.723684	0.000287949	-0.664474	0.000875072
CLDN7	pct	19	16	-0.381579	0.0569082	-0.263158	0.190882
EPCAM	pct	19	16	-0.532895	0.00768462	-0.467105	0.0195702
MUC1	pct	19	16	-0.401316	0.0451392	-0.217105	0.281846
