gene_a	gene_b	k	N	rho	p	I2	ci_lo	ci_hi
CLDN1	CLDN4	4	65	0.229262	0.146689	0.235494	-0.0816255	0.499491
CLDN1	CLDN7	4	65	0.301216	0.0236314	0	0.0416057	0.522726
CLDN1	EPCAM	4	65	0.244655	0.364542	0.729745	-0.282199	0.658131
CLDN1	MUC1	4	65	0.309742	0.0197257	0	0.0509886	0.529526
CLDN1	KRT	4	65	0.441255	0.0127142	0.438969	0.100754	0.689225
CLDN4	CLDN7	4	65	0.663414	0.00368148	0.7291	0.25405	0.8712
CLDN4	EPCAM	4	65	0.829499	5.94103e-12	0.32619	0.690315	0.909478
CLDN4	MUC1	4	65	0.654573	0.00434558	0.728238	0.240175	0.867171
CLDN4	KRT	4	65	0.539259	0.00182635	0.457281	0.220215	0.754077
CLDN7	EPCAM	4	65	0.79506	0.00537377	0.866096	0.310476	0.951652
CLDN7	MUC1	4	65	0.608489	2.69613e-07	0	0.411398	0.751218
CLDN7	KRT	4	65	0.77953	1.98173e-11	0.190229	0.628569	0.873886
EPCAM	MUC1	4	65	0.481205	0.00299671	0.356165	0.176297	0.701853
EPCAM	KRT	4	65	0.645961	0.000142312	0.500317	0.356146	0.822407
MUC1	KRT	4	65	0.554092	0.000692978	0.403072	0.257644	0.755201
