subset	score	adjustment	gene	pooled_rho	perm_p	N	n_perm
all4	pct	none	CLDN1	0.161515	0.210079	65	10000
all4	pct	none	CLDN4	-0.530965	9.999e-05	65	10000
all4	pct	none	CLDN7	-0.331978	0.00789921	65	10000
all4	pct	none	EPCAM	-0.412904	0.00159984	65	10000
all4	pct	none	MUC1	-0.225523	0.0721928	65	10000
all4	pct	KRT	CLDN1	0.264345	0.0392961	65	10000
all4	pct	KRT	CLDN4	-0.517396	9.999e-05	65	10000
all4	pct	KRT	CLDN7	-0.311685	0.0144986	65	10000
all4	pct	KRT	EPCAM	-0.390232	0.00269973	65	10000
all4	pct	KRT	MUC1	-0.161872	0.211879	65	10000
all4	pct	KRT1819	CLDN1	0.258584	0.0437956	65	10000
all4	pct	KRT1819	CLDN4	-0.514198	9.999e-05	65	10000
all4	pct	KRT1819	CLDN7	-0.30272	0.0167983	65	10000
all4	pct	KRT1819	EPCAM	-0.387108	0.00179982	65	10000
all4	pct	KRT1819	MUC1	-0.158366	0.224778	65	10000
author	pct	KRT	CLDN1	0.215032	0.174383	43	10000
author	pct	KRT	CLDN4	-0.503448	0.00129987	43	10000
author	pct	KRT	CLDN7	-0.286378	0.0666933	43	10000
author	pct	KRT	EPCAM	-0.378141	0.0172983	43	10000
author	pct	KRT	MUC1	0.00303773	0.985501	43	10000
marker	pct	KRT	CLDN1	0.236185	0.317668	22	10000
marker	pct	KRT	CLDN4	-0.450577	0.0480952	22	10000
marker	pct	KRT	CLDN7	-0.325198	0.158684	22	10000
marker	pct	KRT	EPCAM	-0.351715	0.128387	22	10000
marker	pct	KRT	MUC1	-0.509889	0.0226977	22	10000
