subset	score	adjustment	gene_a	gene_b	pooled_rho_a	pooled_rho_b	delta_a_minus_b	perm_p_delta	unique_pooled_rho_a	unique_perm_p_a	unique_pooled_rho_b	unique_perm_p_b	unique_dl_rho_a	unique_dl_p_a	unique_dl_rho_b	unique_dl_p_b	n_perm	N
all4	pct	KRT	CLDN4	CLDN1	-0.517396	0.264345	-0.781741	9.999e-05	-0.540658	9.999e-05	0.318024	0.0129987	-0.534353	6.34618e-05	0.322426	0.0249032	10000	65
all4	pct	KRT	CLDN4	CLDN7	-0.517396	-0.311685	-0.205711	0.166183	-0.465206	0.00019998	-0.184178	0.153885	-0.421521	0.00256468	-0.253069	0.307996	10000	65
all4	pct	KRT	CLDN4	EPCAM	-0.517396	-0.390232	-0.127164	0.178382	-0.369197	0.00389961	-0.0134047	0.918408	-0.279046	0.138548	-0.0576157	0.717754	10000	65
all4	pct	KRT	CLDN4	MUC1	-0.517396	-0.161872	-0.355524	0.0120988	-0.499043	9.999e-05	0.0373661	0.776822	-0.377471	0.00772466	-0.0751265	0.733475	10000	65
all4	pct	KRT1819	CLDN4	CLDN7	-0.514198	-0.30272	-0.211478	0.160384	-0.461043	0.00029997	-0.166211	0.205179	-0.428831	0.00210172	-0.24555	0.350271	10000	65
author	pct	KRT	CLDN4	CLDN1	-0.503448	0.215032	-0.718481	0.00089991	-0.496957	0.00209979	0.194787	0.231677	-0.510721	0.00120271	0.247977	0.145711	10000	43
author	pct	KRT	CLDN4	CLDN7	-0.503448	-0.286378	-0.217071	0.277172	-0.470306	0.00219978	-0.205736	0.19858	-0.494079	0.00186868	-0.255878	0.587378	10000	43
author	pct	KRT	CLDN4	EPCAM	-0.503448	-0.378141	-0.125307	0.245575	-0.359492	0.0268973	0.0195542	0.90131	-0.381126	0.0211256	0.0744628	0.668251	10000	43
author	pct	KRT	CLDN4	MUC1	-0.503448	0.00303773	-0.506486	0.00449955	-0.526373	0.00059994	0.177854	0.274073	-0.491389	0.00200194	0.180396	0.3129	10000	43
author	pct	KRT1819	CLDN4	CLDN7	-0.503832	-0.283975	-0.219857	0.267173	-0.468956	0.00309969	-0.197078	0.228377	-0.499882	0.00160707	-0.244782	0.624107	10000	43
marker	pct	KRT	CLDN4	CLDN1	-0.450577	0.236185	-0.686762	0.00119988	-0.667663	0.00129987	0.58599	0.00919908	-0.596937	0.0190216	0.506019	0.0535121	10000	22
marker	pct	KRT	CLDN4	CLDN7	-0.450577	-0.325198	-0.125379	0.568843	-0.339272	0.170283	-0.0843232	0.724628	-0.212193	0.503735	-0.261038	0.354611	10000	22
marker	pct	KRT	CLDN4	EPCAM	-0.450577	-0.351715	-0.0988623	0.657834	-0.320948	0.193481	-0.11721	0.631737	-0.123137	0.803364	-0.375679	0.171191	10000	22
marker	pct	KRT	CLDN4	MUC1	-0.450577	-0.509889	0.0593125	0.791521	-0.226748	0.340666	-0.345281	0.141986	-0.00995197	0.972498	-0.489298	0.0637723	10000	22
