dataset	score	adjustment	gene	n	rho	p
GSE123902	pct	none	CLDN1	13	0	1
GSE131907	pct	none	CLDN1	21	0.0701299	0.7626
GSE205335	pct	none	CLDN1	22	0.267081	0.229528
GSE189357	pct	none	CLDN1	9	0.35	0.35582
GSE123902	pct	none	CLDN4	13	-0.659341	0.0142256
GSE131907	pct	none	CLDN4	21	-0.522078	0.0151958
GSE205335	pct	none	CLDN4	22	-0.435347	0.0428613
GSE189357	pct	none	CLDN4	9	-0.6	0.0876228
GSE123902	pct	none	CLDN7	13	-0.71978	0.00553612
GSE131907	pct	none	CLDN7	21	-0.579221	0.00593173
GSE205335	pct	none	CLDN7	22	0.147374	0.512799
GSE189357	pct	none	CLDN7	9	-0.366667	0.33174
GSE123902	pct	none	EPCAM	13	-0.747253	0.00332674
GSE131907	pct	none	EPCAM	21	-0.279221	0.220289
GSE205335	pct	none	EPCAM	22	-0.375494	0.0850544
GSE189357	pct	none	EPCAM	9	-0.333333	0.380713
GSE123902	pct	none	MUC1	13	-0.758242	0.00266608
GSE131907	pct	none	MUC1	21	-0.3	0.186411
GSE205335	pct	none	MUC1	22	0.286279	0.196488
GSE189357	pct	none	MUC1	9	-0.533333	0.139227
GSE123902	pct	KRT	CLDN1	13	0.0146726	0.963902
GSE131907	pct	KRT	CLDN1	21	0.244993	0.297845
GSE205335	pct	KRT	CLDN1	22	0.23967	0.295375
GSE189357	pct	KRT	CLDN1	9	0.453349	0.259258
GSE123902	pct	KRT	CLDN4	13	-0.291838	0.35736
GSE131907	pct	KRT	CLDN4	21	-0.514234	0.0203608
GSE205335	pct	KRT	CLDN4	22	-0.484302	0.0260964
GSE189357	pct	KRT	CLDN4	9	-0.617236	0.10303
GSE123902	pct	KRT	CLDN7	13	-0.409113	0.186646
GSE131907	pct	KRT	CLDN7	21	-0.657628	0.00162559
GSE205335	pct	KRT	CLDN7	22	0.0859905	0.710923
GSE189357	pct	KRT	CLDN7	9	-0.340388	0.409358
GSE123902	pct	KRT	EPCAM	13	-0.50188	0.096398
GSE131907	pct	KRT	EPCAM	21	-0.266371	0.256289
GSE205335	pct	KRT	EPCAM	22	-0.428729	0.052475
GSE189357	pct	KRT	EPCAM	9	-0.209155	0.619122
GSE123902	pct	KRT	MUC1	13	-0.617169	0.0325203
GSE131907	pct	KRT	MUC1	21	-0.270476	0.248756
GSE205335	pct	KRT	MUC1	22	0.261459	0.252274
GSE189357	pct	KRT	MUC1	9	-0.659134	0.0754261
GSE123902	pct	KRT1819	CLDN1	13	0.0374688	0.907964
GSE131907	pct	KRT1819	CLDN1	21	0.200582	0.396474
GSE205335	pct	KRT1819	CLDN1	22	0.251608	0.271231
GSE189357	pct	KRT1819	CLDN1	9	0.427265	0.291038
GSE123902	pct	KRT1819	CLDN4	13	-0.353231	0.260039
GSE131907	pct	KRT1819	CLDN4	21	-0.528614	0.0165654
GSE205335	pct	KRT1819	CLDN4	22	-0.473465	0.0301612
GSE189357	pct	KRT1819	CLDN4	9	-0.559577	0.149242
GSE123902	pct	KRT1819	CLDN7	13	-0.449209	0.142926
GSE131907	pct	KRT1819	CLDN7	21	-0.668039	0.00128584
GSE205335	pct	KRT1819	CLDN7	22	0.114556	0.620988
GSE189357	pct	KRT1819	CLDN7	9	-0.13211	0.75516
GSE123902	pct	KRT1819	EPCAM	13	-0.538157	0.071085
GSE131907	pct	KRT1819	EPCAM	21	-0.316277	0.174293
GSE205335	pct	KRT1819	EPCAM	22	-0.42078	0.0575046
GSE189357	pct	KRT1819	EPCAM	9	-0.101611	0.810786
GSE123902	pct	KRT1819	MUC1	13	-0.631963	0.0274803
GSE131907	pct	KRT1819	MUC1	21	-0.282968	0.226705
GSE205335	pct	KRT1819	MUC1	22	0.276308	0.225342
GSE189357	pct	KRT1819	MUC1	9	-0.510517	0.196095
GSE123902	mean	none	CLDN1	13	0	1
GSE131907	mean	none	CLDN1	21	0.111688	0.629811
GSE205335	mean	none	CLDN1	22	0.269339	0.225463
GSE189357	mean	none	CLDN1	9	0.4	0.286105
GSE123902	mean	none	CLDN4	13	-0.653846	0.0153485
