gsm,Sample_title,Sample_source_name_ch1,Sample_description,cell line,response,TACSTD2,CLDN4
GSM5772210,responder_rep1,BALF derived from responders,BALF derived from responders,bronchoalveolar lavage fluid,responder,2.946,11.921
GSM5772211,non_responder_rep1,BALF derived from non-responders,BALF derived from non-responders,bronchoalveolar lavage fluid,non_responder,7.073,13.004
GSM5772212,non_responder_rep2,BALF derived from non-responders,BALF derived from non-responders,bronchoalveolar lavage fluid,non_responder,0.241,0.924
GSM5772213,responder_rep2,BALF derived from responders,BALF derived from responders,bronchoalveolar lavage fluid,responder,6.759,15.039
GSM5772214,non_responder_rep3,BALF derived from non-responders,BALF derived from non-responders,bronchoalveolar lavage fluid,non_responder,1.52,3.857
GSM5772215,responder_rep3,BALF derived from responders,BALF derived from responders,bronchoalveolar lavage fluid,responder,32.315,166.687
GSM5772216,responder_rep4,BALF derived from responders,BALF derived from responders,bronchoalveolar lavage fluid,responder,0.486,1.23
