gse	gsm	sample	arm	note	level	fmt	mtx_shape	n_genes_features	genes_found	Cldn4_in_matrix	n_spots_raw	n_spots_used	n_spots_dropped	median_umi	status	Cldn4_mean	Cldn4_pct	Tscore_mean	Epi_mean	exclusion_Cldn4_minus_T	n_with_xy
GSE261890	GSM8153570	Sen.Res.Veh	vehicle	Public library title Sen.Res.Veh; overall-design lists sen+veh / sen+ICI / res+veh / res+ICI but only 2 GSM deposited	L7_heAuto	mtx	28001x10795	28001	Ascl1,Cd2,Cd3d,Cd3e,Cd3g,Cd4,Cd79a,Cd8a,Cd8b1,Cdh1,Chga,Cldn4,Col1a1,Col3a1,Col6a1,Epcam,Gzma,Gzmb,Ifng,Insm1,Klrd1,Krt18,Krt19,Krt7,Krt8,Ms4a1,Ncr1,Nkg7,Nkx2-1,Prf1,Ptprc,Tacstd2	True	10795	10793	2	4119.0	ok	0.05784274637699127	7.514129528398036	0.010278966277837753	0.6584481596946716	0.04756377637386322	10793
GSE261890	GSM8153571	Sen.Res.ICI	ICI	Public library title Sen.Res.ICI; n=1 section	L7_heAuto	mtx	28001x10797	28001	Ascl1,Cd2,Cd3d,Cd3e,Cd3g,Cd4,Cd79a,Cd8a,Cd8b1,Cdh1,Chga,Cldn4,Col1a1,Col3a1,Col6a1,Epcam,Gzma,Gzmb,Ifng,Insm1,Klrd1,Krt18,Krt19,Krt7,Krt8,Ms4a1,Ncr1,Nkg7,Nkx2-1,Prf1,Ptprc,Tacstd2	True	10797	10797	0	4953.0	ok	0.08777802437543869	10.947485412614615	0.023968281224370003	0.7542491555213928	0.06380973756313324	10797
