id	gse	cell	gene	lfc
GSE273409_DMS114_NU7441	GSE273409	DMS114	PRKDC	-0.08635429448781018
GSE273409_DMS114_NU7441	GSE273409	DMS114	IFNB1	-0.03445643932850617
GSE273409_DMS114_NU7441	GSE273409	DMS114	CXCL10	-0.11569206268326848
GSE273409_DMS114_NU7441	GSE273409	DMS114	CCL5	0.05011821167852326
GSE273409_DMS114_NU7441	GSE273409	DMS114	STAT1	-0.19873239319772829
GSE273409_DMS114_NU7441	GSE273409	DMS114	IRF7	0.12125407835907964
GSE273409_DMS114_NU7441	GSE273409	DMS114	ISG15	-0.008742864960152197
GSE273409_DMS114_NU7441	GSE273409	DMS114	MX1	0.9320472554328569
GSE273409_DMS114_NU7441	GSE273409	DMS114	OAS1	0.18605236764493327
GSE273409_DMS114_NU7441	GSE273409	DMS114	IFI27	0.18401544862361163
GSE273409_DMS114_NU7441	GSE273409	DMS114	STING1	-0.7578605141170112
GSE273409_DMS114_NU7441	GSE273409	DMS114	CGAS	0.4561571033856193
GSE273409_DMS114_NU7441	GSE273409	DMS114	TBK1	0.013588656008996836
GSE273409_DMS114_NU7441	GSE273409	DMS114	IRF3	-0.23067015597023044
GSE273409_DMS114_NU7441	GSE273409	DMS114	HLA-A	0.06352382886709762
GSE273409_DMS114_NU7441	GSE273409	DMS114	HLA-B	0.008468276410610542
GSE273409_DMS114_NU7441	GSE273409	DMS114	B2M	0.15519141363337496
GSE273409_DMS114_NU7441	GSE273409	DMS114	TAP1	0.12247124381054775
GSE273409_DMS114_NU7441	GSE273409	DMS114	PSMB8	0.7088519613711548
GSE273409_DMS114_NU7441	GSE273409	DMS114	PSMB9	0.33362656697711657
GSE273409_DMS114_NU7441	GSE273409	DMS114	NLRC5	-0.25562407058549663
GSE273409_DMS114_NU7441	GSE273409	DMS114	CD274	0.10470987828878275
GSE273409_H146_NU7441	GSE273409	H146	PRKDC	-0.1389330274487648
GSE273409_H146_NU7441	GSE273409	H146	IFNB1	1.5091908005766645
GSE273409_H146_NU7441	GSE273409	H146	CXCL10	2.138298184536317
GSE273409_H146_NU7441	GSE273409	H146	CCL5	0.8434879699788143
GSE273409_H146_NU7441	GSE273409	H146	STAT1	0.042757722383175434
