study	cells	n_lines	modality	lfc	se	var	line_lfc	signature
GSE273409	DMS114,H146,H196,H446,H720,H1341	6	selective_inhibitor	0.009999875452505047	0.054035930689035054	0.0029198818054302004	DMS114:0.048;H146:0.232;H196:-0.066;H446:0.021;H720:-0.127;H1341:0.065	IFN
GSE242255	CWR22Rv1-AR-EK	1	genetic	0.11379234239042901	0.013650538766923657	0.00018633720862728563	CWR22Rv1-AR-EK:0.114	IFN
GSE116765	C4-2	1	selective_inhibitor	0.010529958488321611	0.019668491562722913	0.0003868495603529024	C4-2:0.011	IFN
GSE167956	SUM159	1	genetic	-0.06846834250521106	0.005212449408213781	2.71696288331882e-05	SUM159:-0.068	IFN
GSE319513	8505C	1	selective_inhibitor	-0.11286658641319347	0.012647311813937728	0.00015995449611896882	8505C:-0.113	IFN
GSE93075	HCT116	1	genetic	-0.026979152883463975	0.15261549854735493	0.023291490396857694	HCT116:-0.027	IFN
GSE63480	C4-2	1	genetic	-0.04985894550623016	0.011412569309867244	0.0001302467382525237	C4-2:-0.050	IFN
GSE285698	HCT116	1	genetic	0.18069404519425847	0.009348375056707775	8.739211620087609e-05	HCT116:0.181	IFN
GSE273409	DMS114,H146,H196,H446,H720,H1341	6	selective_inhibitor	0.1329389439369856	0.06208749249377099	0.0038548567241640692	DMS114:0.360;H146:0.145;H196:0.526;H446:0.051;H720:0.100;H1341:0.192	STING
GSE242255	CWR22Rv1-AR-EK	1	genetic	0.26057021226919463	0.21132071281171633	0.04465644366325189	CWR22Rv1-AR-EK:0.261	STING
GSE116765	C4-2	1	selective_inhibitor	0.003943691670546201	0.014853654570892525	0.0002206310541113964	C4-2:0.004	STING
GSE167956	SUM159	1	genetic	-0.028332245893746943	0.018685457813246032	0.0003491463336905972	SUM159:-0.028	STING
GSE319513	8505C	1	selective_inhibitor	0.21494127580159184	0.020781034381971274	0.00043185138998467224	8505C:0.215	STING
GSE93075	HCT116	1	genetic	-0.14352372931244517	0.7371482604018076	0.5433875578134111	HCT116:-0.144	STING
GSE63480	C4-2	1	genetic	-0.08145498747468416	0.05953842806844622	0.0035448244168615447	C4-2:-0.081	STING
GSE285698	HCT116	1	genetic	0.48415326583667095	0.021053237734867798	0.00044323881912086135	HCT116:0.484	STING
GSE273409	DMS114,H146,H196,H446,H720,H1341	6	selective_inhibitor	-0.09313689669926274	0.02357492605838818	0.00055577713865847	DMS114:0.014;H146:0.070;H196:-0.126;H446:-0.062;H720:-0.086;H1341:-0.159	APM
GSE242255	CWR22Rv1-AR-EK	1	genetic	-0.19172319244204594	0.0689513538513978	0.004754289197940671	CWR22Rv1-AR-EK:-0.192	APM
GSE116765	C4-2	1	selective_inhibitor	0.14156885927920548	0.041581500735436816	0.0017290212034111324	C4-2:0.142	APM
GSE167956	SUM159	1	genetic	-0.10266928665883057	0.02077126260928561	0.00043144535038390643	SUM159:-0.103	APM
GSE319513	8505C	1	selective_inhibitor	-0.042012441975665116	0.00789837067503186	6.238425932020324e-05	8505C:-0.042	APM
GSE93075	HCT116	1	genetic	-0.15574952112456675	0.1495923281672727	0.022377864646505007	HCT116:-0.156	APM
GSE63480	C4-2	1	genetic	0.07350913356659916	0.009087148582153095	8.257626935412699e-05	C4-2:0.074	APM
GSE285698	HCT116	1	genetic	0.3285519174058278	0.05036588193141065	0.002536722062728798	HCT116:0.329	APM
GSE273409	DMS114,H146,H196,H446,H720,H1341	6	selective_inhibitor	0.06667525766308158	0.11269677539580224	0.012700563184611897	DMS114:0.094;H146:0.222;H196:-0.056;H446:0.319;H720:0.004;H1341:-0.183	MHCI
GSE242255	CWR22Rv1-AR-EK	1	genetic	-0.7788418293298731	0.14750275660829223	0.0217570632070451	CWR22Rv1-AR-EK:-0.779	MHCI
GSE116765	C4-2	1	selective_inhibitor	0.2532874110794996	0.09045974137074068	0.008182964808861293	C4-2:0.253	MHCI
GSE167956	SUM159	1	genetic	-0.19684642596031843	0.039470059997229426	0.0015578856361848905	SUM159:-0.197	MHCI
GSE319513	8505C	1	selective_inhibitor	0.751926877491857	0.03395104897467345	0.0011526737264806752	8505C:0.752	MHCI
GSE93075	HCT116	1	genetic	-0.03471117624611075	0.04893882345433589	0.0023950084410946566	HCT116:-0.035	MHCI
GSE63480	C4-2	1	genetic	0.4063091618473056	0.023757552778307833	0.0005644213140140823	C4-2:0.406	MHCI
GSE285698	HCT116	1	genetic	0.5792870197436937	0.05244503041681243	0.0027504812154203807	HCT116:0.579	MHCI
