gene	platform_or_source	probe_or_row	sample	sample_title	value
CLDN4	GPL1261	1418283_at	GSM1375775	Mouse lung at 12 months (48343)	100.75
CLDN4	GPL1261	1418283_at	GSM1375776	Mouse lung at 12 months (49424)	97.33
CLDN4	GPL1261	1418283_at	GSM1375777	Mouse lung at 12 months (44322)	144.67
CLDN4	GPL1261	1418283_at	GSM1375778	Mouse lung tumor at 12 months	739.14
CLDN4	GPL1261	1418283_at	GSM1375779	Mouse lung tumor at 12 months (49420)	381.47
CLDN4	GPL1261	1418283_at	GSM1375780	Mouse lung tumor at 12 months (48345)	497.2
CLDN4	GPL1261	1418283_at	GSM1375781	Mouse lung  at 7 months, FF-1	54.9
CLDN4	GPL1261	1418283_at	GSM1375782	Mouse lung  at 7 months, FF-2	52.51
CLDN4	GPL1261	1418283_at	GSM1375783	Mouse lung  at 7 months, FF-3	80.77
CLDN4	GPL1261	1418283_at	GSM1375784	Mouse lung  at 7 months, pD-1	109.53
CLDN4	GPL1261	1418283_at	GSM1375785	Mouse lung  at 7 months, pD-2	119.07
CLDN4	GPL1261	1418283_at	GSM1375786	Mouse lung  at 7 months, pD-3	83.79
CLDN4	GPL1261	1418283_at	GSM1375787	Mouse lung  at 7 months, DD-1	84.98
CLDN4	GPL1261	1418283_at	GSM1375788	Mouse lung  at 7 months, DD-2	147.11
CLDN4	GPL1261	1418283_at	GSM1375789	Mouse lung  at 7 months, DD-3	257.86
TACSTD2	GPL1261	1423323_at	GSM1375775	Mouse lung at 12 months (48343)	531.28
TACSTD2	GPL1261	1423323_at	GSM1375776	Mouse lung at 12 months (49424)	449.6
TACSTD2	GPL1261	1423323_at	GSM1375777	Mouse lung at 12 months (44322)	550.71
TACSTD2	GPL1261	1423323_at	GSM1375778	Mouse lung tumor at 12 months	975.34
TACSTD2	GPL1261	1423323_at	GSM1375779	Mouse lung tumor at 12 months (49420)	868.53
TACSTD2	GPL1261	1423323_at	GSM1375780	Mouse lung tumor at 12 months (48345)	924.86
TACSTD2	GPL1261	1423323_at	GSM1375781	Mouse lung  at 7 months, FF-1	359.68
TACSTD2	GPL1261	1423323_at	GSM1375782	Mouse lung  at 7 months, FF-2	417.35
TACSTD2	GPL1261	1423323_at	GSM1375783	Mouse lung  at 7 months, FF-3	535.51
TACSTD2	GPL1261	1423323_at	GSM1375784	Mouse lung  at 7 months, pD-1	346.79
TACSTD2	GPL1261	1423323_at	GSM1375785	Mouse lung  at 7 months, pD-2	386.01
TACSTD2	GPL1261	1423323_at	GSM1375786	Mouse lung  at 7 months, pD-3	373.95
TACSTD2	GPL1261	1423323_at	GSM1375787	Mouse lung  at 7 months, DD-1	531.66
TACSTD2	GPL1261	1423323_at	GSM1375788	Mouse lung  at 7 months, DD-2	461.14
TACSTD2	GPL1261	1423323_at	GSM1375789	Mouse lung  at 7 months, DD-3	452.05
