accession	pdat	gdstype	n_samples	taxon	gpl	title	summary
GSE43453	2016/01/03	Expression profiling by array	16	Mus musculus	GPL16499	Silica-mediated airway chronic inflammation promotes lung carcinogenesis through the activation of preneoplastic lesions in the context of an immunosuppressive microenvirontment	Basic studies on preneoplastic lesions are important to determine the molecular alterations that take place in early steps of lung carcinogenesis. Little is known about the molecular events preceding the development of lung cancer in the context of an inflammatory environment. In this study we report the generation of a chemical-induced lung carcinogenesis mouse model in the presence of silicotic chronic inflammation. Silica-induced lung inflammation, strongly promoted incidence of lung cancer in mice treated with NDMA, a carcinogen found in tobacco smoke. Histological and molecular analysis revealed that permanent inflammation contributed to lung tumorigenesis through the adquisition of preneoplastic changes in lung epithelial cells. Inflammatory milieu increased the expression of PDCD1, TGFβ-1, MCP-1, LAG3, and Foxp3 and the presence of regulatory T cells within preneoplastic lesions. In addition concomitant chronic inflammation changed the K-ras mutational profile of the generated tumors from Q61R to G12D transition. In summary, these data identify early molecular mechanisms underlying lung carcinogenesis in an inflammatory context at different steps, providing a novel approach for the identification of drivers from preneoplastic to neoplastic lesions
GSE57133	2015/03/05	Expression profiling by array	15	Mus musculus	GPL1261	ErbB2 Pathway Activation upon Smad4 Loss Promotes Lung Tumor Growth and Metastasis [expression]	Lung cancer remains the leading cause of cancer death. Genome sequencing of lung tumors from patients with Squamous Cell Carcinoma has identified SMAD4 to be frequently mutated. Here we used a novel mouse model to determine the molecular mechanisms regulated by loss of Smad4 which lead to lung cancer progression. Mice with ablation of Pten and Smad4 in airway epithelium developed metastatic adenosquamous tumors. Comparative transcriptomic and in vivo cistromic analyses determined that loss of PTEN and SMAD4 resulted in activation of the ELF3 and the ErbB2 pathway due to decreased ERRFI1’s expression, a negative regulator of ERBB2 in mice and human cells. The combinatorial inhibition of ErbB2 and Akt signaling attenuated tumor progression and cell invasion, respectively. Expression profiles analysis of human lung tumors substantiated the importance of the ErbB2/Akt/ELF3 signaling pathway as both prognostic biomarkers and therapeutic drug targets for treating lung cancer.
GSE65041	2015/05/01	Expression profiling by array	11	Homo sapiens	GPL14951	Expression data in PD-L1 positive and PD-L1 negative human melanoma samples	Blocking the PD-1/PD-L1 immunosuppressive pathway has shown promise in the treatment of certain cancers including melanoma. This study investigates differences in the gene expression profiles of human melanomas that do or do not display the immunosuppressive protein PD-L1. Further understanding of genes expressed within the tumor microenvironment of PD-L1+ tumors may lead to improved rationally designed treatments.
GSE67501	2016/08/04	Expression profiling by array	11	Homo sapiens	GPL14951	Expression data in human renal cell carcinoma samples from patients who did or did not respond to anti-PD-1 (Nivolumab) immunotherapy	Pre-treatment tumor expression of PD-L1 has been shown to correlate with favorable clinical outcomes following PD-1 blocking therapies. However, the majority of patients with PD-L1+ tumors do not respond to treatment. With the goal of obtaining insights into the mechanisms underlying the response to anti-PD-1 targeted therapies in patients with renal cell carcinoma (RCC) with positive tumor expression of PD-L1, microarray expression data was obtained for pre-treatment tumors from patients with RCC who did or did not have a positive response to anti-PD-1 (nivolumab) therapy. Insight into these mechanisms may lead to improved rationally designed therapies, and biomarkers for selecting patients who are more likely to benefit from these treatments.
GSE76356	2016/06/13	Expression profiling by high throughput sequencing	7	Mus musculus	GPL17021	DICER controls macrophage polarization and tumor response to immunotherapy	Tumor-associated macrophages (TAMs) have immunosuppressive capacity in mouse models of cancer. Here we show that the genetic deletion of the microRNA (miRNA)-processing enzyme DICER in TAMs broadly programs them to a CD11c+MRC1−/low M1-like immunostimulatory phenotype characterized by activated interferon-γ (IFN-γ)/STAT1/IRF signaling. M1-like TAM programming fostered the recruitment of cytotoxic T-cells (CTLs), including tumor-antigen-specific CTLs, inhibited tumor growth, and enhanced the efficacy of PD1 checkpoint blockade. Bioinformatics analysis of TAM transcriptomes identified a limited set of miRNAs putatively involved in TAM programming. Re-expression of Let-7 in Dicer-deficient TAMs was sufficient to partly rescue the M2-like (protumoral) TAM phenotype and abate tumor CTL infiltration. Targeted suppression of DICER activity in TAMs may, therefore, stimulate antitumor immunity and enhance the efficacy of cancer immunotherapy.
GSE78220	2016/03/18	Expression profiling by high throughput sequencing	28	Homo sapiens	GPL11154	mRNA expressions in pre-treatment melanomas undergoing anti-PD-1 checkpoint inhibition therapy	PD-1 immune checkpoint blockade provides significant clinical benefits for cancer patients. However, factors influencing innate sensitivity remain incompletely catalogued. We analyzed the somatic mutanomes and transcriptomes of pretreatment melanoma biopsies. Mutations in cell adhesion genes and the DNA repair gene BRCA2 were enriched in responding tumors, and a high mutational load associated with improved survival. Innately resistant tumors displayed frequent transcriptomic up-expression of genes that enriched for mesenchymal transition, cell adhesion, ECM organization, wound-healing and angiogenesis. The transcriptomes of innate resistance also enriched for signatures indicating up-regulation of these processes. Notably, MAPK-targeted therapy (MAPKi) induced similar signatures in melanoma, suggesting that a form of MAPKi resistance mediates cross-resistance to anti-PD-1 therapy. Co-enrichment of IPRIM (Innate anti-PD-1 Resistance Induced by MAPKi) signatures defined a transcriptomic subset across advanced cancers, suggesting that attenuating processes underlying these signatures may augment anti-PD1 responses. Thus, multi-factorial determinants influence anti-PD-1 patterns in melanoma.
GSE81258	2016/05/10	Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by high throughput sequencing	91	Homo sapiens; Mus musculus	GPL17021;GPL16417;GPL16791	Nfib promotes Metastasis through a Widespread Increase in Chromatin Accessibility	This SuperSeries is composed of the SubSeries listed below.
GSE84789	2016/10/11	Expression profiling by high throughput sequencing	192	Homo sapiens	GPL11154	Single-cell profiling of non small cell lung cancer associated B-cells.	Background: Immune checkpoint blockade improves survival in a subset of patients with non-small cell lung cancer (NSCLC), but robust biomarkers that predict response to PD-1 pathway inhibitors are lacking. Furthermore, our understanding of the diversity of the NSCLC tumor immune microenvironment remains limited. Methods: We performed comprehensive flow-cytometric immunoprofiling on both tumor and immune cells from 51 NSCLCs and integrated this analysis with clinical and histopathologic characteristics, next generation sequencing, mRNA expression, and PD-L1 immunohistochemistry (IHC). Results: Cytometric profiling identified an immunologically “hot” cluster with abundant CD8+ T cells expressing high levels of the PD-1 and TIM-3, and an immunologically “cold” cluster with lower relative abundance of CD8+ T cells and expression of inhibitory markers. The “hot” cluster was highly enriched for expression of genes associated with T cell trafficking and cytotoxic function, and high PD-L1 expression by IHC. There was no correlation between immunophenotype and KRAS or EGFR mutation, or patient smoking history, but we did observe an enrichment of squamous subtype and tumors with higher mutation burden in the “hot” cluster. Additionally, ~20% of cases had high B cell infiltrates with a subset producing IL-10. Conclusions: Our results support the use of immune-based metrics to study response and resistance to immunotherapy in lung cancer. Background: Immune checkpoint blockade improves survival in a subset of patients with non-small cell lung cancer (NSCLC), but robust biomarkers that predict response to PD-1 pathway inhibitors are lacking. Furthermore, our understanding of the diversity of the NSCLC tumor immune microenvironment remains limited. Methods: We performed comprehensive flow-cytometric immunoprofiling on both tumor and immune cells from 51 NSCLCs and integrated this analysis with clinical and histopathologic characteristics, next generation sequencing, mRNA expression, and PD-L1 immunohistochemistry (IHC). Results: Cytometric profiling identified an immunologically “hot” cluster with abundant CD8+ T cells expressing high levels of the PD-1 and TIM-3, and an immunologically “cold” cluster with lower relative abundance of CD8+ T cells and expression of inhibitory markers. The “hot” cluster was highly enriched for expression of genes associated with T cell trafficking and cytotoxic function, and high PD-L1 expression by IHC. There was no correlation between immunophenotype and KRAS or EGFR mutation, or patient smoking history, but we did observe an enrichment of squamous subtype and tumors with higher mutation burden in the “hot” cluster. Additionally, ~20% of cases had high B cell infiltrates with a subset producing IL-10. Conclusions: Our results support the use of immune-based metrics to study response and resistance to immunotherapy in lung cancer.
GSE84797	2016/10/11	Expression profiling by array	29	Homo sapiens	GPL19965	Multi-parametric profiling of non-small cell lung cancers reveals distinct immunophenotypes [Nanostring]	Background: Immune checkpoint blockade improves survival in a subset of patients with non-small cell lung cancer (NSCLC), but robust biomarkers that predict response to PD-1 pathway inhibitors are lacking. Furthermore, our understanding of the diversity of the NSCLC tumor immune microenvironment remains limited. Methods: We performed comprehensive flow-cytometric immunoprofiling on both tumor and immune cells from 51 NSCLCs and integrated this analysis with clinical and histopathologic characteristics, next generation sequencing, mRNA expression, and PD-L1 immunohistochemistry (IHC). Results: Cytometric profiling identified an immunologically “hot” cluster with abundant CD8+ T cells expressing high levels of the PD-1 and TIM-3, and an immunologically “cold” cluster with lower relative abundance of CD8+ T cells and expression of inhibitory markers. The “hot” cluster was highly enriched for expression of genes associated with T cell trafficking and cytotoxic function, and high PD-L1 expression by IHC. There was no correlation between immunophenotype and KRAS or EGFR mutation, or patient smoking history, but we did observe an enrichment of squamous subtype and tumors with higher mutation burden in the “hot” cluster. Additionally, ~20% of cases had high B cell infiltrates with a subset producing IL-10. Conclusions: Our results support the use of immune-based metrics to study response and resistance to immunotherapy in lung cancer. Background: Immune checkpoint blockade improves survival in a subset of patients with non-small cell lung cancer (NSCLC), but robust biomarkers that predict response to PD-1 pathway inhibitors are lacking. Furthermore, our understanding of the diversity of the NSCLC tumor immune microenvironment remains limited. Methods: We performed comprehensive flow-cytometric immunoprofiling on both tumor and immune cells from 51 NSCLCs and integrated this analysis with clinical and histopathologic characteristics, next generation sequencing, mRNA expression, and PD-L1 immunohistochemistry (IHC). Results: Cytometric profiling identified an immunologically “hot” cluster with abundant CD8+ T cells expressing high levels of the PD-1 and TIM-3, and an immunologically “cold” cluster with lower relative abundance of CD8+ T cells and expression of inhibitory markers. The “hot” cluster was highly enriched for expression of genes associated with T cell trafficking and cytotoxic function, and high PD-L1 expression by IHC. There was no correlation between immunophenotype and KRAS or EGFR mutation, or patient smoking history, but we did observe an enrichment of squamous subtype and tumors with higher mutation burden in the “hot” cluster. Additionally, ~20% of cases had high B cell infiltrates with a subset producing IL-10. Conclusions: Our results support the use of immune-based metrics to study response and resistance to immunotherapy in lung cancer. 29 NSCLC cases analyzed wth Nanostring human PanCancer immune module
