accession	taxon	gdstype	status
GSE43453	Mus musculus	Expression profiling by array	processed from series matrix + platform annotation; 96 values, 2/2 target genes found
GSE57133	Mus musculus	Expression profiling by array	processed from series matrix + platform annotation; 30 values, 2/2 target genes found
GSE65041	Homo sapiens	Expression profiling by array	processed from series matrix + platform annotation; 22 values, 2/2 target genes found
GSE67501	Homo sapiens	Expression profiling by array	processed from series matrix + platform annotation; 22 values, 2/2 target genes found
GSE76356	Mus musculus	Expression profiling by high throughput sequencing	processed from supplementary RNA-seq expression table; 7 values, 1/2 target genes found
GSE78220	Homo sapiens	Expression profiling by high throughput sequencing	processed from supplementary RNA-seq expression table; 56 values, 2/2 target genes found
GSE81258	Homo sapiens; Mus musculus	Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by high throughput sequencing	SuperSeries has no series-level expression table; processed GSE81257 DESeq table named in Series_relation; 72 values, 2/2 target genes found
GSE84789	Homo sapiens	Expression profiling by high throughput sequencing	processed from supplementary RNA-seq expression table; 384 values, 2/2 target genes found
GSE84797	Homo sapiens	Expression profiling by array	processed from series matrix + platform annotation; 0 values, 0/2 target genes found in the processed table (gene absent from platform/file, not imputed)
