gene	platform_or_source	probe_or_row	sample	sample_title	value
CLDN4	RNA-seq FPKM	GSE78220_PatientFPKM.xlsx:CLDN4	Pt1.baseline		0.746044
CLDN4	RNA-seq FPKM	GSE78220_PatientFPKM.xlsx:CLDN4	Pt2.baseline		0.827807
CLDN4	RNA-seq FPKM	GSE78220_PatientFPKM.xlsx:CLDN4	Pt4.baseline		0.07884
CLDN4	RNA-seq FPKM	GSE78220_PatientFPKM.xlsx:CLDN4	Pt5.baseline		0.208736
CLDN4	RNA-seq FPKM	GSE78220_PatientFPKM.xlsx:CLDN4	Pt6.baseline		0.425267
CLDN4	RNA-seq FPKM	GSE78220_PatientFPKM.xlsx:CLDN4	Pt7.baseline		0.0351221
CLDN4	RNA-seq FPKM	GSE78220_PatientFPKM.xlsx:CLDN4	Pt8.baseline		1.13486
CLDN4	RNA-seq FPKM	GSE78220_PatientFPKM.xlsx:CLDN4	Pt9.baseline		7.038725
CLDN4	RNA-seq FPKM	GSE78220_PatientFPKM.xlsx:CLDN4	Pt10.baseline		1.306025
CLDN4	RNA-seq FPKM	GSE78220_PatientFPKM.xlsx:CLDN4	Pt12.baseline		0.20133855
CLDN4	RNA-seq FPKM	GSE78220_PatientFPKM.xlsx:CLDN4	Pt13.baseline		0.3600355
CLDN4	RNA-seq FPKM	GSE78220_PatientFPKM.xlsx:CLDN4	Pt14.baseline		3.208215
CLDN4	RNA-seq FPKM	GSE78220_PatientFPKM.xlsx:CLDN4	Pt15.baseline		0.2918365
CLDN4	RNA-seq FPKM	GSE78220_PatientFPKM.xlsx:CLDN4	Pt16.OnTx		0.178749
CLDN4	RNA-seq FPKM	GSE78220_PatientFPKM.xlsx:CLDN4	Pt19.baseline		0.02833765
CLDN4	RNA-seq FPKM	GSE78220_PatientFPKM.xlsx:CLDN4	Pt20.baseline		0.2665695
CLDN4	RNA-seq FPKM	GSE78220_PatientFPKM.xlsx:CLDN4	Pt22.baseline		0.0765637
CLDN4	RNA-seq FPKM	GSE78220_PatientFPKM.xlsx:CLDN4	Pt23.baseline		0.3177395
CLDN4	RNA-seq FPKM	GSE78220_PatientFPKM.xlsx:CLDN4	Pt25.baseline		0.0890835
CLDN4	RNA-seq FPKM	GSE78220_PatientFPKM.xlsx:CLDN4	Pt27A.baseline		0.262105
CLDN4	RNA-seq FPKM	GSE78220_PatientFPKM.xlsx:CLDN4	Pt27B.baseline		0.0422197
