species	query_symbol	target_gene	ensembl_id	source
homo_sapiens	TACSTD2	TACSTD2	ENSG00000184292	xrefs/symbol
homo_sapiens	CLDN4	CLDN4	ENSG00000189143	xrefs/symbol
mus_musculus	Tacstd2	TACSTD2	ENSMUSG00000051397	xrefs/symbol
mus_musculus	Cldn4	CLDN4	ENSMUSG00000047501	xrefs/symbol
