gene	platform_or_source	probe_or_row	sample	sample_title	value
TACSTD2	GPL14951	ILMN_1739001	GSM1586144	PD-L1_Neg_rep1	6.8898
TACSTD2	GPL14951	ILMN_1739001	GSM1586145	PD-L1_Neg_rep2	7.0004
TACSTD2	GPL14951	ILMN_1739001	GSM1586146	PD-L1_Neg_rep3	6.9574
TACSTD2	GPL14951	ILMN_1739001	GSM1586147	PD-L1_Neg_rep4	6.9325
TACSTD2	GPL14951	ILMN_1739001	GSM1586148	PD-L1_Neg_rep5	6.9185
TACSTD2	GPL14951	ILMN_1739001	GSM1586149	PD-L1_Neg_rep6	6.7659
TACSTD2	GPL14951	ILMN_1739001	GSM1586150	PD-L1_Pos_rep1	12.7042
TACSTD2	GPL14951	ILMN_1739001	GSM1586151	PD-L1_Pos_rep2	7.189
TACSTD2	GPL14951	ILMN_1739001	GSM1586152	PD-L1_Pos_rep3	7.0572
TACSTD2	GPL14951	ILMN_1739001	GSM1586153	PD-L1_Pos_rep4	6.8666
TACSTD2	GPL14951	ILMN_1739001	GSM1586154	PD-L1_Pos_rep5	6.9164
CLDN4	GPL14951	ILMN_2132458	GSM1586144	PD-L1_Neg_rep1	6.9691
CLDN4	GPL14951	ILMN_2132458	GSM1586145	PD-L1_Neg_rep2	6.9612
CLDN4	GPL14951	ILMN_2132458	GSM1586146	PD-L1_Neg_rep3	7.2666
CLDN4	GPL14951	ILMN_2132458	GSM1586147	PD-L1_Neg_rep4	7.1776
CLDN4	GPL14951	ILMN_2132458	GSM1586148	PD-L1_Neg_rep5	7.2242
CLDN4	GPL14951	ILMN_2132458	GSM1586149	PD-L1_Neg_rep6	6.7627
CLDN4	GPL14951	ILMN_2132458	GSM1586150	PD-L1_Pos_rep1	7.3885
CLDN4	GPL14951	ILMN_2132458	GSM1586151	PD-L1_Pos_rep2	7.2177
CLDN4	GPL14951	ILMN_2132458	GSM1586152	PD-L1_Pos_rep3	7.1591
CLDN4	GPL14951	ILMN_2132458	GSM1586153	PD-L1_Pos_rep4	6.9866
CLDN4	GPL14951	ILMN_2132458	GSM1586154	PD-L1_Pos_rep5	7.0242
