gene	platform_or_source	probe_or_row	sample	sample_title	value
TACSTD2	RNA-seq featureCounts	GSE84789_fcount_primary_output.txt.gz:ENSG00000184292.5	1350A01_Normal_A01_PeterHammerman_thout		0
TACSTD2	RNA-seq featureCounts	GSE84789_fcount_primary_output.txt.gz:ENSG00000184292.5	1350A01_Tumor_A01_PeterHammerman_thout		0
TACSTD2	RNA-seq featureCounts	GSE84789_fcount_primary_output.txt.gz:ENSG00000184292.5	1350A02_Normal_A02_PeterHammerman_thout		0
TACSTD2	RNA-seq featureCounts	GSE84789_fcount_primary_output.txt.gz:ENSG00000184292.5	1350A02_Tumor_A02_PeterHammerman_thout		0
TACSTD2	RNA-seq featureCounts	GSE84789_fcount_primary_output.txt.gz:ENSG00000184292.5	1350A03_Normal_A03_PeterHammerman_thout		0
TACSTD2	RNA-seq featureCounts	GSE84789_fcount_primary_output.txt.gz:ENSG00000184292.5	1350A03_Tumor_A03_PeterHammerman_thout		0
TACSTD2	RNA-seq featureCounts	GSE84789_fcount_primary_output.txt.gz:ENSG00000184292.5	1350A04_Normal_A04_PeterHammerman_thout		0
TACSTD2	RNA-seq featureCounts	GSE84789_fcount_primary_output.txt.gz:ENSG00000184292.5	1350A04_Tumor_A04_PeterHammerman_thout		0
TACSTD2	RNA-seq featureCounts	GSE84789_fcount_primary_output.txt.gz:ENSG00000184292.5	1350A05_Normal_A05_PeterHammerman_thout		0
TACSTD2	RNA-seq featureCounts	GSE84789_fcount_primary_output.txt.gz:ENSG00000184292.5	1350A05_Tumor_A05_PeterHammerman_thout		0
TACSTD2	RNA-seq featureCounts	GSE84789_fcount_primary_output.txt.gz:ENSG00000184292.5	1350A06_Normal_A06_PeterHammerman_thout		0
TACSTD2	RNA-seq featureCounts	GSE84789_fcount_primary_output.txt.gz:ENSG00000184292.5	1350A06_Tumor_A06_PeterHammerman_thout		0
TACSTD2	RNA-seq featureCounts	GSE84789_fcount_primary_output.txt.gz:ENSG00000184292.5	1350A07_Normal_A07_PeterHammerman_thout		0
TACSTD2	RNA-seq featureCounts	GSE84789_fcount_primary_output.txt.gz:ENSG00000184292.5	1350A07_Tumor_A07_PeterHammerman_thout		0
TACSTD2	RNA-seq featureCounts	GSE84789_fcount_primary_output.txt.gz:ENSG00000184292.5	1350A08_Normal_A08_PeterHammerman_thout		0
TACSTD2	RNA-seq featureCounts	GSE84789_fcount_primary_output.txt.gz:ENSG00000184292.5	1350A08_Tumor_A08_PeterHammerman_thout		0
TACSTD2	RNA-seq featureCounts	GSE84789_fcount_primary_output.txt.gz:ENSG00000184292.5	1350A09_Normal_A09_PeterHammerman_thout		0
TACSTD2	RNA-seq featureCounts	GSE84789_fcount_primary_output.txt.gz:ENSG00000184292.5	1350A09_Tumor_A09_PeterHammerman_thout		0
TACSTD2	RNA-seq featureCounts	GSE84789_fcount_primary_output.txt.gz:ENSG00000184292.5	1350A10_Normal_A10_PeterHammerman_thout		0
TACSTD2	RNA-seq featureCounts	GSE84789_fcount_primary_output.txt.gz:ENSG00000184292.5	1350A10_Tumor_A10_PeterHammerman_thout		0
TACSTD2	RNA-seq featureCounts	GSE84789_fcount_primary_output.txt.gz:ENSG00000184292.5	1350A11_Normal_A11_PeterHammerman_thout		0
TACSTD2	RNA-seq featureCounts	GSE84789_fcount_primary_output.txt.gz:ENSG00000184292.5	1350A11_Tumor_A11_PeterHammerman_thout		0
TACSTD2	RNA-seq featureCounts	GSE84789_fcount_primary_output.txt.gz:ENSG00000184292.5	1350A12_Normal_A12_PeterHammerman_thout		0
TACSTD2	RNA-seq featureCounts	GSE84789_fcount_primary_output.txt.gz:ENSG00000184292.5	1350A12_Tumor_A12_PeterHammerman_thout		0
TACSTD2	RNA-seq featureCounts	GSE84789_fcount_primary_output.txt.gz:ENSG00000184292.5	1350B01_Normal_B01_PeterHammerman_thout		0
TACSTD2	RNA-seq featureCounts	GSE84789_fcount_primary_output.txt.gz:ENSG00000184292.5	1350B01_Tumor_B01_PeterHammerman_thout		0
TACSTD2	RNA-seq featureCounts	GSE84789_fcount_primary_output.txt.gz:ENSG00000184292.5	1350B02_Normal_B02_PeterHammerman_thout		0
TACSTD2	RNA-seq featureCounts	GSE84789_fcount_primary_output.txt.gz:ENSG00000184292.5	1350B02_Tumor_B02_PeterHammerman_thout		0
TACSTD2	RNA-seq featureCounts	GSE84789_fcount_primary_output.txt.gz:ENSG00000184292.5	1350B03_Normal_B03_PeterHammerman_thout		0
TACSTD2	RNA-seq featureCounts	GSE84789_fcount_primary_output.txt.gz:ENSG00000184292.5	1350B03_Tumor_B03_PeterHammerman_thout		0
TACSTD2	RNA-seq featureCounts	GSE84789_fcount_primary_output.txt.gz:ENSG00000184292.5	1350B04_Normal_B04_PeterHammerman_thout		0
TACSTD2	RNA-seq featureCounts	GSE84789_fcount_primary_output.txt.gz:ENSG00000184292.5	1350B04_Tumor_B04_PeterHammerman_thout		0
TACSTD2	RNA-seq featureCounts	GSE84789_fcount_primary_output.txt.gz:ENSG00000184292.5	1350B05_Normal_B05_PeterHammerman_thout		0
TACSTD2	RNA-seq featureCounts	GSE84789_fcount_primary_output.txt.gz:ENSG00000184292.5	1350B05_Tumor_B05_PeterHammerman_thout		0
TACSTD2	RNA-seq featureCounts	GSE84789_fcount_primary_output.txt.gz:ENSG00000184292.5	1350B06_Normal_B06_PeterHammerman_thout		0
TACSTD2	RNA-seq featureCounts	GSE84789_fcount_primary_output.txt.gz:ENSG00000184292.5	1350B06_Tumor_B06_PeterHammerman_thout		0
TACSTD2	RNA-seq featureCounts	GSE84789_fcount_primary_output.txt.gz:ENSG00000184292.5	1350B07_Normal_B07_PeterHammerman_thout		0
