gene	platform_or_source	probe_or_row	sample	sample_title	value
CLDN4	GSE81257 DESeq (cqn-norm)	GSE81257_gene_expression_cqnnorm_deseq.csv.gz:Cldn4:16T:baseMean	16T:baseMean		391.318063708
CLDN4	GSE81257 DESeq (cqn-norm)	GSE81257_gene_expression_cqnnorm_deseq.csv.gz:Cldn4:16T:log2FoldChange	16T:log2FoldChange		-0.572269223961
CLDN4	GSE81257 DESeq (cqn-norm)	GSE81257_gene_expression_cqnnorm_deseq.csv.gz:Cldn4:16T:lfcSE	16T:lfcSE		0.492772949227
CLDN4	GSE81257 DESeq (cqn-norm)	GSE81257_gene_expression_cqnnorm_deseq.csv.gz:Cldn4:16T:stat	16T:stat		-1.16132434798
CLDN4	GSE81257 DESeq (cqn-norm)	GSE81257_gene_expression_cqnnorm_deseq.csv.gz:Cldn4:16T:pvalue	16T:pvalue		0.245510021507
CLDN4	GSE81257 DESeq (cqn-norm)	GSE81257_gene_expression_cqnnorm_deseq.csv.gz:Cldn4:16T:padj	16T:padj		0.377185816051
CLDN4	GSE81257 DESeq (cqn-norm)	GSE81257_gene_expression_cqnnorm_deseq.csv.gz:Cldn4:16T:stat_GA.5	16T:stat_GA.5		-0.146658261324
CLDN4	GSE81257 DESeq (cqn-norm)	GSE81257_gene_expression_cqnnorm_deseq.csv.gz:Cldn4:16T:pvalue_GA.5	16T:pvalue_GA.5		0.88340176492
CLDN4	GSE81257 DESeq (cqn-norm)	GSE81257_gene_expression_cqnnorm_deseq.csv.gz:Cldn4:16T:padj_GA.5	16T:padj_GA.5		1.0
CLDN4	GSE81257 DESeq (cqn-norm)	GSE81257_gene_expression_cqnnorm_deseq.csv.gz:Cldn4:KP1:baseMean	KP1:baseMean		391.318063708
CLDN4	GSE81257 DESeq (cqn-norm)	GSE81257_gene_expression_cqnnorm_deseq.csv.gz:Cldn4:KP1:log2FoldChange	KP1:log2FoldChange		-0.255010372964
CLDN4	GSE81257 DESeq (cqn-norm)	GSE81257_gene_expression_cqnnorm_deseq.csv.gz:Cldn4:KP1:lfcSE	KP1:lfcSE		0.455658362703
CLDN4	GSE81257 DESeq (cqn-norm)	GSE81257_gene_expression_cqnnorm_deseq.csv.gz:Cldn4:KP1:stat	KP1:stat		-0.559652568322
CLDN4	GSE81257 DESeq (cqn-norm)	GSE81257_gene_expression_cqnnorm_deseq.csv.gz:Cldn4:KP1:pvalue	KP1:pvalue		0.575716440969
CLDN4	GSE81257 DESeq (cqn-norm)	GSE81257_gene_expression_cqnnorm_deseq.csv.gz:Cldn4:KP1:padj	KP1:padj		0.734457435706
CLDN4	GSE81257 DESeq (cqn-norm)	GSE81257_gene_expression_cqnnorm_deseq.csv.gz:Cldn4:KP1:stat_GA.5	KP1:stat_GA.5		0.0
CLDN4	GSE81257 DESeq (cqn-norm)	GSE81257_gene_expression_cqnnorm_deseq.csv.gz:Cldn4:KP1:pvalue_GA.5	KP1:pvalue_GA.5		1.0
CLDN4	GSE81257 DESeq (cqn-norm)	GSE81257_gene_expression_cqnnorm_deseq.csv.gz:Cldn4:KP1:padj_GA.5	KP1:padj_GA.5		1.0
CLDN4	GSE81257 DESeq (cqn-norm)	GSE81257_gene_expression_cqnnorm_deseq.csv.gz:Cldn4:kd:baseMean	kd:baseMean		391.318063708
CLDN4	GSE81257 DESeq (cqn-norm)	GSE81257_gene_expression_cqnnorm_deseq.csv.gz:Cldn4:kd:log2FoldChange	kd:log2FoldChange		-0.413639798463
CLDN4	GSE81257 DESeq (cqn-norm)	GSE81257_gene_expression_cqnnorm_deseq.csv.gz:Cldn4:kd:lfcSE	kd:lfcSE		0.335571843764
CLDN4	GSE81257 DESeq (cqn-norm)	GSE81257_gene_expression_cqnnorm_deseq.csv.gz:Cldn4:kd:stat	kd:stat		-1.23264155247
CLDN4	GSE81257 DESeq (cqn-norm)	GSE81257_gene_expression_cqnnorm_deseq.csv.gz:Cldn4:kd:pvalue	kd:pvalue		0.217709526881
CLDN4	GSE81257 DESeq (cqn-norm)	GSE81257_gene_expression_cqnnorm_deseq.csv.gz:Cldn4:kd:padj	kd:padj		0.349526764909
CLDN4	GSE81257 DESeq (cqn-norm)	GSE81257_gene_expression_cqnnorm_deseq.csv.gz:Cldn4:kd:stat_GA.5	kd:stat_GA.5		0.0
CLDN4	GSE81257 DESeq (cqn-norm)	GSE81257_gene_expression_cqnnorm_deseq.csv.gz:Cldn4:kd:pvalue_GA.5	kd:pvalue_GA.5		1.0
