accession	gene	n_probes_or_rows	n_values	mean	median	min	max
GSE43453	TACSTD2	3	48	-0.5506	-0.5527	-1.044	-0.05078
GSE43453	CLDN4	3	48	0.0512	0.0399	-0.09419	0.3026
GSE57133	TACSTD2	1	15	544.3	461.1	346.8	975.3
GSE57133	CLDN4	1	15	196.7	109.5	52.51	739.1
GSE65041	TACSTD2	1	11	7.473	6.933	6.766	12.7
GSE65041	CLDN4	1	11	7.103	7.159	6.763	7.388
GSE67501	TACSTD2	1	11	9.888	9.587	7.492	12.17
GSE67501	CLDN4	1	11	6.603	6.495	6.286	7.291
GSE76356	TACSTD2	7	7	0.7629	0.56	0.17	1.95
GSE76356	CLDN4	0	0	NA	NA	NA	NA
GSE78220	TACSTD2	1	28	24.44	0.5196	0.0401	644.3
GSE78220	CLDN4	1	28	6.553	0.3048	0.02834	147.9
GSE81258	TACSTD2	4	4	0	0	0	0
GSE81258	CLDN4	4	4	391.3	391.3	391.3	391.3
GSE84789	TACSTD2	1	192	0.005208	0	0	1
GSE84789	CLDN4	1	192	0.1458	0	0	26
GSE84797	TACSTD2	0	0	NA	NA	NA	NA
GSE84797	CLDN4	0	0	NA	NA	NA	NA
