cohort	n_samples_downloaded	n_pretreatment	n_primary_patients	n_R	n_NR	unit	CLDN4_present
Hugo_GSE78220	28	27	26	14	12	FPKM	True
Riaz_GSE91061	109	51	33	10	23	FPKM	True
MGH_GSE115821	37	14	8	2	6	TPM (recomputed from counts and feature length)	True
