gene	present	n_r	n_nr	mwu_U	mwu_p	auc	rank_biserial	median_r	median_nr	median_diff	logor	se	or	or_lo	or_hi	logit_p	logit_converged	logit_note	cohort	class
CD8A	True	14	12	86.0	0.9385028847784713	0.5119047619047619	0.023809523809523725	3.222194371100054	2.391685934268456	0.8305084368315976	-0.0971854708817809	0.4029755447403874	0.9073876965292974	0.41188234591891276	1.99899908304115	0.8094236329094221	True		Hugo_GSE78220	positive_control
CD274	True	14	12	97.0	0.5202691166630409	0.5773809523809523	0.15476190476190466	0.7889221176954718	0.8223303994722082	-0.03340828177673638	0.27046274631316003	0.41175137808748496	1.3105707722288937	0.5847505372565818	2.937313674099247	0.5112713522694465	True		Hugo_GSE78220	positive_control
IFNG	True	14	12	90.0	0.7771131344833152	0.5357142857142857	0.0714285714285714	0.20017575355275535	-0.2296597775747552	0.42983553112751055	0.07455156042219147	0.40175584593859154	1.0774008933350865	0.4902254470751624	2.3678752130981633	0.8527864163980762	True		Hugo_GSE78220	positive_control
GZMB	True	14	12	66.0	0.3680655063054846	0.39285714285714285	-0.2142857142857143	1.74266579100068	2.4895734498814543	-0.7469076588807744	-0.2578388741009619	0.41377455249842293	0.7727197272377194	0.3434076694167162	1.7387374541649374	0.5331934797144074	True		Hugo_GSE78220	positive_control
PRF1	True	14	12	70.0	0.48745329036403495	0.4166666666666667	-0.16666666666666663	1.9567289762565347	2.025225167926651	-0.06849619167011634	-0.4064280027666079	0.4267414841263362	0.6660250458505733	0.2885631541894455	1.5372349354382095	0.3408948564751123	True		Hugo_GSE78220	positive_control
CXCL9	True	14	12	80.0	0.8571364155923	0.47619047619047616	-0.04761904761904767	4.96175356627843	4.593447228717196	0.36830633756123454	-0.051727172088762284	0.40187205989055447	0.9495879055896013	0.43197117846743077	2.0874475784268838	0.8975827525619172	True		Hugo_GSE78220	positive_control
CXCL10	True	14	12	75.0	0.6619715128514689	0.44642857142857145	-0.1071428571428571	5.060535551795212	4.662628714017499	0.39790683777771285	-0.2553521624631598	0.4109661162881139	0.7746436495047279	0.34616291906800123	1.7334981613097724	0.5343719776787963	True		Hugo_GSE78220	positive_control
STAT1	True	14	12	82.0	0.9385028847784713	0.4880952380952381	-0.023809523809523836	6.261496331787836	6.324502415300303	-0.06300608351246773	-0.04472571102479725	0.4012486134323735	0.956259737367945	0.43553810327319803	2.099546924686447	0.9112465626270716	True		Hugo_GSE78220	positive_control
HLA-DRA	True	14	12	80.0	0.8571364155923	0.47619047619047616	-0.04761904761904767	3.488586536075113	3.943515347958236	-0.4549288118831232	-0.08484845897128254	0.40184051421581446	0.9186514872451298	0.4179239224065027	2.0193162194645353	0.8327705468586163	True		Hugo_GSE78220	positive_control
CLDN3	True	14	12	90.0	0.7751561679268704	0.5357142857142857	0.0714285714285714	-2.1007108622341155	-2.522908566355369	0.42219770412125346	0.24445689800996293	0.412124992840986	1.2769276229165103	0.569322576077115	2.864007546305965	0.5530727198237249	True		Hugo_GSE78220	epithelial_control
CLDN7	True	14	12	56.0	0.15723058857062677	0.3333333333333333	-0.33333333333333337	-0.10687488723050698	0.6311204053016094	-0.7379952925321164	-0.47615028304100826	0.4335399009881693	0.6211701238973463	0.26556690097255037	1.4529383044708841	0.2720801474800071	True		Hugo_GSE78220	epithelial_control
EPCAM	True	14	12	54.0	0.12918685117545492	0.32142857142857145	-0.3571428571428571	-2.587158092547676	-2.1130152018851396	-0.47414289066253623	-0.257680480201895	0.40817565874952927	0.7728421310219529	0.34725191890766	1.7200335749372238	0.5278456892938463	True		Hugo_GSE78220	epithelial_control
CDH1	True	14	12	150.0	0.0007545334298393044	0.8928571428571429	0.7857142857142858	6.197113366723491	0.825459881040274	5.3716534856832165	1.799780047814186	0.658814156740018	6.048316977556855	1.6628022817080395	22.000293518616726	0.00629802152871439	True		Hugo_GSE78220	epithelial_control
KRT5	True	14	12	92.0	0.6991860205761034	0.5476190476190477	0.09523809523809534	-1.6165916494889023	-1.437902875797298	-0.1786887736916043	0.6585233323900896	0.59545092847454	1.931937397645013	0.6013606222232533	6.206562203259378	0.2687595178087282	True		Hugo_GSE78220	epithelial_control
KRT14	True	14	12	74.0	0.6245127520612839	0.44047619047619047	-0.11904761904761907	-2.1262456751541245	-0.14891088812995185	-1.9773347870241726	0.20284866369226376	0.42774696019429687	1.2248870843314579	0.5296518482969163	2.8327067566862207	0.6353388650104799	True		Hugo_GSE78220	epithelial_control
KRT1	True	14	12	66.0	0.36798361681686365	0.39285714285714285	-0.2142857142857143	-2.7974673076679757	-2.357648435738479	-0.43981887192949687	0.2953331115408269	0.49561638723786716	1.3435738441042846	0.5086093677601515	3.549267451582706	0.5512483601900686	True		Hugo_GSE78220	epithelial_control
KRT10	True	14	12	92.0	0.6996756256347049	0.5476190476190477	0.09523809523809534	3.4589258184672684	3.545569040003997	-0.08664322153672854	0.7569560412301556	0.7718932139316437	2.131777292096222	0.46956212941057046	9.678111028250223	0.3267660325262486	True		Hugo_GSE78220	epithelial_control
SFN	True	14	12	66.0	0.36798361681686365	0.39285714285714285	-0.2142857142857143	-1.793491866822928	-1.5899276383333718	-0.20356422848955624	0.18531926803894905	0.435001478101913	1.2036026506493085	0.5131004576820266	2.8233444717521374	0.6700933758887422	True		Hugo_GSE78220	epithelial_control
CLDN4	True	14	12	91.0	0.7381351386116883	0.5416666666666666	0.08333333333333326	-1.0245300223661773	-1.353582935257018	0.3290529128908406	0.1824213622892877	0.41537582777419196	1.2001197725712807	0.5316790505414443	2.708941544809414	0.66053703527275	True		Hugo_GSE78220	gene_of_interest
