gene	rho	p
CLDN3	0.3773979092522499	2.166460977113666e-17
CLDN7	0.27640883012485856	1.0467340597804214e-09
EPCAM	0.4988764956389176	5.242401031656768e-31
CDH1	-0.07356879930752135	0.11081329374257173
KRT5	0.4008980637895214	1.3021207595684314e-19
KRT14	0.3905836903149102	1.2927234539752492e-18
KRT1	0.34959255674906037	5.5042625784509205e-15
KRT10	0.32399405929571473	5.671789205553277e-13
SFN	0.49960466686615723	4.171375304802332e-31
MLANA	-0.2975789594304206	4.370073447656733e-11
PMEL	-0.23454061154099196	2.624533371387378e-07
TYR	-0.2773541269660159	9.134593559267938e-10
DCT	-0.20039049216300725	1.1762134350023704e-05
SOX10	-0.12265015331535478	0.007703088948492334
MITF	-0.2632093009741386	6.643095636604303e-09
KRT1	0.34959255674906037	5.5042625784509205e-15
KRT5	0.4008980637895214	1.3021207595684314e-19
KRT10	0.32399405929571473	5.671789205553277e-13
KRT14	0.3905836903149102	1.2927234539752492e-18
SFN	0.49960466686615723	4.171375304802332e-31
DSP	0.49328076008220695	2.9808139177578677e-30
KRT6A	0.3964032503579586	3.5757136648457585e-19
keratinocyte_score	0.4899844002969323	8.175299248253158e-30
melanocyte_score	-0.2680832463461217	3.3968912392319334e-09
