Cell_Line	n_icb	n_NR	n_R	cancer_type	frac_NR	model_icb	cell_line	Tacstd2	Cldn4	tj_core_score	go_tj_score	reactome_keratin_score	n_naive_samples
402230	8	4	4	Sarcoma	0.5	mixed	402230	0.408206250130572	0.08725818272399422	-0.43500553013766363	0.14864086442758984	-0.2923267219758365	8
4T1	49	24	25	Mammary carcinoma	0.4897959183673469	mixed	4T1	2.890075018855339	6.414708501623835	0.4613979631201922	-0.015624803426175327	-0.18375922812658121	74
6419c5	2	2	0	Pancreatic ductal adenocarcinoma	1.0	underpowered	6419c5	0.038142721404457895	2.8038418035672414	0.9236141684825915	0.3964537230336414	0.06069514249129818	4
AB1	48	25	23	Mesothelioma	0.5208333333333334	mixed	AB1	0.34754134448663365	0.0	-0.6342035972533838	-0.26787246003306797	-0.31976099518073503	24
B16	50	17	33	Melanoma	0.34	sensitive_leaning	B16	0.0	0.0	-0.7263779088271942	-0.2441532763184778	-0.3779586892986241	64
BNL-MEA	6	3	3	Hepatocellular carcinoma	0.5	mixed	BNL-MEA	0.07667538165257641	0.5290673006689157	-0.4961225604692441	-0.14321690215593344	-0.31549583594827857	11
CT26	41	10	31	Colorectal carcinoma	0.24390243902439024	sensitive_leaning	CT26	0.11465822571771042	0.13086484296299078	-0.5893025044138688	-0.2956342623535296	-0.2863092962206531	36
D3UV2	3	0	3	Melanoma	0.0	sensitive_leaning	D3UV2	0.2406232925192315	0.14311517181409808	-0.5380717068434088	0.004652176309742201	-0.28877803594283774	3
D4M.3A.3	6	3	3	Melanoma	0.5	mixed	D4M.3A.3	0.0	0.14172574730205692	-0.5904415320539176	0.06380720546370407	-0.2465760323601673	3
E0771	8	8	0	Mammary adenocarcinoma	1.0	resistant_leaning	E0771	0.3675366606736664	0.3050128650279747	-0.4925386719283585	-0.2315731525033042	-0.3147039384516179	15
EMT6	20	0	20	Mammary carcinoma	0.0	sensitive_leaning	EMT6	0.1615986822847332	0.344497792136871	-0.8519468511746385	-0.5606253528585723	-0.36977619658296784	17
KPB25L	25	0	25	Mammary cancer, NOS	0.0	sensitive_leaning	KPB25L	3.1427804022157044	6.635032385424912	1.1863138240708042	0.44083895262147715	-0.05372876110983535	34
LLC	13	6	7	Lung carcinoma	0.46153846153846156	mixed	LLC	0.1827375550189289	0.056799740577054655	-0.611079063152661	-0.1674341730904515	-0.3252855824701808	31
MC38	22	6	16	Colorectal carcinoma	0.2727272727272727	sensitive_leaning	MC38	0.0	0.0	-0.9677758077713716	-0.5775296415315531	-0.39758598759524955	13
MOC22	3	0	3	Head and neck squamous cell carcinoma	0.0	sensitive_leaning	MOC22	8.353984033913342	7.048692580282663	0.33582214549159123	0.4270514142340178	0.6987637336343347	3
Renca	48	24	24	Renal adenocarcinoma	0.5	mixed	Renca	0.39135529270050873	4.028350607745989	-0.057060086098740616	-0.21678786002048345	-0.25547750704874983	27
T11	37	13	24	Mammary cancer, NOS	0.35135135135135137	sensitive_leaning	T11	0.1428747782461707	0.18024494141400088	-0.5499442766183347	0.23045839571445553	-0.30566197053990174	36
YTN16	23	4	19	Gastric adenocarcinoma	0.17391304347826086	sensitive_leaning	YTN16	2.163338674423407	1.854175224593909	0.42229880276167037	0.6718209237631042	0.7963274675721496	17
YUMM1.7	4	2	2	Melanoma	0.5	mixed	YUMM1.7	1.355812616034412	0.4749343661762311	-0.5831010450846213	0.077025051225042	-0.023892188181180017	4
p53-2225L	8	8	0	Mammary cancer, NOS	1.0	resistant_leaning	p53-2225L	3.8726868293748256	7.114214009451636	1.2906199395418692	0.6143035723686303	0.07914335400941352	14
p53-2336R	10	10	0	Mammary cancer, NOS	1.0	resistant_leaning	p53-2336R	0.02727155769798867	1.322731163932449	0.3164403721279713	0.3391047300924245	0.0033090917617496153	11
