level	metric	arm_a	arm_b	n_a	n_b	median_a	median_b	delta	U	p
ICB_treated_sample	Tacstd2	NR	R	169	265	0.4168267738092343	0.4791543680588814	-0.06232759424964712	19831.0	0.04435128767726114
ICB_treated_sample	Cldn4	NR	R	169	265	0.8286127730411887	0.6985748631852196	0.1300379098559692	23070.0	0.5944451037463696
ICB_treated_sample	tj_core_score	NR	R	169	265	-0.22365347978277617	-0.3594303905496566	0.13577691076688042	25989.0	0.004768421131620416
ICB_treated_sample	go_tj_score	NR	R	169	265	-0.10516838283599424	-0.17987757946365107	0.07470919662765683	26865.0	0.00044845571277365325
ICB_treated_sample	reactome_keratin_score	NR	R	169	265	-0.18541611961746926	-0.20176049789639272	0.01634437827892346	23282.0	0.48535202244048903
model_baseline	Tacstd2	resistant_leaning	sensitive_leaning	3	9	0.3675366606736664	0.1615986822847332	0.2059379783889332	16.0	0.7110484653079314
model_baseline	Cldn4	resistant_leaning	sensitive_leaning	3	9	1.322731163932449	0.18024494141400088	1.1424862225184482	20.0	0.26641987464475514
model_baseline	tj_core_score	resistant_leaning	sensitive_leaning	3	9	0.3164403721279713	-0.5499442766183347	0.866384648746306	21.0	0.20909090909090908
model_baseline	go_tj_score	resistant_leaning	sensitive_leaning	3	9	0.3391047300924245	0.004652176309742201	0.3344525537826823	18.0	0.48181818181818176
model_baseline	reactome_keratin_score	resistant_leaning	sensitive_leaning	3	9	0.0033090917617496153	-0.28877803594283774	0.29208712770458733	17.0	0.6
