gene	rho	p	n
Tacstd2	1.0	0.0	49
Krt17	0.8387686863325305	5.3422642049435665e-14	49
Cldn8	0.800273183138921	5.202400535739141e-12	49
Psapl1	0.7995914758865116	5.590641033907617e-12	49
Rassf10	0.7933073954764694	1.0717263099492012e-11	49
Dsg3	0.783240222733448	2.9053231789987083e-11	49
Esrp1	0.7717725092111277	8.501508305461201e-11	49
Pitpnm3	0.748402136339639	6.330209584844159e-10	49
Fam167a	0.7442424472919158	8.845433948866521e-10	49
Gpr87	0.7392812223197434	1.3074758135309835e-09	49
Sdr16c5	0.7360933654977044	1.6729760463189205e-09	49
Nog	0.7321959775940055	2.250691631375112e-09	49
Trpv4	0.7316653991434887	2.342514075996104e-09	49
Ankrd22	0.7305118476337484	2.554457246546648e-09	49
Tlr3	0.729250966086944	2.8067063541851916e-09	49
Fam83b	0.7269337182450265	3.332520460778445e-09	49
Aldh3b2	0.7262167399529471	3.5131349158412397e-09	49
Sox15	0.7232331937746946	4.368344744110529e-09	49
Il17re	0.7209367922163172	5.156090806012021e-09	49
Il23r	0.7206823027718551	5.251174199155221e-09	49
Htr5b	0.7203601533404234	5.37390224722016e-09	49
Cds1	0.720021202477317	5.5059396424667045e-09	49
Cldn1	0.7197906980837382	5.597467954166643e-09	49
Tmem30b	0.7165746895773235	7.0333133061729724e-09	49
Ripk4	0.7153752881886274	7.652425782437451e-09	49
S100a14	0.7152120426758126	7.740545604034602e-09	49
Marveld3	0.7132919686779505	8.851169774328667e-09	49
Lypd3	0.7117807336104143	9.82882635756911e-09	49
Epgn	0.7113328872178836	1.0137488674163287e-08	49
Patj	0.7111889496274514	1.023861060384331e-08	49
Krt42	0.7099618395135349	1.1140008088933104e-08	49
Trex2	0.7093985544127729	1.1578275557358884e-08	49
Itgb6	0.707780027757216	1.2929421104366605e-08	49
Serpinb5	0.7065951466779103	1.4010957940169434e-08	49
Rbbp8nl	0.7045836201740003	1.6043815132973408e-08	49
Ptprz1	0.7025791756709974	1.8342489467484677e-08	49
Mab21l4	0.7014610877492903	1.9755509350435908e-08	49
Cldn4	0.7002799124126977	2.1358828693912863e-08	49
Prkch	0.6989882866845388	2.3251430422807172e-08	49
Sprr3	0.6985244019758261	2.3968737922322927e-08	49
Tc2n	0.6971752808067218	2.6174671552158824e-08	49
Orm1	0.6966930636130894	2.700831547766779e-08	49
Mpig6b	0.6946111429633747	3.0901643054700133e-08	49
Ly6g6c	0.6932546129752332	3.371523270551538e-08	49
Kdf1	0.6914508757500292	3.7829450113193075e-08	49
Evpl	0.6909387592220886	3.9080640768879496e-08	49
Htr1d	0.6908517131028479	3.929712832059954e-08	49
Tmem54	0.6904866424181613	4.021737695423131e-08	49
Lad1	0.6898862708485847	4.177480659659474e-08	49
Cdh1	0.6897598585463494	4.21098575764485e-08	49
Slc6a14	0.6885073866821473	4.5568365796325825e-08	49
Vsnl1	0.6864777219326749	5.174344346511698e-08	49
Fzd6	0.6854087894740061	5.53025745619823e-08	49
Krt32	0.6853310735809557	5.557008286377952e-08	49
Irf6	0.6852336946326472	5.5906984964587337e-08	49
Alox12	0.6845995521480446	5.8148164470846754e-08	49
Lamc2	0.682001524350448	6.823843893627728e-08	49
Krt4	0.6769688696485893	9.261070225850655e-08	49
Csta1	0.6764817463176708	9.535914820499204e-08	49
Dsp	0.6761571211666189	9.723292752233223e-08	49
Il24	0.6757548312972634	9.960280412009766e-08	49
Scnn1g	0.6754345609518541	1.0152803128064605e-07	49
Ppl	0.6730764094719153	1.168129798107032e-07	49
Sh2d4b	0.6704953909287662	1.359958003501829e-07	49
Sox21	0.6701049146635062	1.391423161270579e-07	49
1700016K19Rik	0.6697412278499006	1.4213406451393225e-07	49
Hs3st3a1	0.669030697898723	1.4815331994879552e-07	49
Foxn1	0.6683707474150368	1.5395679761833157e-07	49
Mmp25	0.6680672268907564	1.566966360852913e-07	49
Tmprss4	0.6665075292153297	1.7150930508668787e-07	49
Epha1	0.6663500788642128	1.730752205486496e-07	49
Depdc7	0.6655977388265506	1.8074378416527186e-07	49
Tmprss13	0.6652217304325027	1.8469433346367835e-07	49
2610528J11Rik	0.6646346632002573	1.9102405891022185e-07	49
Mrgprb2	0.6640328479272529	1.9772277769882467e-07	49
Hook1	0.6632210939726427	2.0710639224080738e-07	49
Ovol2	0.6632047740433328	2.0729924270147043e-07	49
Wnt7a	0.6630871624177153	2.0869401281532543e-07	49
Muc15	0.6618866002815988	2.2344197099438637e-07	49
Tmem139	0.6612456035379412	2.317092485843979e-07	49
Dcbld2	0.6604671929264996	2.421328953218165e-07	49
Mal	0.6597380793772147	2.5229211877309883e-07	49
Lamb3	0.6593297657081167	2.581539094178467e-07	49
Megf6	0.6593000723093924	2.5858511318493265e-07	49
Odaph	0.6588649351845323	2.6498176353540907e-07	49
St14	0.6588090956628593	2.658132351593159e-07	49
Snai3	0.6583679977252274	2.7246749702707115e-07	49
Arhgef16	0.657829151631726	2.808073884836026e-07	49
Cldn7	0.6575368339142506	2.854307961267198e-07	49
Klk6	0.6572397152207865	2.902028899349568e-07	49
Zfp185	0.6565636123894988	3.013409061488419e-07	49
Krt6b	0.6562116423978888	3.072959185094357e-07	49
Hspa1a	0.6553712872284954	3.2196109768357286e-07	49
Prom2	0.6542534239955682	3.424828012499496e-07	49
Ly6g6e	0.6541641704450424	3.4417285663011615e-07	49
Camsap3	0.6534464284594127	3.580492981952006e-07	49
Dusp14	0.6531534877394561	3.63861456885323e-07	49
Spint1	0.6530060935271289	3.668190426141182e-07	49
Lgals12	0.6527252953652085	3.725156538208312e-07	49
Bicdl2	0.6524595133437472	3.7798356781973394e-07	49
Sbspon	0.6517724117223396	3.9246824522483056e-07	49
Rhbg	0.6513492975380669	4.0164372255239666e-07	49
Sptbn2	0.6498327434343635	4.3620110748517687e-07	49
Dnah5	0.6496882052347659	4.396354907456408e-07	49
Lama1	0.6489444293844686	4.5771072211195215e-07	49
Atp2c2	0.6486420612246464	4.652550903071589e-07	49
Tnk1	0.6475869007941822	4.925004179393367e-07	49
Tgm5	0.6455341907393698	5.498155609255058e-07	49
B4galnt3	0.6451588791912647	5.609447260849256e-07	49
Kcnk1	0.6438157891160222	6.025151748533274e-07	49
Ccser1	0.6435563554727146	6.10868719419044e-07	49
Padi1	0.6420230219047208	6.624860128314025e-07	49
Capsl	0.641620234969289	6.767037648031166e-07	49
Dsg1c	0.6412774101309318	6.890283507614551e-07	49
Gm2042	0.6400620481606912	7.344257104533185e-07	49
Mal2	0.6396328751956115	7.511113258315658e-07	49
Trpv3	0.6393049294624613	7.640986116977138e-07	49
Ildr1	0.6381273026435356	8.124788993906457e-07	49
Krt6a	0.6375707090796162	8.363245462199639e-07	49
Rab15	0.6373956491099116	8.439581543556721e-07	49
Dsg1b	0.6364587570912349	8.859265097520015e-07	49
