metric	split	n_high	n_low	median_high	median_low	delta_high_minus_low	mwu_U	mwu_p	spearman_n	spearman_rho	spearman_p
Cldn4	positive_vs_floor	21	28	4.353555515663547	0.004939428771756317	4.3486160868917905	508.0	1.206979349896927e-05	49.0	0.7002799124126978	2.1358828693912758e-08
tj_core_score	positive_vs_floor	21	28	0.38974661965995666	-0.3281696543884792	0.7179162740484359	472.0	0.00033573551032900755	49.0	0.6344305463311457	9.835231721373402e-07
tj_core_ssgsea	positive_vs_floor	21	28	0.6681904878784626	0.49164582917861943	0.17654465869984315	464.0	0.00061611972909865	49.0	0.6025280117260489	4.632752445297586e-06
go_tj_score	positive_vs_floor	21	28	0.20975125819415108	-0.2213727834267185	0.4311240416208696	495.0	5.1062088022989884e-05	49.0	0.6765713056942614	9.484817824507392e-08
go_tj_ssgsea	positive_vs_floor	21	28	0.5750439142842813	0.5190824823244036	0.05596143195987768	499.0	3.6036620311827436e-05	49.0	0.6816621356844363	6.96715075737075e-08
go_tj_assembly_score	positive_vs_floor	21	28	0.25819479756354946	-0.20608200168932045	0.4642767992528699	502.0	2.763438277311622e-05	49.0	0.69291852644049	3.4448522876233686e-08
reactome_keratin_score	positive_vs_floor	21	28	-0.009281617217164376	-0.28439678974416416	0.2751151725269998	495.0	5.1062088022989884e-05	49.0	0.6836984676805063	6.147784376854669e-08
reactome_keratin_ssgsea	positive_vs_floor	21	28	0.3152403985774613	0.2690929490383898	0.04614744953907146	434.0	0.004827482844935148	49.0	0.5461894931681119	4.9158514900303234e-05
go_krt_diff_score	positive_vs_floor	21	28	0.19508680136869402	-0.22461749040019385	0.4197042917688879	434.0	0.004827482844935148	49.0	0.5288806712015168	9.356138553269832e-05
Cldn4	median_among_expressed	11	10	6.308920560229522	0.6391273908149316	5.66979316941459	91.0	0.012425126520044185			
tj_core_score	median_among_expressed	11	10	0.8228480892761874	-0.077702660844583	0.9005507501207703	97.0	0.0034740985852302927			
tj_core_ssgsea	median_among_expressed	11	10	0.8235435490716452	0.6062277243417654	0.21731582472987976	91.0	0.012425126520044185			
go_tj_score	median_among_expressed	11	10	0.4160064951252238	-0.05279620110386306	0.4688026962290869	104.0	0.0006371948724634316			
go_tj_ssgsea	median_among_expressed	11	10	0.6032191225830339	0.543133212436546	0.0600859101464879	93.0	0.00827421565071521			
go_tj_assembly_score	median_among_expressed	11	10	0.5486919610102244	-0.08428020091429789	0.6329721619245223	104.0	0.0006371948724634316			
reactome_keratin_score	median_among_expressed	11	10	0.2609820357703916	-0.12116898432684109	0.3821510200972327	97.0	0.0034740985852302927			
reactome_keratin_ssgsea	median_among_expressed	11	10	0.3395109983321193	0.3025492707187757	0.0369617276133436	89.0	0.01832430775151698			
go_krt_diff_score	median_among_expressed	11	10	0.6498814792600843	-0.12363321565070767	0.7735146949107921	92.0	0.010162438913637686			
Cldn4	tertile_T3_vs_T1	16	28	5.303594887618461	0.004939428771756317	5.298655458846705	409.0	4.371726677747022e-06			
tj_core_score	tertile_T3_vs_T1	16	28	0.6823657240004497	-0.3281696543884792	1.010535378388929	407.0	8.485881112106233e-06			
go_tj_score	tertile_T3_vs_T1	16	28	0.3281394249781706	-0.2213727834267185	0.5495122084048891	411.0	5.361174019209555e-06			
reactome_keratin_score	tertile_T3_vs_T1	16	28	0.0441930959138785	-0.28439678974416416	0.32858988565804265	417.0	2.646324989535516e-06			
