set	source	n_human	n_mapped_tismo	mapped
GO_CC_TIGHT_JUNCTION	Enrichr GO_Cellular_Component_2023	93	89	Amot;Amotl1;Amotl2;Ank3;Aoc1;Apc;Bves;Cdh5;Cgn;Cgnl1;Chaf1b;Cldn1;Cldn10;Cldn11;Cldn12;Cldn14;Cldn15;Cldn16;Cldn17;Cldn18;Cldn19;Cldn2;Cldn20;Cldn22;Cldn23;Cldn24;Cldn3;Cldn4;Cldn5;Cldn6;Cldn7;Cldn8;Cldn9;Clmp;Cxadr;Cyth1;Cyth3;Dlg1;Ect2;Epcam;Epha2;Eppk1;F11r;Frmd4a;Frmd4b;Frmpd2;Gja1;Igsf5;Ildr1;Ildr2;Jam2;Jam3;Jaml;Lsr;Magi2;Marveld2;Marveld3;Micall2;Mpdz;Mtdh;Ocel1;Ocln;Pard3;Pard6a;Pard6b;Pard6g;Patj;Pof1b;Prkci;Prkcz;Rab13;Rap2b;Rap2c;Rapgef2;Sh3bp1;Shroom2;Sipa1l3;Strn;Tbcd;Tgfbr1;Tjp1;Tjp2;Tjp3;Ubn1;Usp53;Vapa;Wnk3;Wnk4;Ybx3
GO_BP_TIGHT_JUNCTION_ASSEMBLY	Enrichr GO_Biological_Process_2023	53	50	Apc;Arl2;Cdh5;Chaf1b;Cldn1;Cldn10;Cldn11;Cldn12;Cldn14;Cldn15;Cldn16;Cldn17;Cldn18;Cldn19;Cldn2;Cldn20;Cldn22;Cldn23;Cldn24;Cldn3;Cldn4;Cldn5;Cldn6;Cldn7;Cldn8;Cldn9;Dlg1;Ect2;Esam;Frmpd2;Grhl2;Ildr1;Lsr;Marveld2;Marveld3;Micall2;Mpdz;Ocel1;Ocln;Pak2;Pard3;Patj;Pdcd6ip;Pecam1;Pof1b;Rab13;Ramp2;Slc39a9;Strn;Tbcd
REACTOME_KERATINIZATION	Enrichr Reactome_2022	208	145	Capn1;Capns1;Casp14;Cdsn;Cela2a;Dsc3;Dsg2;Dsg3;Dsg4;Dspp;Evpl;Flg;Furin;Ivl;Jup;Kazn;Klk12;Klk13;Klk14;Klk5;Klk8;Krt1;Krt10;Krt12;Krt13;Krt14;Krt15;Krt16;Krt17;Krt18;Krt19;Krt2;Krt20;Krt23;Krt24;Krt25;Krt26;Krt27;Krt28;Krt31;Krt32;Krt33a;Krt33b;Krt34;Krt35;Krt36;Krt39;Krt4;Krt40;Krt5;Krt6a;Krt6b;Krt7;Krt71;Krt72;Krt73;Krt75;Krt76;Krt77;Krt78;Krt79;Krt8;Krt80;Krt81;Krt82;Krt83;Krt84;Krt86;Krt9;Krtap1-3;Krtap1-4;Krtap1-5;Krtap10-10;Krtap10-4;Krtap11-1;Krtap12-1;Krtap13-1;Krtap16-1;Krtap17-1;Krtap19-1;Krtap19-2;Krtap19-3;Krtap19-4;Krtap19-5;Krtap20-2;Krtap21-1;Krtap24-1;Krtap26-1;Krtap27-1;Krtap29-1;Krtap3-1;Krtap3-2;Krtap3-3;Krtap4-1;Krtap4-2;Krtap4-6;Krtap4-8;Krtap4-9;Krtap5-1;Krtap5-2;Krtap5-4;Krtap6-1;Krtap6-2;Krtap6-3;Krtap8-1;Krtap9-1;Krtap9-3;Lce1b;Lce1c;Lce1d;Lce1e;Lce1f;Lce3a;Lce3b;Lce3c;Lce3d;Lce3e;Lce6a;Lelp1;Lipk;Lipm;Lipn;Pcsk6;Perp;Pkp1;Pkp2;Pkp3;Pkp4;Ppl;Prss8;Rcan1;Rptn;Spink5;Spink6;Sprr1a;Sprr1b;Sprr2b;Sprr2d;Sprr2e;Sprr2f;Sprr3;St14;Tchh;Tgm1;Tgm5
GO_BP_KERATINOCYTE_DIFFERENTIATION	Enrichr GO_Biological_Process_2023	42	37	Adam9;Anxa1;Asah1;Bcr;Casp3;Cdsn;Cers3;Cflar;Clic4;Dsp;Epha2;Ereg;Evpl;Exph5;Fgfr1;Ivl;Jag1;Krt10;Krt16;Med1;Opn3;Pip5k1a;Pou2f3;Ppp3ca;Scel;Sprr1a;Sprr1b;Sprr2b;Sprr2f;Sprr3;St14;Tgm1;Tgm3;Txnip;Ugcg;Wnt16;Wnt5a
TJ_CORE	pre-specified	9	9	Cldn3;Cldn4;Cldn6;Cldn7;Cdh1;F11r;Ocln;Tjp1;Nectin2
