Protein	Description	Exp. q-value: Combined	Protein FDR Confidence: Combined	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Razor Peptides	Abundances (Normalized): A1: Pg_1	Abundances (Normalized): A2: Pg_2	Abundances (Normalized): A3: Pg_3	Found in Sample: A1: Pg_1	Found in Sample: A2: Pg_2	Found in Sample: A3: Pg_3
EOS13184	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.6:103390:107682:1 gene:C803_05126 transcript:EOS13184 gene_biotype:protein_coding transcript_biotype:protein_coding description:DNA-directed RNA polymerase subunit beta'	0	High	858.742	66	99	450	99	1430	159.6	7.4	848.28	0	2006795542	1956904076	1983902094	High	High	High
EOS17025	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:1080072:1083341:1 gene:C803_02920 transcript:EOS17025 gene_biotype:protein_coding transcript_biotype:protein_coding description:SusC/RagA family TonB-linked outer membrane protein	0	High	644.153	58	55	422	55	1089	121.6	6.09	828.22	0	5573142996	5356779802	5415581844	High	High	High
EOS12950	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.7:178547:181642:1 gene:C803_05455 transcript:EOS12950 gene_biotype:protein_coding transcript_biotype:protein_coding description:SusC/RagA family TonB-linked outer membrane protein	0	High	641.93	73	67	451	64	1031	113.7	5.39	966.46	1	6197645716	6611609525	6533601396	High	High	High
EOS19491	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:220262:223819:1 gene:C803_00170 transcript:EOS19491 gene_biotype:protein_coding transcript_biotype:protein_coding description:pyruvate:ferredoxin (flavodoxin) oxidoreductase	0	High	639.076	64	58	297	58	1185	129.6	5.82	655.62	0	2417865908	2395421680	2332217435	High	High	High
EOS14330	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.4:1:2947:1 gene:C803_04466 transcript:EOS14330 gene_biotype:protein_coding transcript_biotype:protein_coding description:SusC/RagA family TonB-linked outer membrane protein	0	High	575.268	56	51	296	50	981	108.5	6.39	703.91	1	3189180961	3113144650	3105251298	High	High	High
EOS15893	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:1134574:1137612:1 gene:C803_04206 transcript:EOS15893 gene_biotype:protein_coding transcript_biotype:protein_coding description:SusC/RagA family TonB-linked outer membrane protein	0	High	507.529	66	51	409	51	1012	111	6.11	926.09	0	4088939232	3971033460	3920444878	High	High	High
EOS13183	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.6:99503:103315:1 gene:C803_05125 transcript:EOS13183 gene_biotype:protein_coding transcript_biotype:protein_coding description:DNA-directed RNA polymerase subunit beta	0	High	503.638	52	75	307	75	1270	142.8	5.53	510.11	0	1588445410	1579044412	1597243422	High	High	High
EOS14551	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.4:272166:275183:-1 gene:C803_04692 transcript:EOS14551 gene_biotype:protein_coding transcript_biotype:protein_coding description:SusC/RagA family TonB-linked outer membrane protein	0	High	471.323	56	45	199	45	1005	110.5	6.19	498.49	0	1073426576	1066239640	1029970501	High	High	High
EOS16226	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:82176:83867:1 gene:C803_03443 transcript:EOS16226 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	470.698	77	44	399	44	563	61.3	8.31	928.36	0	8704155439	8692602751	8741946001	High	High	High
EOS19175	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:1220181:1224041:-1 gene:C803_01008 transcript:EOS19175 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	468.719	48	55	200	55	1286	144.7	5.43	424.92	0	531778049.9	537535979.2	527719829.5	High	High	High
