analysis	feature	n	n_nmpr	n_mpr_pcr	effect	effect_definition	rho	p	q_bh
epithelial score; NMPR vs MPR/pCR	TACSTD2	29	19.0	10.0	-0.011385563992498682	median(NMPR)-median(MPR/pCR)		0.629967182435291	0.6299671824352912
epithelial TACSTD2 vs tnk_fraction_all_cells	TACSTD2	29				Spearman rho	-0.10541871921182264	0.586272139465027	0.6299671824352912
epithelial TACSTD2 vs tnk_fraction_non_epithelial	TACSTD2	29				Spearman rho	-0.20640394088669947	0.2827119601590505	0.459608182507535
epithelial score; NMPR vs MPR/pCR	CLDN4	29	19.0	10.0	0.21456989432815665	median(NMPR)-median(MPR/pCR)		0.2609548701950307	0.459608182507535
epithelial CLDN4 vs tnk_fraction_all_cells	CLDN4	29				Spearman rho	0.24975369458128074	0.1913402292843796	0.459608182507535
epithelial CLDN4 vs tnk_fraction_non_epithelial	CLDN4	29				Spearman rho	0.1881773399014778	0.32829155893395356	0.459608182507535
epithelial TACSTD2 vs CLDN4	TACSTD2~CLDN4	29				Spearman rho	0.5305418719211822	0.0030693305763129525	0.02148531403419067
