sample	CD3D	CD3E	CD8A	CLDN4	GNLY	KLRD1	NKG7	TACSTD2
A006	-0.1396	0.3924	-0.0639	-1.0501	1.405	1.738	1.3672	-0.5094
A015	0.8243	-0.2351	1.1685	0.9683	-0.6728	-1.3624	-0.3491	3.1112
A021	-2.9772	-3.3823	-1.79	1.5506	-1.5032	-0.388	-2.584	1.0766
A027	0.4763	0.4128	0.0671	-0.6538	-0.636	-0.2472	-0.7468	0.215
A028	-0.3774	-0.968	-0.0789	0.5621	0.1737	-1.3738	-0.8086	1.166
A033	0.0086	-0.439	0.3418	-1.4159	2.5695	0.6182	0.7765	0.6605
A037	-0.6695	-1.2192	-1.2179	-0.1862	-0.665	-0.9838	-0.9056	0.4002
A062	-0.4746	-0.9405	0.2847	-0.1731	1.0397	-0.63	-0.3699	1.1666
A063	-1.8546	-2.2405	-1.4395	1.8218	-1.492	-0.9972	-1.4128	1.9759
A066	0.2772	0.125	-0.7831	0.819	-0.9838	-1.1762	-0.8246	1.044
A068	1.4328	0.6802	1.8997	0.9543	2.0282	1.2123	1.3726	1.3913
A072	0.247	0.2676	-0.0296	0.527	-0.9964	-0.3984	-0.514	0.7849
A074	-1.7678	-1.8761	-1.4035	0.9463	-0.74	-1.8751	-2.06	1.9827
A100	-0.1458	-0.7631	-0.9834	0.6064	-0.8089	-0.2984	-1.1983	0.7979
A101	-0.0625	-0.6246	-0.2375	-0.4495	1.002	0.741	0.5656	0.1866
A102	0.159	-0.0968	0.0316	1.0988	-0.8238	-1.761	-0.5109	0.1511
A103	0.1699	-0.1285	0.1005	0.2631	-0.5462	-0.0531	-0.7118	0.7617
A104	-0.684	-0.8305	-1.5081	0.201	0.0052	-0.2037	-0.0151	1.3228
A110	-1.6977	-1.8625	0.2588	-0.7764	0.1326	0.5863	-0.1512	-2.2174
A111	-0.254	-0.3791	-0.2143	0.3341	-1.0899	-2.0914	-0.9382	-1.0098
A112	-1.7801	-1.6928	-1.5273	0.0546	-0.9847	-2.2317	-1.1621	1.1181
A117	-1.3739	-1.2493	-1.6714	1.234	-1.2617	-0.7207	-1.3325	1.1293
A120	-1.6126	-1.282	-1.2186	1.2714	-1.4198	-0.7511	-1.9509	1.2981
A124	-0.2754	-0.0881	-0.0678	0.0156	-0.749	-0.7936	-0.5331	0.2433
A126	-0.7439	-0.6702	-0.7919	0.3862	-0.4678	-1.1627	-0.7874	0.9445
A131	-3.0129	-3.6139	-2.7707	-2.0827	-2.3563	0.4569	-2.7887	1.4071
A134	-1.7346	-1.7057	-1.5246	1.9298	-0.8132	-0.6295	-1.0005	2.2563
A138	-0.9376	-0.4439	-0.4222	-1.6691	0.0548	0.8485	0.6748	-0.9407
A143	-0.0394	-0.1657	1.2888	0.3844	1.4005	1.5719	1.1286	0.2522
A144	-1.8691	-1.7139	-2.0026	1.4213	-1.5509	-1.0294	-1.4058	1.0388
A148	0.3135	-0.0864	0.4659	0.9389	-0.5822	-0.1732	-0.5763	0.5785
A150	0.6452	-0.2592	-0.3799	-0.4416	-0.132	-0.3814	-0.6418	-0.1845
A153	-0.3567	-0.7034	-1.1531	0.342	-0.7944	-2.3028	-1.001	0.2926
A156	-0.4533	-0.5964	-0.4846	0.7836	-0.3149	-0.2503	-0.5011	0.3395
A157	0.5579	0.5882	0.293	0.0212	1.0504	0.6739	0.4337	-0.1671
A158	-0.9632	-1.5226	-0.7704	0.5709	0.5855	-1.559	-0.3471	-0.0826
A159	-0.9358	-0.893	-1.3344	-0.567	-1.2766	-0.3131	-0.7392	-0.1476
A162	-1.2775	-1.4357	-0.9355	0.2296	-0.6228	-0.6479	-0.7418	0.2089
A163	0.0042	-0.1102	0.5381	-0.5442	-0.6988	-0.1222	-0.2774	0.881
A165	1.057	0.7869	0.9869	-0.0197	0.4675	0.6116	0.3983	-0.1389
A168	0.6837	-0.3604	1.3862	1.2527	-0.3303	0.2599	-0.6225	-0.4426
A169	0.424	0.6433	0.7913	0.0177	1.1749	-0.2662	0.069	1.0962
A177	0.3271	-0.8022	0.0365	0.1571	-0.4643	-0.1702	-0.622	1.2441
A182	0.9176	0.7078	1.12	-0.4446	-0.6514	0.4936	1.0205	-1.0629
A183	0.4167	0.3213	0.3926	0.3817	0.4733	0.3594	0.2625	0.6293
A185	-0.786	-0.874	-1.1794	1.0371	-0.6529	-0.6487	-0.732	0.3604
A186	0.8844	1.2019	0.7324	0.9541	-1.4131	-0.2432	0.0044	-1.1809
A187	2.0348	0.4136	-0.5392	-0.4853	0.3181	-0.5936	-0.5628	0.4016
A188	1.0452	0.9691	1.229	-0.6377	0.2498	-0.1008	0.7791	0.4965
A190	-0.6626	-0.8145	-1.1214	0.2043	-1.3767	-1.1877	-1.336	0.9813
A191	-1.1779	-0.6673	-0.3903	0.7646	-1.7407	-1.115	-1.2963	0.1255
A192	0.366	0.1806	0.4164	-0.0666	-0.1056	-0.0777	-0.249	0.3794
A193	0.6348	0.5432	0.6598	-0.8271	0.51	1.1897	0.3812	-0.2251
A194	0.483	0.5318	1.2684	-1.2677	0.0651	1.2079	0.5328	-0.7036
A195	0.029	0.2392	-0.1114	-1.3473	-0.7812	0.362	0.0698	-1.5974
A196	0.1587	0.2765	-0.1992	-1.1323	-0.2834	0.9498	-0.0242	-0.9579
A197	-0.4511	-0.574	0.0634	0.3577	-0.4394	-0.2761	-0.1285	-0.4247
A198	-0.4136	-0.2342	-0.3958	0.5987	-0.1148	0.493	-0.0311	-1.1726
A199	0.0082	0.0231	0.8167	-0.2039	0.608	0.7876	0.4652	0.027
A200	-1.0624	-0.8625	-1.0156	0.8491	-1.1019	-0.2678	-1.1665	0.8481
A201	0.2783	0.9706	0.8559	-0.81	0.1023	0.5363	0.176	-0.846
A202	-1.0709	-0.7278	-1.0244	1.2134	-1.6304	-1.5187	-1.3298	0.2027
A203	1.1353	1.0741	0.2317	-0.4687	-1.0215	-0.6091	-0.0807	-0.187
A204	-1.0046	-0.8747	-1.7872	0.1508	-1.5527	-1.6828	-1.6317	-0.6554
A205	0.3816	0.5244	0.9737	-1.2626	0.5555	1.3193	0.709	-0.5366
A206	0.8222	0.8244	0.9407	0.2143	-0.4626	0.4587	0.5353	0.0995
A207	-1.9998	-1.6002	-1.7873	0.2831	-0.9967	-0.6871	-1.0338	0.4722
