analysis	feature	n	n_group1	n_group2	effect	effect_definition	rho	hr	p	q_bh
all pretreatment; NMPR vs MPR	TACSTD2	32	21.0	11.0	-1.414711565283377	median(NMPR)-median(MPR), log2(FPKM+1)			0.015510489089653818	0.05982617220295044
all pretreatment; TACSTD2 vs T-cell proxy	TACSTD2	32				Spearman rho	-0.5678152492668621		0.0006997518495775866	0.00944664996929742
all pretreatment; NMPR vs MPR	CLDN4	32	21.0	11.0	-0.3154245853690254	median(NMPR)-median(MPR), log2(FPKM+1)			0.34098363467259285	0.48455569137684246
all pretreatment; CLDN4 vs T-cell proxy	CLDN4	32				Spearman rho	-0.4761730205278592		0.005870935466142202	0.03170305151716789
all pretreatment; TACSTD2 vs CLDN4	TACSTD2~CLDN4	32				Spearman rho	0.6873167155425219		1.390081662090993e-05	0.0003753220487645681
all pretreatment; PFS Cox per SD	TACSTD2	32	10.0			Cox HR per 1 SD		0.7207195032059032	0.29874918861353505	0.4481237829203025
all pretreatment; PFS median-split log-rank	TACSTD2	32	16.0	16.0		log-rank high vs low			0.11018052344534306	0.24162132629174565
all pretreatment; PFS Cox per SD	CLDN4	32	10.0			Cox HR per 1 SD		0.8225457026637882	0.5020040796333949	0.6160959159137119
all pretreatment; PFS median-split log-rank	CLDN4	32	16.0	16.0		log-rank high vs low			0.1585613987749331	0.30579698335165667
durvalumab monotherapy; NMPR vs MPR	TACSTD2	16	15.0	1.0	-1.675004167683273	median(NMPR)-median(MPR), log2(FPKM+1)			0.25	0.39705882352941174
durvalumab monotherapy; TACSTD2 vs T-cell proxy	TACSTD2	16				Spearman rho	-0.6588235294117648		0.005511422336343683	0.03170305151716789
durvalumab monotherapy; NMPR vs MPR	CLDN4	16	15.0	1.0	-1.3786631505878484	median(NMPR)-median(MPR), log2(FPKM+1)			0.5	0.6160959159137119
durvalumab monotherapy; CLDN4 vs T-cell proxy	CLDN4	16				Spearman rho	-0.4647058823529412		0.06974367557375588	0.17615883888132064
durvalumab monotherapy; TACSTD2 vs CLDN4	TACSTD2~CLDN4	16				Spearman rho	0.7147058823529412		0.0018627410999474342	0.016764669899526907
durvalumab monotherapy; PFS Cox per SD	TACSTD2	16	5.0			Cox HR per 1 SD		1.0084151730049549	0.9850965549541875	0.9850965549541875
durvalumab monotherapy; PFS median-split log-rank	TACSTD2	16	8.0	8.0		log-rank high vs low			0.7014263351131089	0.7575404419221576
durvalumab monotherapy; PFS Cox per SD	CLDN4	16	5.0			Cox HR per 1 SD		1.1599245863160292	0.7547695452012619	0.7837991430936182
durvalumab monotherapy; PFS median-split log-rank	CLDN4	16	8.0	8.0		log-rank high vs low			0.4676017312242755	0.6160959159137119
durvalumab + SBRT; NMPR vs MPR	TACSTD2	16	6.0	10.0	-2.4466571031718747	median(NMPR)-median(MPR), log2(FPKM+1)			0.02247752247752248	0.07586163836163837
durvalumab + SBRT; TACSTD2 vs T-cell proxy	TACSTD2	16				Spearman rho	-0.5441176470588236		0.029336337481376512	0.08800901244412954
durvalumab + SBRT; NMPR vs MPR	CLDN4	16	6.0	10.0	-0.5672439342671627	median(NMPR)-median(MPR), log2(FPKM+1)			0.5621878121878122	0.6343597029022155
durvalumab + SBRT; CLDN4 vs T-cell proxy	CLDN4	16				Spearman rho	-0.4617647058823529		0.07176841584053804	0.17615883888132064
durvalumab + SBRT; TACSTD2 vs CLDN4	TACSTD2~CLDN4	16				Spearman rho	0.6411764705882352		0.007434419082533941	0.03345488587140274
durvalumab + SBRT; PFS Cox per SD	TACSTD2	16	5.0			Cox HR per 1 SD		0.5723517664464097	0.21503978613853278	0.3628796391087741
durvalumab + SBRT; PFS median-split log-rank	TACSTD2	16	8.0	8.0		log-rank high vs low			0.563875291468636	0.6343597029022155
durvalumab + SBRT; PFS Cox per SD	CLDN4	16	5.0			Cox HR per 1 SD		0.5749502839381637	0.18761881966326138	0.3377138753938705
durvalumab + SBRT; PFS median-split log-rank	CLDN4	16	8.0	8.0		log-rank high vs low			0.11633619414047013	0.24162132629174565
