cohort	n	proxy_genes	spearman_rho	spearman_p	spearman_q_bh
GSE126044	16	CD3D,CD3E,CD8A	-0.15882352941176472	0.5568612810855391	0.7499283249355719
GSE166449	22	CD3D,CD3E,CD8A	-0.009599096555618296	0.9661826982649288	0.9661826982649288
GSE207422	24	CD3D,CD3E,CD8A	-0.5678260869565217	0.003799673322503558	0.015198693290014232
GSE135222	27	CD3D,CD3E,CD8A	-0.11660561660561661	0.562446243701679	0.7499283249355719
