cohort	stratum	gene	family	contrast	n	effect	p	thesis_stat	thesis_match
LUAD	all	PRKDC	NHEJ	spearman	515	-0.1259590603677641	0.004197424512178062	-0.1259590603677641	False
LUAD	all	PRKDC	NHEJ	mw_q1q4	258	0.16740000000000066	0.007149995500664733	-0.16740000000000066	False
LUAD	all	PRKDC	NHEJ	mw_d1d10	104	0.30455000000000254	0.01052104414463143	-0.30455000000000254	False
LUAD	all	PRKDC	NHEJ	mw_median	515	0.08859999999999957	0.04352763390797129	-0.08859999999999957	False
LUAD	all	PRKDC	NHEJ	mw_p20	206	0.1460000000000008	0.011054867470154321	-0.1460000000000008	False
LUAD	all	LIG4	NHEJ	spearman	515	-0.16797245831203617	0.0001282036143219725	-0.16797245831203617	False
LUAD	all	LIG4	NHEJ	mw_q1q4	258	0.22639999999999993	0.0004040523274962831	-0.22639999999999993	False
LUAD	all	LIG4	NHEJ	mw_d1d10	104	0.3984500000000004	0.0027552972387849205	-0.3984500000000004	False
LUAD	all	LIG4	NHEJ	mw_median	515	0.11380000000000123	0.010568511197286537	-0.11380000000000123	False
LUAD	all	LIG4	NHEJ	mw_p20	206	0.3169000000000004	0.000526994972731405	-0.3169000000000004	False
LUAD	all	XRCC4	NHEJ	spearman	515	0.028286427810488197	0.5218543706590704	0.028286427810488197	True
LUAD	all	XRCC4	NHEJ	mw_q1q4	258	-0.01639999999999997	0.7785888603451325	0.01639999999999997	True
LUAD	all	XRCC4	NHEJ	mw_d1d10	104	-0.06654999999999944	0.7279795673662521	0.06654999999999944	True
LUAD	all	XRCC4	NHEJ	mw_median	515	-0.03530000000000033	0.3732426101632188	0.03530000000000033	True
LUAD	all	XRCC4	NHEJ	mw_p20	206	-0.037199999999999456	0.6979864545752914	0.037199999999999456	True
LUAD	all	XRCC5	NHEJ	spearman	515	-0.09329197959969764	0.034293349317973704	-0.09329197959969764	False
LUAD	all	XRCC5	NHEJ	mw_q1q4	258	0.02459999999999951	0.2989438288008275	-0.02459999999999951	False
LUAD	all	XRCC5	NHEJ	mw_d1d10	104	0.11930000000000085	0.09670276860081989	-0.11930000000000085	False
LUAD	all	XRCC5	NHEJ	mw_median	515	0.08029999999999937	0.03268979292038597	-0.08029999999999937	False
LUAD	all	XRCC5	NHEJ	mw_p20	206	0.042899999999999494	0.2300024454278784	-0.042899999999999494	False
LUAD	all	XRCC6	NHEJ	spearman	515	0.05181974008799297	0.24043173518568928	0.05181974008799297	True
LUAD	all	XRCC6	NHEJ	mw_q1q4	258	-0.0965000000000007	0.1592907574416651	0.0965000000000007	True
LUAD	all	XRCC6	NHEJ	mw_d1d10	104	-0.14370000000000083	0.4685242384754672	0.14370000000000083	True
LUAD	all	XRCC6	NHEJ	mw_median	515	-0.05489999999999995	0.5718817249136465	0.05489999999999995	True
LUAD	all	XRCC6	NHEJ	mw_p20	206	-0.11910000000000132	0.06772573159593863	0.11910000000000132	True
LUAD	all	NHEJ1	NHEJ	spearman	515	-0.15044372396393232	0.0006140535414277491	-0.15044372396393232	False
LUAD	all	NHEJ1	NHEJ	mw_q1q4	258	0.08689999999999998	0.0047413865199134085	-0.08689999999999998	False
LUAD	all	NHEJ1	NHEJ	mw_d1d10	104	0.2461500000000001	0.0131307721371543	-0.2461500000000001	False
LUAD	all	NHEJ1	NHEJ	mw_median	515	0.055600000000000094	0.015102394770052707	-0.055600000000000094	False
LUAD	all	NHEJ1	NHEJ	mw_p20	206	0.11830000000000052	0.0026662847301730493	-0.11830000000000052	False
LUAD	all	DCLRE1C	NHEJ	spearman	515	-0.11454093693522359	0.009279037691338877	-0.11454093693522359	False
