set	gene	source	n_in_set
NHEJ	RAD50	KEGG hsa03450; MRE11 stored as MRE11A	13
NHEJ	DNTT	KEGG hsa03450; MRE11 stored as MRE11A	13
NHEJ	FEN1	KEGG hsa03450; MRE11 stored as MRE11A	13
NHEJ	XRCC6	KEGG hsa03450; MRE11 stored as MRE11A	13
NHEJ	POLL	KEGG hsa03450; MRE11 stored as MRE11A	13
NHEJ	POLM	KEGG hsa03450; MRE11 stored as MRE11A	13
NHEJ	LIG4	KEGG hsa03450; MRE11 stored as MRE11A	13
NHEJ	MRE11A	KEGG hsa03450; MRE11 stored as MRE11A	13
NHEJ	PRKDC	KEGG hsa03450; MRE11 stored as MRE11A	13
NHEJ	DCLRE1C	KEGG hsa03450; MRE11 stored as MRE11A	13
NHEJ	XRCC4	KEGG hsa03450; MRE11 stored as MRE11A	13
NHEJ	XRCC5	KEGG hsa03450; MRE11 stored as MRE11A	13
NHEJ	NHEJ1	KEGG hsa03450; MRE11 stored as MRE11A	13
IFNg	STAT1	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	ISG15	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	IFIT1	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	MX1	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	IFIT3	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	IFI35	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	IRF7	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	IFIT2	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	OAS2	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	TAP1	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	EIF2AK2	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	RSAD2	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	MX2	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	IRF1	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	OAS3	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	TNFSF10	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	IRF9	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	CXCL10	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	IFI44	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	BST2	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	XAF1	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
