cohort	stratum	method	contrast	nhej_set	ifn_set	sting_set	apm_set	n	n_match	n_sig_match	n_sig_wrong	top_p_matches	top_family	top_geneset	top_p	signed_logp	qualifies	nhej_effect	nhej_p	nhej_match	ifn_effect	ifn_p	ifn_match	sting_effect	sting_p	sting_match	apm_effect	apm_p	apm_match
LUAD	immune_high	aucell	partial_immune_krt	NHEJ_core	IFNa	STING_core	APM_nonIFN	257	3	1	0	True	APM	APM_nonIFN	9.640289319994625e-07	5.974881814080046	False	-0.0583288265275307	0.3535888765238293	False	-0.0389933419813766	0.535356346223712	True	-0.0220591954205465	0.7259116341817505	True	-0.3011074950110629	9.640289319994625e-07	True
LUAD	immune_high	aucell	partial_immune_krt	NHEJ_KEGG	IFNa	STING_core	APM_nonIFN	257	3	1	0	True	APM	APM_nonIFN	9.640289319994625e-07	5.973965445965014	False	-0.0584190449546965	0.3528435850568476	False	-0.0389933419813766	0.535356346223712	True	-0.0220591954205465	0.7259116341817505	True	-0.3011074950110629	9.640289319994625e-07	True
LUAD	immune_high	gsva	partial_krt	NHEJ_core	IFNa	STING_reactome	APM_nonIFN	257	3	1	0	True	APM	APM_nonIFN	8.326878462716475e-07	5.95245731173262	False	-0.0766461622425592	0.2216563198069213	False	-0.0301185723970173	0.6314779377544608	True	-0.0453222271192163	0.4703080352104982	True	-0.3022189319787922	8.326878462716475e-07	True
LUAD	immune_high	aucell	spearman	NHEJ_core	IFNg	STING_core	APM_nonIFN	257	3	1	0	True	APM	APM_nonIFN	1.4638276124418205e-06	5.932387614580228	False	-0.068476026480462	0.2740921935267236	False	-0.0601165300574706	0.3370996150312467	True	-0.028522761389003	0.6490241547933568	True	-0.2951406151498618	1.4638276124418205e-06	True
LUAD	immune_high	aucell	spearman	NHEJ_KEGG	IFNg	STING_core	APM_nonIFN	257	3	1	0	True	APM	APM_nonIFN	1.4638276124418205e-06	5.931230962014856	False	-0.0685799119846955	0.2733631774887495	False	-0.0601165300574706	0.3370996150312467	True	-0.028522761389003	0.6490241547933568	True	-0.2951406151498618	1.4638276124418205e-06	True
LUAD	immune_high	aucell	partial_immune_krt	NHEJ_reactome	IFNa	STING_core	APM_nonIFN	257	3	1	0	True	APM	APM_nonIFN	9.640289319994625e-07	5.793657010835085	False	-0.0749578614582137	0.2329559411809976	False	-0.0389933419813766	0.535356346223712	True	-0.0220591954205465	0.7259116341817505	True	-0.3011074950110629	9.640289319994625e-07	True
LUAD	immune_high	aucell	spearman	NHEJ_reactome	IFNg	STING_core	APM_nonIFN	257	3	1	0	True	APM	APM_nonIFN	1.4638276124418205e-06	5.7775887150780925	False	-0.0816625722416927	0.1919100713873532	False	-0.0601165300574706	0.3370996150312467	True	-0.028522761389003	0.6490241547933568	True	-0.2951406151498618	1.4638276124418205e-06	True
LUAD	immune_high	aucell	spearman	NHEJ_core	IFNa	STING_core	APM_nonIFN	257	3	1	0	True	APM	APM_nonIFN	1.4638276124418205e-06	5.609119958848492	False	-0.068476026480462	0.2740921935267236	False	-0.0233381777063055	0.7096201063590375	True	-0.028522761389003	0.6490241547933568	True	-0.2951406151498618	1.4638276124418205e-06	True
LUAD	immune_high	aucell	spearman	NHEJ_KEGG	IFNa	STING_core	APM_nonIFN	257	3	1	0	True	APM	APM_nonIFN	1.4638276124418205e-06	5.6079633062831205	False	-0.0685799119846955	0.2733631774887495	False	-0.0233381777063055	0.7096201063590375	True	-0.028522761389003	0.6490241547933568	True	-0.2951406151498618	1.4638276124418205e-06	True
LUAD	immune_high	zmean	spearman	NHEJ_core	IFNg	STING_reactome	APM_nonIFN	257	3	1	0	True	APM	APM_nonIFN	4.571604105814053e-06	5.531627450031784	False	-0.0520802790896121	0.4057449797844502	False	-0.0079588399732703	0.8989641787004556	True	-0.0662160922611814	0.2902783891299662	True	-0.2814836965906156	4.571604105814053e-06	True
LUAD	immune_high	aucell	mw_median	NHEJ_KEGG	IFNg	STING_core	APM_nonIFN	257	3	1	0	True	APM	APM_nonIFN	1.26902876397817e-05	5.468975279378132	False	0.0093529764582395	0.2782707207805086	False	0.0036318226120857	0.296906298967918	True	0.1010721247563352	0.2508426361331441	True	0.0165082846003898	1.26902876397817e-05	True
LUAD	immune_high	aucell	mw_median	NHEJ_core	IFNg	STING_core	APM_nonIFN	257	3	1	0	True	APM	APM_nonIFN	1.26902876397817e-05	5.468974881671452	False	0.017369813422445	0.2782704659532466	False	0.0036318226120857	0.296906298967918	True	0.1010721247563352	0.2508426361331441	True	0.0165082846003898	1.26902876397817e-05	True
LUAD	immune_high	aucell	spearman	NHEJ_reactome	IFNa	STING_core	APM_nonIFN	257	3	1	0	True	APM	APM_nonIFN	1.4638276124418205e-06	5.4543210593463565	False	-0.0816625722416927	0.1919100713873532	False	-0.0233381777063055	0.7096201063590375	True	-0.028522761389003	0.6490241547933568	True	-0.2951406151498618	1.4638276124418205e-06	True
LUAD	immune_high	aucell	mw_median	NHEJ_reactome	IFNg	STING_core	APM_nonIFN	257	3	1	0	True	APM	APM_nonIFN	1.26902876397817e-05	5.41632028346505	False	0.0041843113530953	0.2464974988888619	False	0.0036318226120857	0.296906298967918	True	0.1010721247563352	0.2508426361331441	True	0.0165082846003898	1.26902876397817e-05	True
LUAD	immune_high	aucell	mw_median	NHEJ_KEGG	IFNa	STING_core	APM_nonIFN	257	3	1	0	True	APM	APM_nonIFN	1.26902876397817e-05	4.957884013652351	False	0.0093529764582395	0.2782707207805086	False	5.5839831059126266e-05	0.9631871436768042	True	0.1010721247563352	0.2508426361331441	True	0.0165082846003898	1.26902876397817e-05	True
LUAD	immune_high	aucell	mw_median	NHEJ_core	IFNa	STING_core	APM_nonIFN	257	3	1	0	True	APM	APM_nonIFN	1.26902876397817e-05	4.957883615945672	False	0.017369813422445	0.2782704659532466	False	5.5839831059126266e-05	0.9631871436768042	True	0.1010721247563352	0.2508426361331441	True	0.0165082846003898	1.26902876397817e-05	True
LUAD	immune_high	aucell	mw_median	NHEJ_reactome	IFNa	STING_core	APM_nonIFN	257	3	1	0	True	APM	APM_nonIFN	1.26902876397817e-05	4.905229017739271	False	0.0041843113530953	0.2464974988888619	False	5.5839831059126266e-05	0.9631871436768042	True	0.1010721247563352	0.2508426361331441	True	0.0165082846003898	1.26902876397817e-05	True
LUAD	immune_high	aucell	partial_krt	NHEJ_core	IFNg	STING_core	APM	257	3	1	0	True	APM	APM	0.0015914558602631	3.71584026153152	False	-0.0479866082913533	0.4445878908981147	False	-0.1045477084345027	0.0950868018768332	True	-0.0361108857709704	0.5652004901098008	True	-0.1963777337200929	0.0015914558602631	True
LUAD	immune_high	aucell	partial_krt	NHEJ_KEGG	IFNg	STING_core	APM	257	3	1	0	True	APM	APM	0.0015914558602631	3.714917477919799	False	-0.0480859877254215	0.4436442388618491	False	-0.1045477084345027	0.0950868018768332	True	-0.0361108857709704	0.5652004901098008	True	-0.1963777337200929	0.0015914558602631	True
LUAD	immune_high	aucell	partial_krt	NHEJ_reactome	IFNg	STING_core	APM	257	3	1	0	True	APM	APM	0.0015914558602631	3.5427993191587563	False	-0.065231017240846	0.2984809974962952	False	-0.1045477084345027	0.0950868018768332	True	-0.0361108857709704	0.5652004901098008	True	-0.1963777337200929	0.0015914558602631	True
LUAD	immune_high	aucell	partial_krt	NHEJ_core	IFNa	STING_core	APM	257	3	1	0	True	APM	APM	0.0015914558602631	3.3016713906313986	False	-0.0479866082913533	0.4445878908981147	False	-0.0726495245262991	0.2467681536203752	True	-0.0361108857709704	0.5652004901098008	True	-0.1963777337200929	0.0015914558602631	True
LUAD	immune_high	aucell	partial_krt	NHEJ_KEGG	IFNa	STING_core	APM	257	3	1	0	True	APM	APM	0.0015914558602631	3.3007486070196776	False	-0.0480859877254215	0.4436442388618491	False	-0.0726495245262991	0.2467681536203752	True	-0.0361108857709704	0.5652004901098008	True	-0.1963777337200929	0.0015914558602631	True
LUAD	immune_high	aucell	partial_krt	NHEJ_reactome	IFNa	STING_core	APM	257	3	1	0	True	APM	APM	0.0015914558602631	3.128630448258635	False	-0.065231017240846	0.2984809974962952	False	-0.0726495245262991	0.2467681536203752	True	-0.0361108857709704	0.5652004901098008	True	-0.1963777337200929	0.0015914558602631	True
LUAD	immune_high	zmean	partial_krt	NHEJ_core	IFNg	STING_reactome	APM	257	3	1	0	True	APM	APM	0.0036089364685908	2.965486175176185	False	-0.0487131766807697	0.4377151017450185	False	-0.0530647966916931	0.3978442423979531	True	-0.0611148013541207	0.3300753110736869	True	-0.1812815450907954	0.0036089364685908	True
LUAD	immune_high	gsva	partial_krt	NHEJ_core	IFNg	STING_reactome	APM	257	3	1	0	True	APM	APM	0.0012860205989429	2.9110224510648286	False	-0.0766461622425592	0.2216563198069213	False	-0.0474389868888623	0.4498081742725752	True	-0.0453222271192163	0.4703080352104982	True	-0.2001326711637228	0.0012860205989429	True
LUAD	immune_high	zmean	partial_krt	NHEJ_core	IFNa	STING_reactome	APM	257	3	1	0	True	APM	APM	0.0036089364685908	2.804937562048381	False	-0.0487131766807697	0.4377151017450185	False	-0.0351329771719668	0.5757867815334159	True	-0.0611148013541207	0.3300753110736869	True	-0.1812815450907954	0.0036089364685908	True
LUAD	immune_high	gsva	partial_krt	NHEJ_core	IFNa	STING_reactome	APM	257	3	1	0	True	APM	APM	0.0012860205989429	2.7636916125783584	False	-0.0766461622425592	0.2216563198069213	False	-0.0301185723970173	0.6314779377544608	True	-0.0453222271192163	0.4703080352104982	True	-0.2001326711637228	0.0012860205989429	True
LUAD	immune_high	aucell	partial_immune_krt	NHEJ_core	IFNg	STING_core	APM	257	3	1	0	True	APM	APM	0.0046107178556283	2.584234083766598	False	-0.0583288265275307	0.3535888765238293	False	-0.0685911917399228	0.2751770473330487	True	-0.0220591954205465	0.7259116341817505	True	-0.176880064771314	0.0046107178556283	True
LUAD	immune_high	aucell	partial_immune_krt	NHEJ_KEGG	IFNg	STING_core	APM	257	3	1	0	True	APM	APM	0.0046107178556283	2.583317715651566	False	-0.0584190449546965	0.3528435850568476	False	-0.0685911917399228	0.2751770473330487	True	-0.0220591954205465	0.7259116341817505	True	-0.176880064771314	0.0046107178556283	True
NSCLC	immune_low	ssgsea	partial_immune_krt	NHEJ_core	IFNg	STING_core	APM_nonIFN	508	3	1	0	True	APM	APM_nonIFN	0.033219124821763	2.4521061300352365	False	-0.0014546937236355	0.973960383450812	False	-0.0004484774089436	0.9919707834883752	True	-0.0722824996127505	0.1043633699783079	True	-0.0946858869029126	0.033219124821763	True
LUAD	immune_high	aucell	partial_immune_krt	NHEJ_reactome	IFNg	STING_core	APM	257	3	1	0	True	APM	APM	0.0046107178556283	2.403009280521637	False	-0.0749578614582137	0.2329559411809976	False	-0.0685911917399228	0.2751770473330487	True	-0.0220591954205465	0.7259116341817505	True	-0.176880064771314	0.0046107178556283	True
LUAD	immune_high	aucell	partial_immune_krt	NHEJ_core	IFNa	STING_core	APM	257	3	1	0	True	APM	APM	0.0046107178556283	2.295203334844632	False	-0.0583288265275307	0.3535888765238293	False	-0.0389933419813766	0.535356346223712	True	-0.0220591954205465	0.7259116341817505	True	-0.176880064771314	0.0046107178556283	True
LUAD	immune_high	aucell	partial_immune_krt	NHEJ_KEGG	IFNa	STING_core	APM	257	3	1	0	True	APM	APM	0.0046107178556283	2.2942869667296004	False	-0.0584190449546965	0.3528435850568476	False	-0.0389933419813766	0.535356346223712	True	-0.0220591954205465	0.7259116341817505	True	-0.176880064771314	0.0046107178556283	True
LUAD	immune_high	aucell	partial_immune_krt	NHEJ_reactome	IFNa	STING_core	APM	257	3	1	0	True	APM	APM	0.0046107178556283	2.113978531599672	False	-0.0749578614582137	0.2329559411809976	False	-0.0389933419813766	0.535356346223712	True	-0.0220591954205465	0.7259116341817505	True	-0.176880064771314	0.0046107178556283	True
NSCLC	krt_low	ssgsea	partial_immune_krt	NHEJ_core	IFNg	STING_core	APM_nonIFN	508	3	1	0	True	APM	APM_nonIFN	0.017828379318163	1.9636165089711213	False	-0.018328406923545	0.6808509463653786	False	-0.0258721308544085	0.5614850897452346	True	-0.0148132048192151	0.7395804845700428	True	-0.1052896589163233	0.017828379318163	True
LUAD	immune_high	ssgsea	partial_krt	NHEJ_core	IFNg	STING_reactome	APM_nonIFN	257	3	1	0	True	APM	APM_nonIFN	0.0015594703261889	1.8701859618588872	False	-0.1225670693068855	0.0501282766894638	False	-0.0473196783838936	0.4509500655654231	True	-0.003059359085241	0.9611501610868132	True	-0.1967383920704952	0.0015594703261889	True
NSCLC	immune_high	ssgsea	mw_median	NHEJ_core	IFNg	STING_core	APM_nonIFN	508	3	1	0	True	APM	APM_nonIFN	0.0053988062099897	1.8325122684909383	False	-0.0020751219432748	0.9179092751870372	True	0.0021797459460319	0.9241487223032382	True	-0.013801880058972	0.3114236804493967	False	0.0172505960887625	0.0053988062099897	True
LUAD	immune_high	ssgsea	partial_krt	NHEJ_core	IFNa	STING_reactome	APM_nonIFN	257	3	1	0	True	APM	APM_nonIFN	0.0015594703261889	1.7912285542968729	False	-0.1225670693068855	0.0501282766894638	False	-0.0383932413193522	0.54086124307039	True	-0.003059359085241	0.9611501610868132	True	-0.1967383920704952	0.0015594703261889	True
NSCLC	immune_low	ssgsea	partial_immune_krt	NHEJ_KEGG	IFNg	STING_core	APM_nonIFN	508	3	1	0	True	APM	APM_nonIFN	0.033219124821763	1.6549665710108574	False	-0.0632542999632642	0.1553823670105277	False	-0.0004484774089436	0.9919707834883752	True	-0.0722824996127505	0.1043633699783079	True	-0.0946858869029126	0.033219124821763	True
LUAD	immune_high	aucell	spearman	NHEJ_core	IFNg	STING_core	APM	257	3	1	0	True	APM	APM	0.0286205489047785	1.6411995909490291	False	-0.068476026480462	0.2740921935267236	False	-0.0601165300574706	0.3370996150312467	True	-0.028522761389003	0.6490241547933568	True	-0.1365512512128608	0.0286205489047785	True
LUAD	immune_high	aucell	spearman	NHEJ_KEGG	IFNg	STING_core	APM	257	3	1	0	True	APM	APM	0.0286205489047785	1.6400429383836577	False	-0.0685799119846955	0.2733631774887495	False	-0.0601165300574706	0.3370996150312467	True	-0.028522761389003	0.6490241547933568	True	-0.1365512512128608	0.0286205489047785	True
LUAD	immune_high	zmean	mw_q1q4	NHEJ_core	IFNg	STING_reactome	APM	129	3	1	0	True	APM	APM	0.0481458593940666	1.5458549199108147	False	0.0257879340896672	0.3521976374558361	False	0.0185813432025206	0.7612566942029149	True	0.0941601776977261	0.273427033459714	True	0.2278081516173329	0.0481458593940666	True
LUAD	immune_high	aucell	spearman	NHEJ_reactome	IFNg	STING_core	APM	257	3	1	0	True	APM	APM	0.0286205489047785	1.4864006914468937	False	-0.0816625722416927	0.1919100713873532	False	-0.0601165300574706	0.3370996150312467	True	-0.028522761389003	0.6490241547933568	True	-0.1365512512128608	0.0286205489047785	True
LUAD	immune_high	aucell	spearman	NHEJ_core	IFNa	STING_core	APM	257	3	1	0	True	APM	APM	0.0286205489047785	1.317931935217293	False	-0.068476026480462	0.2740921935267236	False	-0.0233381777063055	0.7096201063590375	True	-0.028522761389003	0.6490241547933568	True	-0.1365512512128608	0.0286205489047785	True
LUAD	immune_high	aucell	spearman	NHEJ_KEGG	IFNa	STING_core	APM	257	3	1	0	True	APM	APM	0.0286205489047785	1.3167752826519212	False	-0.0685799119846955	0.2733631774887495	False	-0.0233381777063055	0.7096201063590375	True	-0.028522761389003	0.6490241547933568	True	-0.1365512512128608	0.0286205489047785	True
LUAD	immune_high	aucell	spearman	NHEJ_reactome	IFNa	STING_core	APM	257	3	1	0	True	APM	APM	0.0286205489047785	1.1631330357151572	False	-0.0816625722416927	0.1919100713873532	False	-0.0233381777063055	0.7096201063590375	True	-0.028522761389003	0.6490241547933568	True	-0.1365512512128608	0.0286205489047785	True
NSCLC	krt_low	ssgsea	partial_immune_krt	NHEJ_KEGG	IFNg	STING_core	APM_nonIFN	508	3	1	0	True	APM	APM_nonIFN	0.017828379318163	1.0859670974228783	False	-0.0753924707538269	0.0902407370734227	False	-0.0258721308544085	0.5614850897452346	True	-0.0148132048192151	0.7395804845700428	True	-0.1052896589163233	0.017828379318163	True
LUAD	immune_high	ssgsea	partial_krt	NHEJ_core	IFNg	STING_reactome	APM	257	3	1	0	True	APM	APM	0.0144597372156808	0.9030026768459554	False	-0.1225670693068855	0.0501282766894638	False	-0.0473196783838936	0.4509500655654231	True	-0.003059359085241	0.9611501610868132	True	-0.1527019940185006	0.0144597372156808	True
