cohort	endpoint	kind	n_q1	n_q4	n_rest	median_q1	median_q4	median_rest	delta_q1_minus_q4	mw_p_q1_q4	cliffs_delta_q1_vs_q4	mw_p_q1_vs_rest	delta_q1_minus_rest	q_mw_q1_q4
TCGA-LUAD	NHEJ	score	129	129	386	0.4852672894279122	0.46506842030103074	0.4754485874397967	0.020198869126881458	8.810942765392316e-05	0.28249504236524237	0.005745276038747866	0.009818701988115519	0.0007048754212313853
TCGA-LUAD	IFNg	score	129	129	386	0.6765131327577948	0.6798026429228321	0.6592677406946776	-0.0032895101650373126	0.8308744368279043	0.015443783426476676	0.2616539787792015	0.01724539206311715	0.8308744368279043
TCGA-LUAD	STING	score	129	129	386	0.5898779698252533	0.6066019711353651	0.6058228972654507	-0.016724001310111758	0.24550269605293074	-0.08370891172405504	0.1405462561733444	-0.015944927440197376	0.49100539210586147
TCGA-LUAD	APM	score	129	129	386	1.109480678334523	1.0994063326745305	1.0945158847167913	0.010074345659992545	0.2407867686605385	0.08455020731927165	0.10834934519113906	0.014964793617731731	0.49100539210586147
TCGA-LUAD	APM_nonIFN	score_sensitivity	129	129	386	1.1386583438386242	1.1046656645026802	1.115978318500996	0.033992679335943965	0.01923014352339895	0.168679766840935	0.02152607094000785	0.02268002533762825	
TCGA-LUAD	PRKDC	gene	129	129	386	12.0663	11.8989	11.94905	0.16740000000000066	0.007149995500664733	0.193798449612403	0.03332721370734385	0.1172500000000003	
TCGA-LUAD	LIG4	gene	129	129	386	8.3998	8.1734	8.252849999999999	0.22639999999999993	0.0004040523274962831	0.2548524728081245	0.001291749284840939	0.14695000000000213	
TCGA-LUAD	TMEM173	gene	129	129	386	10.2461	10.7966	10.674199999999999	-0.5504999999999995	6.277567504423891e-05	-0.2883240189892434	0.0001677781982928148	-0.4280999999999988	
TCGA-LUAD	HLA-A	gene	129	129	386	14.9816	15.0653	15.01465	-0.08370000000000033	0.17974165508486684	-0.09668890090739735	0.3003429589933002	-0.03304999999999936	
TCGA-LUAD	HLA-B	gene	129	129	386	15.3544	15.3246	15.2713	0.029799999999999827	0.6032254763881557	-0.03749774652965565	0.9487791686489385	0.08309999999999995	
TCGA-LUAD	HLA-C	gene	129	129	386	14.7241	14.7473	14.72495	-0.02319999999999922	0.6409488455698295	-0.03365182380866538	0.6326211137845403	-0.0008499999999997954	
TCGA-LUAD	MHC_I	gene_companion	129	129	386	15.057400000000001	15.019866666666667	14.950216666666668	0.037533333333334085	0.43731733145122287	-0.05600624962442158	0.589745096538052	0.10718333333333341	
TCGA-LUSC	NHEJ	score	126	125	375	0.47138621452401475	0.45896763405436486	0.4662406856770808	0.012418580469649887	0.008941351040483965	0.19098412698412703	0.03225026138982299	0.005145528846933922	0.03576540416193586
TCGA-LUSC	IFNg	score	126	125	375	0.5813707813427419	0.5648408427544831	0.5741386194572977	0.016529938588258797	0.4818405764607594	0.05142857142857138	0.4553753036286491	0.007232161885444177	0.5506749445265822
TCGA-LUSC	STING	score	126	125	375	0.5129265530601019	0.5234269483145749	0.5187950579812853	-0.010500395254472994	0.39565615848624913	-0.06209523809523809	0.40710915404861125	-0.005868504921183404	0.5275415446483321
TCGA-LUSC	APM	score	126	125	375	1.0354356470329822	1.0162127256805753	1.0213451813324823	0.019222921352406885	0.3860556123115484	0.06336507936507929	0.3346223353677299	0.014090465700499877	0.5275415446483321
TCGA-LUSC	APM_nonIFN	score_sensitivity	126	125	375	1.066566625754481	1.0329437132729475	1.0567443335166795	0.033622912481533485	0.002920736891533053	0.21739682539682548	0.09582268904452926	0.009822292237801511	
TCGA-LUSC	PRKDC	gene	126	125	375	12.918	12.5123	12.6194	0.4056999999999995	7.710856993115131e-07	0.361015873015873	1.766338341082363e-05	0.29859999999999864	
TCGA-LUSC	LIG4	gene	126	125	375	7.960050000000001	7.796	7.9652	0.16405000000000047	0.07163996371792632	0.13161904761904752	0.8829472779811931	-0.005149999999999544	
TCGA-LUSC	TMEM173	gene	126	125	375	9.86985	9.7208	9.7827	0.14904999999999902	0.6159174764626205	0.036698412698412675	0.507844562958671	0.0871499999999994	
TCGA-LUSC	HLA-A	gene	126	125	375	14.389800000000001	14.4684	14.4054	-0.07859999999999978	0.7195482851867765	-0.026285714285714246	0.8613796851764758	-0.01559999999999917	
TCGA-LUSC	HLA-B	gene	126	125	375	14.6736	14.6399	14.5842	0.03369999999999962	0.8096914572666423	0.017650793650793695	0.39415404813671817	0.08940000000000126	
TCGA-LUSC	HLA-C	gene	126	125	375	14.10735	13.9091	14.0403	0.19824999999999982	0.8681131946128493	-0.012190476190476196	0.783660160195311	0.06705000000000005	
TCGA-LUSC	MHC_I	gene_companion	126	125	375	14.385783333333332	14.343766666666667	14.327433333333332	0.04201666666666526	0.9549346869754569	-0.004190476190476189	0.6223247067635396	0.05835000000000079	
