cohort	n_hiseqv2_primary	n_estimate_primary	n_complete	n_q1	n_q4	expr_sha256	estimate_sha256	expr_bytes	estimate_bytes	gseapy
TCGA-LUAD	515	515	515	129	129	5432e5a67fc4c4fd6ca22f76f18494756f0e8409a8969df3157935f39947aa00	366690f98235ab85a7b0c8eea16f2ce055c4bd61466879a6dc0fda96dd05fda4	30884695	19985	1.3.1
TCGA-LUSC	502	501	501	126	125	baa2b486d38cb68be6921b72dd798dd71a08a560ce3d4b5e690aa8c2a77bfa0d	5844aaad93eba1081899c0900ff1ccd6eb315c0d0e9eb5fadad628608333cc35	30037912	19605	1.3.1
