sample	CD274	CLDN4	CD8A	CD8B
TCGA-05-4244-01	8.034	13.9765	7.15	5.63
TCGA-05-4249-01	6.1004	13.9391	6.9276	5.3773
TCGA-05-4250-01	8.6625	14.8158	9.9113	7.5674
TCGA-05-4382-01	6.8858	13.8596	7.411	5.2694
TCGA-05-4384-01	5.0608	12.5602	6.856	4.4032
TCGA-05-4389-01	6.71	13.0411	10.2236	8.4345
TCGA-05-4390-01	5.8054	13.6111	6.3023	6.653
TCGA-05-4395-01	5.9211	13.7728	7.649	5.3855
TCGA-05-4396-01	4.6149	12.9442	6.1447	3.7958
TCGA-05-4397-01	5.1835	11.8123	6.9364	5.2351
TCGA-05-4398-01	9.35	14.5304	8.3339	5.8949
TCGA-05-4402-01	5.5497	13.6874	6.9463	4.8812
TCGA-05-4403-01	5.5928	13.6806	7.1322	5.3291
TCGA-05-4405-01	6.3312	14.0004	7.9969	5.2267
TCGA-05-4410-01	6.7553	13.7489	9.3879	7.422
TCGA-05-4415-01	6.0025	7.7377	8.7567	5.9824
TCGA-05-4417-01	6.3295	12.169	8.8367	6.858
TCGA-05-4418-01	7.0293	12.4972	8.9393	7.0798
TCGA-05-4420-01	4.3912	13.5723	6.6382	6.2716
TCGA-05-4422-01	5.7942	13.3203	10.1199	8.2226
TCGA-05-4424-01	5.4403	12.3135	8.3257	6.639
TCGA-05-4425-01	7.1154	12.2492	7.6333	5.6019
TCGA-05-4426-01	8.1975	12.6853	6.7589	4.8658
TCGA-05-4427-01	8.1979	13.2546	8.2053	6.2125
TCGA-05-4430-01	6.1662	13.9001	8.2556	6.1789
TCGA-05-4432-01	5.9031	12.9188	8.5163	7.1734
TCGA-05-4433-01	5.8379	13.1981	8.7479	6.2828
TCGA-05-4434-01	8.0329	13.5778	8.4747	6.6475
TCGA-05-5420-01	7.7476	12.009	9.741	8.2242
TCGA-05-5423-01	5.6463	14.1244	7.9407	6.6211
TCGA-05-5425-01	6.7611	13.4637	9.807	8.9088
TCGA-05-5428-01	5.9952	14.305	7.5246	6.2806
TCGA-05-5429-01	2.9929	14.186	6.5155	5.5191
TCGA-05-5715-01	4.4648	14.3544	6.9494	4.5633
TCGA-35-3615-01	4.5089	12.6068	7.4308	5.9636
TCGA-35-4122-01	8.0894	13.5875	9.7812	8.3269
TCGA-35-4123-01	9.0645	13.6557	11.6923	9.989
TCGA-35-5375-01	6.3183	13.1634	9.3886	7.4533
TCGA-38-4625-01	10.4492	12.4624	8.5807	5.7758
TCGA-38-4626-01	7.2851	12.3126	7.8871	5.735
TCGA-38-4627-01	5.4248	12.7584	7.306	5.762
TCGA-38-4628-01	4.7334	14.2623	5.1348	8.9957
TCGA-38-4629-01	8.1602	13.2428	9.4195	7.3781
TCGA-38-4630-01	4.854	12.7047	7.6893	5.963
TCGA-38-4631-01	3.9189	13.0615	7.5827	6.6193
TCGA-38-4632-01	7.2151	13.8423	8.5996	6.8351
TCGA-38-6178-01	4.3576	12.8884	6.3038	3.834
TCGA-38-7271-01	6.3619	13.6993	10.4978	8.2833
TCGA-38-A44F-01	4.8277	12.4427	8.3401	6.4833
TCGA-44-2655-01	4.9318	12.8344	7.0921	4.8172
TCGA-44-2656-01	8.8111	13.5818	10.496	8.8024
TCGA-44-2657-01	6.0466	13.965	10.4646	8.6108
TCGA-44-2659-01	5.7798	12.9296	9.5117	7.4772
TCGA-44-2661-01	6.6908	12.9428	9.7907	8.3259
TCGA-44-2662-01	8.6592	13.9337	6.2421	4.1308
TCGA-44-2665-01	7.355	12.3185	6.7577	4.542
TCGA-44-2666-01	7.0976	12.9675	7.9365	5.4716
TCGA-44-2668-01	8.3563	12.7566	9.5757	6.9458
TCGA-44-3396-01	8.2521	14.0732	9.4379	7.1876
TCGA-44-3398-01	7.752	12.112	8.1523	6.7953
TCGA-44-3918-01	9.4522	13.4274	10.0747	8.4112
TCGA-44-3919-01	7.4322	13.3954	9.1099	7.4511
TCGA-44-4112-01	6.2725	13.5334	8.0708	6.1473
TCGA-44-5643-01	4.894	12.1336	8.2214	5.9637
TCGA-44-5644-01	3.1667	12.2472	6.8251	5.5305
TCGA-44-5645-01	5.8813	12.9091	7.8521	5.6536
TCGA-44-6145-01	7.8474	12.0583	10.4305	7.791
TCGA-44-6146-01	4.7879	11.3115	6.7781	4.5858
