gene	matched	display	category	contrast	label	e1	e2	mean_lfc	welch_t	welch_p	max_cpm	call	welch_fdr_in_panel
XRCC4	XRCC4	XRCC4	qc	XRCC4_KO_vs_WT	XRCC4 KO vs scrambled	-0.08787759059509215	-0.9014666606974568	-0.4946721256462745	-1.2099249596352801	0.4396995313178708	7.067907750879677	FLAT	0.5771056348547055
XRCC4	XRCC4	XRCC4	qc	mirin_vs_WT	mirin vs scrambled	0.11953723485107615	0.25188208496772413	0.18570965990940014	2.894504150208187	0.21135937560162343	7.067907750879677	FLAT	0.39044998936039416
XRCC4	XRCC4	XRCC4	qc	XRCC4_KO_plus_mirin_vs_WT	XRCC4 KO + mirin vs scrambled	-0.44288403373701435	0.004487865810718361	-0.219198083963148	-0.9889390144263036	0.5035180185413799	7.067907750879677	FLAT	0.7119789946486049
XRCC4	XRCC4	XRCC4	qc	mirin_on_XRCC4_KO	mirin on XRCC4 KO vs KO	-0.3550064431419222	0.9059545265081752	0.2754740416831265	0.5923491991761115	0.6286968050239953	7.067907750879677	DISCORDANT	0.7953393316568615
MRE11A	MRE11A	MRE11A	qc	XRCC4_KO_vs_WT	XRCC4 KO vs scrambled	0.16396569650670223	0.01603092980585874	0.08999831315628049	0.7527557318422972	0.5686997862619729	29.371898718166157	FLAT	0.6709379500843501
MRE11A	MRE11A	MRE11A	qc	mirin_vs_WT	mirin vs scrambled	0.340769715866565	0.39516599379257666	0.36796785482957084	9.020115348505978	0.04917936756009553	29.371898718166157	UP	0.36283771579932966
MRE11A	MRE11A	MRE11A	qc	XRCC4_KO_plus_mirin_vs_WT	XRCC4 KO + mirin vs scrambled	0.13741013467659702	0.14870577145301045	0.14305795306480373	2.784847234820721	0.11124237756914063	29.371898718166157	FLAT	0.3974853343154356
MRE11A	MRE11A	MRE11A	qc	mirin_on_XRCC4_KO	mirin on XRCC4 KO vs KO	-0.026555561830105212	0.1326748416471517	0.05305963990852325	0.45028639801698217	0.7215343724866181	29.371898718166157	FLAT	0.8258519410087997
MB21D1	MB21D1	cGAS/MB21D1	cgas_sting	XRCC4_KO_vs_WT	XRCC4 KO vs scrambled	-0.11497154980931779	-0.3424146182525072	-0.22869308403091249	-1.9172184429674357	0.3052718522999556	17.326289911779902	FLAT	0.4352532796053312
MB21D1	MB21D1	cGAS/MB21D1	cgas_sting	mirin_vs_WT	mirin vs scrambled	-0.1833729853211432	-0.39632298177476777	-0.2898479835479555	-2.4187656596523355	0.24511894280345578	17.326289911779902	FLAT	0.39942516214265666
MB21D1	MB21D1	cGAS/MB21D1	cgas_sting	XRCC4_KO_plus_mirin_vs_WT	XRCC4 KO + mirin vs scrambled	-0.275787634705408	-0.7241385111322565	-0.49996307291883224	-3.1477641810548893	0.08960205249394854	17.326289911779902	DOWN	0.3974853343154356
MB21D1	MB21D1	cGAS/MB21D1	cgas_sting	mirin_on_XRCC4_KO	mirin on XRCC4 KO vs KO	-0.16081608489609023	-0.3817238928797493	-0.27126998888791976	-2.579681389370853	0.23435502377764614	17.326289911779902	FLAT	0.5039113120373413
TMEM173	TMEM173	STING/TMEM173	cgas_sting	XRCC4_KO_vs_WT	XRCC4 KO vs scrambled	-0.7437914199000675	-0.5636340408400065	-0.653712730370037	-4.193934615225758	0.10589883081032528	27.735581240830996	DOWN	0.3226048938674022
TMEM173	TMEM173	STING/TMEM173	cgas_sting	mirin_vs_WT	mirin vs scrambled	0.16930645920468645	-0.07273625401055916	0.048285102597063645	0.5623606061330544	0.6318035686537672	27.735581240830996	FLAT	0.6839110794705727
TMEM173	TMEM173	STING/TMEM173	cgas_sting	XRCC4_KO_plus_mirin_vs_WT	XRCC4 KO + mirin vs scrambled	-0.7808708381721225	-0.658099835343191	-0.7194853367576568	-5.557297998701591	0.06151004631422425	27.735581240830996	DOWN	0.3974853343154356
TMEM173	TMEM173	STING/TMEM173	cgas_sting	mirin_on_XRCC4_KO	mirin on XRCC4 KO vs KO	-0.037079418272055076	-0.0944657945031846	-0.06577260638761984	-0.3521505987258283	0.7597490452834408	27.735581240830996	FLAT	0.8258519410087997
TBK1	TBK1	TBK1	cgas_sting	XRCC4_KO_vs_WT	XRCC4 KO vs scrambled	-0.2244764232962666	-0.1311137152418107	-0.17779506926903865	-5.3514638624168755	0.036896688142636296	30.353689204567257	FLAT	0.3226048938674022
TBK1	TBK1	TBK1	cgas_sting	mirin_vs_WT	mirin vs scrambled	0.14264670678585212	0.18110635548351528	0.1618765311346837	7.811413855260575	0.07959348536805101	30.353689204567257	FLAT	0.36283771579932966
