library	read1	read2	spearman_r1_r2	read1_sum	read2_sum
Exp1_KO	Experiment_01_g2G3_1_1	Experiment_01_g2G3_1_2	0.9722743576283613	5482973.0	5456837.0
Exp1_KO_M	Experiment_01_g2G3_M_1_1	Experiment_01_g2G3_M_1_2	0.9740414467199654	6168703.0	6085632.0
Exp1_WT	Experiment_01_gSCR_1_1	Experiment_01_gSCR_1_2	0.9751977119475177	5097119.0	5084649.0
Exp1_WT_M	Experiment_01_gSCR_M_1_1	Experiment_01_gSCR_M_1_2	0.9779729097837595	6124551.0	6098016.0
Exp2_KO	Experiment_02_g2G3_2_1	Experiment_02_g2G3_2_2	0.9747005305357066	6283763.0	6277264.0
Exp2_KO_M	Experiment_02_g2G3_M_2_1	Experiment_02_g2G3_M_2_2	0.9734403725805124	5017535.0	4988435.0
Exp2_WT	Experiment_02_gSCR_2_1	Experiment_02_gSCR_2_2	0.9761605671787488	6157908.0	6135549.0
Exp2_WT_M	Experiment_02_gSCR_M_2_1	Experiment_02_gSCR_M_2_2	0.9742007986758028	4958911.0	4945010.0
