contrast	label	category	n	measured	UP	DOWN	FLAT	DISCORDANT	LOW	ABSENT	median
XRCC4_KO_vs_WT	XRCC4 KO vs scrambled	qc	2	2	0	0	2	0	0	0	-0.202336906244997
XRCC4_KO_vs_WT	XRCC4 KO vs scrambled	cgas_sting	14	14	0	2	12	0	0	0	-0.06540758680333092
XRCC4_KO_vs_WT	XRCC4 KO vs scrambled	ifn_ligand	5	1	0	1	0	0	1	3	-2.121196699277532
XRCC4_KO_vs_WT	XRCC4 KO vs scrambled	ifn_isg	47	41	1	28	12	0	5	1	-0.7932163986480116
XRCC4_KO_vs_WT	XRCC4 KO vs scrambled	ifn_signaling	13	13	0	4	9	0	0	0	-0.14145329839599552
XRCC4_KO_vs_WT	XRCC4 KO vs scrambled	apm	21	19	0	7	11	1	1	1	-0.25983855477987583
XRCC4_KO_vs_WT	XRCC4 KO vs scrambled	nhej	10	8	3	0	5	0	1	1	0.17817300184366658
XRCC4_KO_vs_WT	XRCC4 KO vs scrambled	alt_nhej	7	7	0	0	7	0	0	0	0.13242185648990423
mirin_vs_WT	mirin vs scrambled	qc	2	2	1	0	1	0	0	0	0.2768387573694855
mirin_vs_WT	mirin vs scrambled	cgas_sting	14	14	0	1	13	0	0	0	0.10728872243049614
mirin_vs_WT	mirin vs scrambled	ifn_ligand	5	1	0	1	0	0	1	3	-0.6059364538250613
mirin_vs_WT	mirin vs scrambled	ifn_isg	47	41	30	1	10	0	5	1	0.6366091689667013
mirin_vs_WT	mirin vs scrambled	ifn_signaling	13	13	4	1	8	0	0	0	0.23913139961126095
mirin_vs_WT	mirin vs scrambled	apm	21	19	1	0	18	0	1	1	0.1027324483128016
mirin_vs_WT	mirin vs scrambled	nhej	10	8	0	0	8	0	1	1	0.15974079343778136
mirin_vs_WT	mirin vs scrambled	alt_nhej	7	7	2	0	5	0	0	0	0.20675363429611693
XRCC4_KO_plus_mirin_vs_WT	XRCC4 KO + mirin vs scrambled	qc	2	2	0	0	2	0	0	0	-0.03807006544917213
XRCC4_KO_plus_mirin_vs_WT	XRCC4 KO + mirin vs scrambled	cgas_sting	14	14	1	4	9	0	0	0	-0.13717423627356728
XRCC4_KO_plus_mirin_vs_WT	XRCC4 KO + mirin vs scrambled	ifn_ligand	5	1	0	1	0	0	1	3	-2.2116187393861075
XRCC4_KO_plus_mirin_vs_WT	XRCC4 KO + mirin vs scrambled	ifn_isg	47	41	4	19	16	2	5	1	-0.3101032921769935
XRCC4_KO_plus_mirin_vs_WT	XRCC4 KO + mirin vs scrambled	ifn_signaling	13	13	1	3	8	1	0	0	0.0052028038392180065
XRCC4_KO_plus_mirin_vs_WT	XRCC4 KO + mirin vs scrambled	apm	21	19	0	10	9	0	1	1	-0.3768999128756163
XRCC4_KO_plus_mirin_vs_WT	XRCC4 KO + mirin vs scrambled	nhej	10	8	1	0	7	0	1	1	0.15675782076450173
XRCC4_KO_plus_mirin_vs_WT	XRCC4 KO + mirin vs scrambled	alt_nhej	7	7	1	0	6	0	0	0	0.18339193530295939
mirin_on_XRCC4_KO	mirin on XRCC4 KO vs KO	qc	2	2	0	0	1	1	0	0	0.16426684079582488
mirin_on_XRCC4_KO	mirin on XRCC4 KO vs KO	cgas_sting	14	14	1	1	11	1	0	0	-0.03378663910186053
mirin_on_XRCC4_KO	mirin on XRCC4 KO vs KO	ifn_ligand	5	1	0	0	1	0	1	3	-0.09042204010857535
mirin_on_XRCC4_KO	mirin on XRCC4 KO vs KO	ifn_isg	47	41	17	3	19	2	5	1	0.31997379717609364
mirin_on_XRCC4_KO	mirin on XRCC4 KO vs KO	ifn_signaling	13	13	5	2	6	0	0	0	0.21106964339323042
mirin_on_XRCC4_KO	mirin on XRCC4 KO vs KO	apm	21	19	0	4	15	0	1	1	-0.14107186781017234
mirin_on_XRCC4_KO	mirin on XRCC4 KO vs KO	nhej	10	8	1	0	7	0	1	1	-0.008557083577743263
mirin_on_XRCC4_KO	mirin on XRCC4 KO vs KO	alt_nhej	7	7	0	0	7	0	0	0	0.05417393564501438
