contrast	label	term	es	nes	nom_p	n_set_in_rank	mean_stat	lead_genes	n_lead	fdr	short
XRCC4_KO_vs_WT	XRCC4 KO vs scrambled	HALLMARK_DNA_REPAIR	0.35441578802998913	1.7203692662064929	0.000999000999000999	144	0.0868577230350075	POLE4,ARL6IP1,POLR2E,GTF2H1,RAE1,IMPDH2,SSRP1,CETN2,APRT,GPX4,AK1,BOLA2,POLR2F,ALYREF,AK3,POLR2K,UMPS,POLR1C,UPF3B,DDB1,SDCBP,MRPL40,SF3A3,ERCC1,NELFCD	66	0.0024975024975024975	DNA repair
XRCC4_KO_vs_WT	XRCC4 KO vs scrambled	HALLMARK_HYPOXIA	-0.5817519958569799	-2.2980946629069003	0.000999000999000999	157	-0.2629862325232718	PNRC1,VEGFA,GLRX,CCNG2,SCARB1,COL5A1,EFNA1,TNFAIP3,BHLHE40,CP,GAPDH,TPI1,BNIP3L,SLC6A6,CITED2,NR3C1,EGFR,NDST2,EFNA3,P4HA1,PIM1,AK4,TGM2,AMPD3,STBD1	63	0.0024975024975024975	hypoxia
XRCC4_KO_vs_WT	XRCC4 KO vs scrambled	HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.7420342967574717	-2.704811282694681	0.000999000999000999	85	-0.4839304404195088	STAT2,HELZ2,CSF1,TRAFD1,TAP1,MOV10,SLC25A28,PARP12,PSMB9,PROCR,B2M,IRF7,PARP14,SAMD9,PSME1,USP18,UBE2L6,GBP2,HLA-C,IFIH1,CASP1,GBP4,IFI35,TDRD7,HERC6	46	0.0024975024975024975	IFN-α
XRCC4_KO_vs_WT	XRCC4 KO vs scrambled	HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.652343546370061	-2.5777669075162306	0.000999000999000999	149	-0.3501127947857984	HLA-DMA,NMI,PLSCR1,ST3GAL5,TNFAIP3,ICAM1,PML,STAT2,HELZ2,TRAFD1,TAP1,CASP4,SLC25A28,PARP12,PSMB9,B2M,IRF7,PSMB10,PARP14,ARID5B,BPGM,PSME1,USP18,CSF2RB,PIM1	69	0.0024975024975024975	IFN-γ
XRCC4_KO_vs_WT	XRCC4 KO vs scrambled	HALLMARK_P53_PATHWAY	-0.26936134485950713	-1.0753764618679855	0.2907092907092907	176	-0.04415019877502175	HINT1,S100A10,FAS,ANKRA2,TGFB1,TOB1,PVT1,SAT1,BMP2,RHBDF2,PERP,RPL18,RNF19B,HEXIM1,HDAC3,INHBB,CSRNP2,SPHK1,FUCA1,POM121,FBXW7,TRAFD1,TAP1,HBEGF,BTG2	48	0.3380340589642915	p53
mirin_vs_WT	mirin vs scrambled	HALLMARK_DNA_REPAIR	0.25105300371334005	0.9749016201734548	0.4965034965034965	144	0.11530518070298286	RRM2B,XPC,SURF1,DDB2,CSTF3,POLR2A,STX3,POLB,ERCC3,AGO4,NUDT9,REV3L,NT5C3A,DGUOK,TAF1C,TAF12,POLH,POLD4,CLP1,NPR2,TK2,GTF2F1,SNAPC4,SRSF6,ARL6IP1	61	0.5910755910755912	DNA repair
mirin_vs_WT	mirin vs scrambled	HALLMARK_HYPOXIA	-0.5636982676846172	-2.858020274515624	0.000999000999000999	157	-0.15244386874997343	DUSP1,STBD1,P4HA1,PFKL,PRDX5,ALDOA,COL5A1,PAM,PRKCA,MIF,FOS,ZFP36,ENO1,SLC37A4,MT2A,B3GALT6,KLF6,SLC2A3,CSRP2,PGM1,TGFB3,ENO3,CP,GAPDH,UGP2	61	0.004995004995004995	hypoxia
mirin_vs_WT	mirin vs scrambled	HALLMARK_INTERFERON_ALPHA_RESPONSE	0.6699811716145453	2.464333928722172	0.000999000999000999	85	0.43016639621622715	RSAD2,IFI44L,IFI27,PLSCR1,HELZ2,SAMD9L,IFIT3,HERC6,DHX58,IFIT2,PARP9,IRF9,OAS1,ISG15,TRIM21,IFIH1,SAMD9,OGFR,PARP12,LAMP3,GBP4,EIF2AK2,RTP4,IRF7,TRIM26	37	0.004995004995004995	IFN-α
mirin_vs_WT	mirin vs scrambled	HALLMARK_INTERFERON_GAMMA_RESPONSE	0.5998624181329	2.3478414570324824	0.000999000999000999	149	0.30426829329975114	RSAD2,IFI44L,OAS2,XAF1,IFI27,OAS3,CDKN1A,IFIT1,PLSCR1,HELZ2,SAMD9L,IFIT3,HERC6,DHX58,IFIT2,IRF9,ISG15,TRIM21,IFIH1,OGFR,PARP12,STAT1,ZNFX1,GBP4,CCL5	45	0.004995004995004995	IFN-γ
mirin_vs_WT	mirin vs scrambled	HALLMARK_P53_PATHWAY	0.41697007083003745	1.6558597404840685	0.000999000999000999	176	0.17978507765627458	CDKN1A,SLC3A2,MDM2,SAT1,CTSF,TCN2,XPC,GADD45A,SLC7A11,CLCA2,PHLDA3,FDXR,DEF6,TGFA,CCNG1,DDB2,KLF4,NUPR1,EPHA2,RNF19B,HBEGF,RAD51C,FAS,NOTCH1,PERP	56	0.004995004995004995	p53
