	sum_counts
Exp1_KO	10939810.0
Exp1_KO_M	12254335.0
Exp1_WT	10181768.0
Exp1_WT_M	12222567.0
Exp2_KO	12561027.0
Exp2_KO_M	10005970.0
Exp2_WT	12293457.0
Exp2_WT_M	9903921.0
